2MASS J1645-4521       ;Sco  ;16 45 44.6 -45 21 51 ;IR   ;EC?  ;    1.30;      ;       ;                                                       ;
Alessi J0649+0734      ;Mon  ;06 49 34.0 +07 34 08 ;Op   ;OC?  ;    3.00;      ;       ;                                                       ;
Alessi J0653-0102      ;Mon  ;06 53 43.0 -01 02 10 ;Op   ;OC?  ;    2.00;      ;       ;                                                       ;
Alessi J0658+0609      ;Mon  ;06 58 22.3 +06 09 39 ;Op   ;OC?  ;    2.60;      ;       ;                                                       ;
Alessi J0700-2746      ;CMa  ;07 00 29.0 -27 46 42 ;Op   ;OC   ;   40.00;   824;       ;                                                       ;
Alessi J0822-3409      ;Pup  ;08 22 45.0 -34 09 05 ;Op   ;OC?  ;   30.00;      ;       ;                                                       ;
Alessi J1018-5816      ;Car  ;10 18 05.0 -58 16 26 ;Op   ;OC?  ;    2.00;      ;       ;                                                       ;
Alessi J1129-6127      ;Cen  ;11 29 02.5 -61 27 59 ;Op   ;OC   ;   22.70;  4337;   8.86;FF 245                                                 ;
Alessi J1145-6158      ;Cen  ;11 45 43.0 -61 57 43 ;Op   ;OC   ;   18.00;  3846;       ;                                                       ;
Alessi J1151-6010      ;Cen  ;11 51 06.0 -60 10 06 ;Op   ;OC?  ;    2.40;      ;       ;                                                       ;
Alessi J1156-6314      ;Cen  ;11 56 08.0 -63 14 12 ;Op   ;OC?  ;   15.00;      ;       ;Slotegraaf 39                                          ;
Alessi J1614-5113      ;Nor  ;16 14 54.4 -51 13 12 ;Op   ;OC?  ;    2.10;      ;       ;                                                       ;Located N of Ru 176, obvious arc of ~12 *
Alessi J1751-3033      ;Sco  ;17 51 13.0 -30 33 24 ;Op   ;OC?  ;   30.00;      ;       ;                                                       ;
Alessi J1753-2729      ;Sgr  ;17 53 12.0 -27 29 00 ;Op   ;OC?  ;    1.50;      ;       ;                                                       ;
Alessi J1813+1522      ;Her  ;18 13 40.1 +15 22 30 ;Op   ;OCR? ;    2.90;   170;       ;                                                       ;Only two doubles
Alessi J1842-0629      ;Sct  ;18 42 18.1 -06 30 54 ;Op   ;As?  ;   39.00;  2920;       ;                                                       ;Somewhat dubious
Alessi J1915+0558      ;Aql  ;19 15 00.3 +05 58 31 ;Op   ;OC   ;   29.04;  3731;   8.74;                                                       ;
Alessi J2137+4912      ;Cyg  ;21 37 28.0 +49 11 42 ;Op   ;OC?  ;   22.00;      ;       ;                                                       ;
Alessi J2258+5843      ;Cas  ;22 58 34.9 +58 43 06 ;Op   ;OC?  ;    0.35;      ;       ;                                                       ;Very close pair with Bica 187
Alessi J2336+6543      ;Cep  ;23 36 07.6 +65 43 28 ;Op   ;OC?  ;    6.00;      ;       ;                                                       ;
Alves-Homeier 3,4      ;Aql  ;19 10 11.4 +09 05 21 ;IR   ;EC   ;    0.80; 11110;   6.18;W49A-SouthWest, BDB 26                                 ;We consider this object as a single embedded cluster composed of subclusters AH03 3 and AH03 4
Anon 2005+40           ;Cyg  ;20 05 09.0 +40 29 30 ;Op   ;OC?  ;   10.00;      ;       ;                                                       ;
Aql OB1                ;Aql  ;19 01 29.0 +03 36 20 ;Op   ;OB   ;  420.00;  2750;       ;                                                       ;
