Urq G28.98+0.07               ; Aql  ; 18 43 58.5 -03 28 42; IR    ; EC   ;     1.20; 10400;     ;      ;* ;                                                       ;In HII reg WISE G29.00+0.08
BSP 4                         ; Aql  ; 18 44 27.5 -03 20 49; IR    ; SFR  ;    11.70;  8970;     ;      ;* ;                                                       ;
Alicante 7                    ; Aql  ; 18 44 30.0 -03 29 00; IR    ; RSG  ;     5.00;  7180;     ; 7.300;* ;RSGC 5                                                 ;
Steine 17                     ; Aql  ; 18 44 33.0 -00 17 54; Op    ; OC?  ;     4.40;  3500;     ;      ;  ;Russeil 66                                             ;
Bica 78                       ; Aql  ; 18 44 40.0 -03 11 21; Op    ; RSG? ;     2.00;  3200;     ;      ;* ;                                                       ;Compact, includes RSG stars?
Alicante 9                    ; Aql  ; 18 44 43.0 -03 14 30; IR    ; RSG  ;     4.50;  3080;     ;      ;* ;Masgomas-3, Ryu 268                                    ;
RM 13                         ; Aql  ; 18 44 45.6 -03 45 28; IR    ; EC   ;     1.40;  5300;     ;      ;* ;LMR 66                                                 ;Inside the shell of HII reg. WAM G28.82-0.22
Spitzer J1844-0345            ; Aql  ; 18 44 51.2 -03 45 40; IR    ; EC   ;     1.20;  4760;     ;      ;* ;                                                       ;Near RM 16, in UC HII region G28.83-0.25, at the border of the shell of HII reg. WAM G28.82-0.22
PanSTARRS J1844-0343          ; Aql  ; 18 44 51.6 -03 43 56; Op    ; OC?  ;     1.40;  2700;     ;      ;* ;                                                       ;Near RM 16, dist from GDR2 mean
Berkeley 79                   ; Aql  ; 18 44 56.4 -01 09 18; Op    ; OC   ;    10.00;  2434;0.673; 8.640;* ;                                                       ;
Alicante 10                   ; Aql  ; 18 45 12.0 -03 42 05; IR    ; OC   ;     6.00;  5100;     ; 6.300;* ;                                                       ;
PanSTARRS J1845-0235          ; Aql  ; 18 45 13.9 -02 35 08; Op    ; OC   ;     3.40;  1360;     ;      ;* ;                                                       ;Tight VPD!
Ryu 912                       ; Aql  ; 18 45 18.0 -02 48 12; Op    ; OC   ;     1.30;  4300;     ;      ;* ;                                                       ;
RM 15                         ; Aql  ; 18 45 20.5 -02 00 04; IR    ; EC   ;     3.00;  7300;     ;      ;* ;LMR 69                                                 ;
RSGC 3                        ; Aql  ; 18 45 24.0 -03 23 00; IR    ; RSG  ;     5.00;  7180;     ; 7.300;* ;                                                       ;
RSGC 3 Assoc                  ; Aql  ; 18 45 24.0 -03 23 00; IR    ; OB   ;    45.00;  7180;     ;      ;* ;                                                       ;Incl RSGs, RSGC 3, Alicante 7, 9
