Name                   ;Cns  ;RA          De       ;Wv   ;Type ;   Diam ;  Dist;    Age;Aliases                                                ;Notes
BDB 125                ;Cas  ;03 01 01.0 +60 40 20 ;IR   ;OC?  ;    2.00;      ;       ;BRC 13 Cl, IRAS 02570+6028                             ;
BDB 126                ;Cas  ;03 01 18.5 +60 30 11 ;IR   ;OC   ;   10.80;  3465;   6.05;AFGL 4029 Cl, IRAS 02575+6017, BRC 14 Cl               ;
Bica 228               ;Cas  ;03 01 34.0 +60 29 14 ;IR   ;OC   ;    0.70;      ;       ;                                                       ;Merger with AFGL 4029
Bica 229               ;Cas  ;03 03 02.0 +60 28 19 ;IR   ;OC   ;    2.50;      ;       ;                                                       ;
BDB 127                ;Cas  ;03 03 18.0 +60 27 52 ;IR   ;OC?  ;    3.00;      ;       ;IC 1871 Cl, Sh2-201 Cl, IRAS 02593+6016                ;
BDB 128                ;Cas  ;03 07 25.0 +58 30 52 ;IR   ;OC?  ;    4.00;      ;       ;AFGL 437 Cl                                            ;
Camargo 784            ;Cas  ;03 09 47.0 +59 52 57 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;Impres, inc 3 substructures, dusty
Bica 231               ;Cas  ;03 11 15.0 +59 31 14 ;Op   ;OC   ;    9.00;      ;       ;                                                       ;In cavity, loose
SAI 27                 ;Cas  ;03 11 22.0 +68 54 01 ;Op   ;OC   ;    5.00;  1250;   9.25;                                                       ;
Trumpler 3             ;Cas  ;03 12 01.0 +63 13 05 ;Op   ;OC   ;   33.10;   671;   8.30;Harvard 1                                              ;
Camargo 786            ;Cas  ;03 13 58.0 +60 21 17 ;Op   ;OC?  ;    5.00;      ;       ;                                                       ;Little dust
Majaess 33             ;Cas  ;03 14 05.0 +58 33 07 ;IR   ;OC?  ;   12.00;      ;       ;                                                       ;
Bica 230               ;Cas  ;03 14 48.0 +60 43 20 ;Op   ;OC   ;    2.40;      ;       ;                                                       ;Loose, dusty stellar core
Xuyi 1                 ;Cas  ;03 14 49.0 +59 12 56 ;Op   ;OC   ;    4.00;  2090;   8.85;DSH J0314+5912                                         ;From arXiv:1801.00146v1
Camargo 790            ;Cas  ;03 15 11.0 +59 49 08 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;Impressive, core in cometary nebula
Camargo 789            ;Cas  ;03 15 11.0 +59 54 44 ;Op   ;OC   ;    5.00;  3100;   6.48;                                                       ;Prominent
