Name                  ;Const;Coordinates (J2000.0);Wave ;Type ;Dia_arcm;Dst_pc;E(B-V);Log_t  ;Aliases                                                                                                    ;Comments
Bica 585              ;Sco  ;17 24 13.0 -34 24 05 ;IR   ;OC?? ;    3.00;      ;      ;       ;                                                                                                           ;in shell, in NGC 6357
Bica 586              ;Sco  ;17 26 01.0 -34 26 22 ;IR   ;OC?? ;    1.00;      ;      ;       ;                                                                                                           ;in NGC 6357, in shell
Bica 587              ;Sco  ;17 28 03.0 -34 51 10 ;IR   ;OC?? ;    0.60;      ;      ;       ;                                                                                                           ;
Bica 590              ;Sco  ;17 26 07.0 -34 32 24 ;IR   ;OC?? ;    0.30;      ;      ;       ;                                                                                                           ;in pair, in NGC 6357
Bica 591              ;Sco  ;17 28 08.0 -34 47 51 ;IR   ;OC?? ;    1.80;      ;      ;       ;                                                                                                           ;in shell
Bica 592              ;Sco  ;17 26 49.0 -34 36 27 ;IR   ;OC?? ;    3.00;      ;      ;       ;                                                                                                           ;in NGC 6357, in G353.07+0.31
Bica 593              ;Sco  ;17 26 59.0 -34 37 20 ;IR   ;OC?? ;    7.00;      ;      ;       ;                                                                                                           ;in NGC 6357, in HII353.08+0.28
Bica 594              ;Sco  ;17 26 46.0 -34 34 20 ;IR   ;OC?? ;    6.00;      ;      ;       ;                                                                                                           ;shell, in NGC 6357
Bica 595              ;Sco  ;17 25 27.0 -34 23 43 ;IR   ;OC?? ;    1.30;      ;      ;       ;                                                                                                           ;in NGC 6357, G353.09+0.66
Bica 596              ;Sco  ;17 26 18.0 -34 30 49 ;IR   ;OC?? ;    0.50;      ;      ;       ;                                                                                                           ;in NGC 6357, in dark nebula
Bica 60               ;Sct  ;18 34 45.0 -08 44 59 ;IR   ;***  ;    2.50;      ;      ;       ;                                                                                                           ;
Bica 602              ;Sco  ;17 25 13.0 -34 16 42 ;IR   ;OC?? ;    7.00;      ;      ;       ;                                                                                                           ;in large shell
Bica 603              ;Sco  ;17 24 06.0 -34 05 59 ;IR   ;OC?? ;    7.00;      ;      ;       ;                                                                                                           ;in NGC 6357, in shell
Bica 606              ;Sco  ;17 25 59.0 -34 20 20 ;IR   ;OC?? ;    1.40;      ;      ;       ;                                                                                                           ;in NGC 6357, in shell
Bica 609              ;Sco  ;17 26 06.0 -34 18 17 ;IR   ;OC?? ;   18.00;      ;      ;       ;                                                                                                           ;in NGC 6357, in G353.24+0.60
Bica 611              ;Sco  ;17 26 13.0 -34 17 07 ;IR   ;OC?? ;    7.00;      ;      ;       ;                                                                                                           ;in NGC 6357, in G353.27+0.59
Bica 612              ;Sco  ;17 25 56.0 -34 12 42 ;IR   ;OC?? ;    9.00;      ;      ;       ;                                                                                                           ;in NGC 6357, in shell
Bica 613              ;Sco  ;17 25 54.0 -34 12 06 ;IR   ;OC?? ;    3.50;      ;      ;       ;                                                                                                           ;in bubble, absorbed
Bica 614              ;Sco  ;17 26 41.0 -34 15 31 ;IR   ;OC?? ;    3.00;      ;      ;       ;                                                                                                           ;in NGC 6357
Bica 615              ;Sco  ;17 28 25.0 -34 32 38 ;IR   ;OC?? ;    8.00;      ;      ;       ;                                                                                                           ;in NGC 6357
Bica 616              ;Sco  ;17 26 01.0 -34 12 15 ;IR   ;OC?? ;    0.70;      ;      ;       ;                                                                                                           ;in NGC 6357, pair, bubble
Bica 618              ;Sco  ;17 26 26.0 -34 12 16 ;IR   ;OC?? ;    0.90;      ;      ;       ;                                                                                                           ;in NGC 6357
Bica 619              ;Sco  ;17 29 19.0 -34 34 06 ;IR   ;OC?? ;    0.50;      ;      ;       ;                                                                                                           ;in pair
Bica 620              ;Sco  ;17 29 20.0 -34 33 41 ;IR   ;OC?? ;    0.50;      ;      ;       ;                                                                                                           ;in pair
Bica 621              ;Sco  ;17 29 11.0 -34 32 18 ;IR   ;OC?? ;    0.20;      ;      ;       ;                                                                                                           ;
Bica 623              ;Sco  ;17 28 08.0 -33 39 27 ;IR   ;OC?? ;    3.50;      ;      ;       ;                                                                                                           ;in shell
Bica 624              ;Sco  ;17 30 24.0 -33 51 03 ;IR   ;OC?? ;    4.00;      ;      ;       ;                                                                                                           ;at edge of shell
Bica 629              ;Sco  ;17 31 11.0 -33 15 12 ;IR   ;OC?? ;    0.70;      ;      ;       ;                                                                                                           ;in triplet
Bica 632              ;Sco  ;17 31 42.0 -33 02 21 ;IR   ;OC?? ;    1.50;      ;      ;       ;                                                                                                           ;absorbed
Bica 633              ;Sco  ;17 35 15.0 -33 28 42 ;IR   ;OC?? ;    3.50;      ;      ;       ;                                                                                                           ;inc. LB 57,2 shells in contact
Bica 634              ;Sco  ;17 34 42.0 -32 39 44 ;IR   ;OC?? ;    1.50;      ;      ;       ;                                                                                                           ;
Bica 638              ;Oph  ;17 43 29.0 -29 37 10 ;Op   ;OC?? ;    0.70;      ;      ;       ;                                                                                                           ;not EC
Bica 639              ;Oph  ;17 43 08.0 -29 11 50 ;Op   ;OC?? ;    0.90;      ;      ;       ;                                                                                                           ;dust window?
Bica 641              ;Oph  ;17 09 07.0 -17 27 27 ;Op   ;OC?? ;    1.20;      ;      ;       ;                                                                                                           ;concentration in UBC 25
Bica 643              ;Sgr  ;18 08 59.0 -20 20 16 ;Op   ;OC?? ;    1.13;      ;      ;       ;                                                                                                           ;rich field
Bica 644              ;Sgr  ;18 09 13.0 -19 57 35 ;Op   ;OC?? ;    0.80;      ;      ;       ;                                                                                                           ;
Bica 648              ;Aql  ;19 00 22.0 +03 50 29 ;IR   ;***  ;    2.50;      ;      ;       ;                                                                                                           ;
Bica 65               ;Sct  ;18 36 07.0 -07 15 02 ;IR   ;OC?? ;    2.00;      ;      ;       ;                                                                                                           ;in pair, in shell
Bica 654              ;CMa  ;07 18 12.0 -22 04 06 ;IR   ;***  ;    2.50;      ;      ;       ;                                                                                                           ;
Bica 655              ;Ser  ;18 19 19.0 -06 07 13 ;IR   ;OC?? ;    1.00;      ;      ;       ;                                                                                                           ;
Bica 659              ;Cen  ;13 19 07.0 -62 31 59 ;Op   ;OC?? ;    1.00;      ;      ;       ;                                                                                                           ;few stars
Bica 7                ;Oph  ;17 22 22.0 -26 12 52 ;Op   ;OC?? ;    5.00;      ;      ;       ;                                                                                                           ;
Bica 71               ;Sct  ;18 40 45.0 -05 20 50 ;IR   ;OC?? ;    0.70;      ;      ;       ;                                                                                                           ;
Bica 72               ;Sct  ;18 41 38.0 -05 06 42 ;IR   ;OC?? ;    0.60;      ;      ;       ;                                                                                                           ;
Bica 73               ;Sct  ;18 40 35.0 -04 53 56 ;IR   ;OC?? ;    3.00;      ;      ;       ;                                                                                                           ;dusty
Bica 8                ;Oph  ;17 25 11.0 -25 54 27 ;IR   ;OC?? ;    1.70;      ;      ;       ;                                                                                                           ;
Bica 80               ;Aql  ;18 49 34.0 +00 44 31 ;IR   ;***  ;    2.00;      ;      ;       ;                                                                                                           ;
Bica 81               ;Aql  ;18 49 37.0 +00 41 19 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;includes dust ring
Bica 84               ;Aql  ;18 57 00.0 +01 16 18 ;IR   ;***  ;    2.00;      ;      ;       ;                                                                                                           ;Alessi: only a nebula seen here
Bica 87               ;Aql  ;18 55 48.0 +02 09 03 ;IR   ;***  ;    1.00;      ;      ;       ;                                                                                                           ;
Bica 89               ;Ser  ;18 56 22.0 +02 20 30 ;IR   ;OC?? ;    0.60;      ;      ;       ;                                                                                                           ;
Bica 90               ;Ser  ;18 56 22.0 +02 21 28 ;IR   ;OC?? ;    0.50;      ;      ;       ;                                                                                                           ;
Bica 91               ;Ser  ;18 56 23.0 +02 21 07 ;IR   ;OC?? ;    0.33;      ;      ;       ;                                                                                                           ;
Bica 93               ;Aql  ;18 59 37.0 +04 16 39 ;IR   ;***  ;    2.00;      ;      ;       ;                                                                                                           ;inc shell
Bica 99               ;Aql  ;19 11 58.0 +10 07 05 ;IR   ;***  ;    5.00;      ;      ;       ;                                                                                                           ;dusty core
Botha 1               ;Cas  ;01 13 42.5 +59 56 20 ;Op   ;***  ;   21.00;      ;      ;       ;                                                                                                           ;
Brosch 1              ;Vir  ;12 33 19.0 -00 38 42 ;Op   ;***  ;    0.70;      ;      ;       ;Lorenzin 20                                                                                                ;Alessi: A small losangle of 5 *
Bull of Poniatowski   ;Ser  ;18 05 00.0 -03 00 00 ;Op   ;***  ;  210.00;      ;      ;       ;                                                                                                           ;Includes Melotte 186
