Name                  ;Const;Coordinates (J2000.0);Wave ;Type ;Dia_arcm;Dst_pc;E(B-V);Log_t  ;Aliases                                                                                                    ;Comments
Minni 30              ;Sco  ;17 54 03.5 -31 18 37 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...16M
Minni 31              ;Sgr  ;17 58 36.8 -27 38 22 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...16M
Minni 32              ;Sgr  ;18 06 24.8 -29 18 29 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...16M
Minni 33              ;Sco  ;17 49 51.8 -30 44 13 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...16M
Minni 34              ;Sgr  ;17 54 09.8 -28 25 51 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...16M
Minni 35              ;Sgr  ;17 52 08.0 -28 25 14 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...16M
Minni 36              ;Sgr  ;17 55 56.0 -29 58 14 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...16M
Minni 37              ;Sgr  ;17 56 03.5 -29 34 50 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...16M
Minni 38              ;Sgr  ;17 53 44.5 -30 01 15 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...16M
Minni 39              ;Sgr  ;17 52 23.5 -29 17 40 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...16M
Minni 4               ;Sgr  ;18 15 35.0 -28 18 00 ;IR   ;***  ;    2.39;      ;      ;       ;                                                                                                           ;from 2017ApJ...849L..24M
Minni 40              ;Sgr  ;17 50 42.5 -29 36 25 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...16M
Minni 41              ;Oph  ;17 26 26.5 -28 44 26 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...16M
Minni 42              ;Oph  ;17 36 37.5 -29 02 16 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...16M
Minni 43              ;Oph  ;17 33 58.5 -27 00 30 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...16M
Minni 44              ;Oph  ;17 42 21.5 -26 32 52 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...16M
Minni 45              ;Oph  ;17 40 28.5 -27 07 39 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...16M
Minni 46              ;Oph  ;17 42 21.5 -27 33 36 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...16M
Minni 47              ;Oph  ;17 40 42.5 -27 49 29 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...16M
Minni 48              ;Oph  ;17 33 27.5 -28 01 47 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...16M
Minni 49              ;Oph  ;17 41 15.5 -25 50 44 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...16M
Minni 5               ;Sco  ;17 57 05.5 -35 41 24 ;IR   ;***  ;    2.39;      ;      ;       ;                                                                                                           ;from 2017ApJ...849L..24M
Minni 50              ;Sgr  ;17 52 09.5 -29 54 23 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...16M
Minni 51              ;Sgr  ;18 00 42.5 -27 10 19 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...16M
Minni 52              ;Sgr  ;17 58 35.5 -28 29 23 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...16M
Minni 53              ;Sco  ;17 53 01.5 -30 36 01 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...16M
Minni 54              ;Oph  ;17 39 16.9 -28 19 59 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...16M
Minni 55              ;Sgr  ;17 44 03.1 -27 22 33 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...16M
Minni 56              ;Sgr  ;17 50 55.8 -29 36 39 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...16M
Minni 57              ;Sgr  ;17 50 37.1 -28 46 02 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...16M
Minni 58              ;Oph  ;17 43 13.5 -28 28 22 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...16M
Minni 59              ;Sgr  ;17 51 18.8 -29 49 23 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...16M
Minni 6               ;Sgr  ;18 08 22.1 -31 06 18 ;IR   ;***  ;    2.40;      ;      ;       ;                                                                                                           ;from 2017ApJ...849L..24M
Minni 60              ;Oph  ;17 43 17.5 -27 42 23 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...16M
Minni 61              ;Oph  ;17 27 11.9 -27 14 08 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...54M
Minni 62              ;Oph  ;17 28 45.5 -27 45 49 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...54M
Minni 63              ;Sco  ;17 50 06.5 -32 01 06 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...54M
Minni 64              ;Sco  ;17 23 34.5 -33 22 06 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...54M
Minni 65              ;Sco  ;17 12 11.6 -31 21 42 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...54M
Minni 66              ;Sco  ;17 38 06.4 -39 33 52 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...54M
Minni 67              ;Sco  ;17 40 41.9 -32 42 09 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...54M
Minni 68              ;Sco  ;17 14 08.5 -35 03 09 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...54M
Minni 69              ;Sgr  ;17 51 34.6 -19 19 52 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...54M
Minni 7               ;Sgr  ;18 01 35.5 -33 55 05 ;IR   ;***  ;    2.41;      ;      ;       ;                                                                                                           ;from 2017ApJ...849L..24M
Minni 70              ;Sgr  ;18 22 49.2 -26 47 41 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...54M
Minni 71              ;Sco  ;17 47 32.1 -31 22 31 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...54M
Minni 72              ;Sco  ;17 35 11.1 -35 57 28 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...54M
Minni 73              ;Sco  ;17 09 19.6 -31 47 32 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...54M
Minni 74              ;Sco  ;17 24 45.5 -31 12 20 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...54M
Minni 75              ;Sco  ;17 08 58.0 -33 06 36 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...54M
Minni 76              ;Sco  ;17 20 38.9 -32 10 51 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...54M
Minni 77              ;Sco  ;17 36 27.7 -37 38 18 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...54M
Minni 78              ;Sgr  ;18 03 26.7 -19 46 03 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...54M
Minni 79              ;Sgr  ;18 24 21.3 -28 13 55 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...54M
Minni 8               ;Sgr  ;18 22 19.4 -26 37 41 ;IR   ;***  ;    2.39;      ;      ;       ;                                                                                                           ;from 2017ApJ...849L..24M
Minni 80              ;Sco  ;17 17 57.6 -31 14 05 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...54M
Minni 81              ;Oph  ;17 16 58.6 -29 57 10 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...54M
Minni 82              ;Sco  ;17 49 34.8 -40 45 05 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...54M
Minni 83              ;Sgr  ;18 05 19.1 -36 34 07 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...54M
Minni 84              ;Sgr  ;18 22 23.8 -30 39 09 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;from 2017RNAAS...1...54M
Minni 9               ;Sco  ;17 10 29.8 -33 15 04 ;IR   ;***  ;    2.40;      ;      ;       ;                                                                                                           ;from 2017ApJ...849L..24M
Mohan 1               ;Mus  ;11 22 31.8 -66 55 22 ;Op   ;***  ;    1.20;      ;      ;       ;                                                                                                           ;
Mohan 2               ;Oph  ;17 24 44.3 -17 42 29 ;Op   ;***  ;    1.10;      ;      ;       ;                                                                                                           ;
Moitinho 1            ;Vel  ;08 19 17.0 -45 12 29 ;Op   ;***  ;   10.20;      ;      ;       ;                                                                                                           ;
Moland 1              ;Cet  ;00 26 26.0 -13 45 00 ;Op   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;Gaia-TGas: 3 stars at similar distances but their PMs doesnt match
Moland 2              ;Aqr  ;20 55 55.0 -01 19 42 ;Op   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;
Mon OB2A              ;Mon  ;06 33 03.0 +05 01 42 ;Op   ;OB   ;   70.00;      ;      ;       ;LMR 153                                                                                                    ;inc NGC 2244
Mon R1                ;Mon  ;06 32 00.0 +10 12 00 ;Op   ;YAs? ;  480.00;  1050;  0.20;       ;                                                                                                           ;
Monti 1               ;Mon  ;07 38 17.0 -05 41 30 ;Op   ;***  ;   16.00;      ;      ;       ;                                                                                                           ;
Monti 10              ;Lyr  ;19 15 03.0 +29 19 02 ;Op   ;***  ;    0.80;      ;      ;       ;                                                                                                           ;
Monti 2               ;And  ;00 42 48.0 +39 24 36 ;Op   ;***  ;   14.00;      ;      ;       ;SAO 54105 Grp                                                                                              ;
Monti 3               ;And  ;00 44 44.0 +39 43 30 ;Op   ;***  ;   13.00;      ;      ;       ;                                                                                                           ;
Monti 4               ;Gem  ;06 58 06.0 +14 15 24 ;Op   ;***  ;    6.50;      ;      ;       ;                                                                                                           ;
Monti 6               ;CMi  ;07 18 22.0 +06 18 48 ;Op   ;***  ;    6.00;      ;      ;       ;                                                                                                           ;
Monti 7               ;CMi  ;07 17 13.0 +06 40 42 ;Op   ;***  ;    9.00;      ;      ;       ;                                                                                                           ;
Monti 8               ;Hya  ;08 16 37.0 -09 00 06 ;Op   ;***  ;    9.00;      ;      ;       ;                                                                                                           ;
Monti 9               ;Lyr  ;18 33 00.0 +30 24 48 ;Op   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;
Musca Borealis        ;Ari  ;02 45 00.0 +27 00 00 ;Op   ;***  ;  120.00;      ;      ;       ;Lillium                                                                                                    ;The Northern Fly. 17th century constellation
Muzsnaki 1            ;Sgr  ;19 49 20.0 -21 11 40 ;Op   ;***  ;    5.00;      ;      ;       ;                                                                                                           ;
NEST 13               ;Tau  ;04 35 33.6 +24 10 48 ;IR   ;OC   ;    9.50;      ;      ;       ;                                                                                                           ;from Joncour 2018
NEST 15               ;Tau  ;04 38 24.0 +26 10 48 ;IR   ;OC   ;    6.50;      ;      ;       ;                                                                                                           ;from Joncour 2018
NEST 17               ;Tau  ;04 39 55.2 +26 01 48 ;IR   ;OC   ;   13.00;      ;      ;       ;                                                                                                           ;from Joncour 2018
NEST 19               ;Tau  ;04 42 16.8 +25 21 00 ;IR   ;OC   ;   14.00;      ;      ;       ;                                                                                                           ;from Joncour 2018
NEST 3                ;Tau  ;04 19 48.0 +27 13 12 ;IR   ;OC   ;   11.00;      ;      ;       ;                                                                                                           ;from Joncour 2018
NEST 4                ;Tau  ;04 21 43.2 +26 58 48 ;IR   ;OC   ;   22.00;      ;      ;       ;                                                                                                           ;from Joncour 2018
NEST 5                ;Tau  ;04 26 57.6 +26 06 36 ;IR   ;OC   ;    4.50;      ;      ;       ;                                                                                                           ;from Joncour 2018
NEST 6                ;Tau  ;04 29 38.4 +26 32 24 ;IR   ;OC   ;    8.50;      ;      ;       ;                                                                                                           ;from Joncour 2018
NEST 7                ;Tau  ;04 29 36.0 +24 34 48 ;IR   ;OC   ;   13.00;      ;      ;       ;                                                                                                           ;from Joncour 2018
NGC 110               ;Cas  ;00 27 25.2 +71 25 19 ;Op   ;***  ;   13.80;      ;      ;       ;                                                                                                           ;
NGC 1146              ;Per  ;02 57 37.0 +46 26 16 ;Op   ;***  ;    0.50;      ;      ;       ;                                                                                                           ;
NGC 1252              ;Hor  ;03 10 48.0 -57 45 36 ;Op   ;***  ;   30.00;      ;      ;       ;                                                                                                           ;Very sparse
NGC 1498              ;Eri  ;04 00 18.0 -12 00 54 ;Op   ;***  ;    7.60;      ;      ;       ;                                                                                                           ;MWSC: asterism. Distance, age, E(B-V) comes from Tadross (2011)
NGC 1520              ;Men  ;03 57 52.1 -76 48 00 ;Op   ;***  ;   15.60;      ;      ;       ;                                                                                                           ;
NGC 1548              ;Per  ;04 21 19.7 +36 55 12 ;Op   ;***  ;   15.60;      ;      ;       ;                                                                                                           ;
NGC 1557              ;Hyi  ;04 13 08.4 -70 27 54 ;Op   ;***  ;   26.40;      ;      ;       ;                                                                                                           ;
NGC 1641              ;Ret  ;04 35 25.7 -65 44 24 ;Op   ;***  ;   31.20;      ;      ;       ;                                                                                                           ;Very sparse
NGC 1663              ;Ori  ;04 49 15.6 +13 10 12 ;Op   ;***  ;   34.20;      ;      ;       ;                                                                                                           ;
NGC 1707              ;Ori  ;04 58 21.0 +08 14 20 ;Op   ;***  ;    0.80;      ;      ;       ;                                                                                                           ;Only 4 stars and one vf obj (gx?)
NGC 1746              ;Tau  ;05 04 33.6 +23 49 48 ;Op   ;***  ;   72.00;      ;      ;       ;KVO 17                                                                                                     ;
NGC 1785              ;Dor  ;04 58 35.0 -68 50 40 ;Op   ;***  ;    6.00;      ;      ;       ;                                                                                                           ;MWSC: PMs are poor/absent due to crowding, shows spatial conc, prob a faraway cluster in direction to LMC. Dist, age, E(B-V) comes from Tadross (2011), Gaia: not a cl, or OCR: 4 cpm stars w 2-3 mas pars
NGC 1790              ;Aur  ;05 11 02.0 +52 07 06 ;Op   ;***  ;   20.00;      ;      ;       ;                                                                                                           ;
NGC 1802              ;Tau  ;05 10 06.5 +24 10 48 ;Op   ;***  ;   22.80;      ;      ;       ;                                                                                                           ;
NGC 1891              ;Col  ;05 21 25.0 -35 44 24 ;Op   ;***  ;   15.00;      ;      ;       ;                                                                                                           ;MWSC: asterism, Distance, age, E(B-V) comes from Tadross (2011)
NGC 1893 C            ;Aur  ;05 22 47.4 +33 24 11 ;IR   ;sOC  ;    0.22;  3600;      ;   6.50;                                                                                                           ;
NGC 1893 D            ;Aur  ;05 22 49.7 +33 24 42 ;IR   ;sOC  ;    0.03;  3600;      ;   6.28;                                                                                                           ;
NGC 1893 E            ;Aur  ;05 22 49.7 +33 26 51 ;IR   ;sOC  ;    0.14;  3600;      ;       ;                                                                                                           ;
NGC 1893 F            ;Aur  ;05 22 53.6 +33 25 40 ;IR   ;sOC  ;    0.16;  3600;      ;   6.32;                                                                                                           ;
NGC 1893 G            ;Aur  ;05 22 53.8 +33 30 54 ;IR   ;sOC  ;    0.27;  3600;      ;   6.18;                                                                                                           ;
NGC 1893 H            ;Aur  ;05 22 57.5 +33 26 34 ;IR   ;sOC  ;    0.30;  3600;      ;   6.28;                                                                                                           ;
NGC 1963              ;Col  ;05 32 09.6 -36 22 48 ;Op   ;***  ;   20.40;      ;      ;       ;                                                                                                           ;MWSC: Very sparse, poor RDP
NGC 1996              ;Tau  ;05 38 11.3 +25 45 00 ;Op   ;***  ;   24.00;      ;      ;       ;                                                                                                           ;
NGC 2013              ;Aur  ;05 44 01.0 +55 47 36 ;Op   ;***  ;    6.00;      ;      ;       ;                                                                                                           ;
NGC 2017              ;Lep  ;05 39 17.0 -17 50 48 ;Op   ;***  ;   12.00;      ;      ;       ;                                                                                                           ;
NGC 2026              ;Tau  ;05 43 05.8 +20 08 42 ;Op   ;***  ;   15.00;      ;      ;       ;                                                                                                           ;
NGC 2039              ;Ori  ;05 46 12.0 +08 40 30 ;Op   ;***  ;   21.60;      ;      ;       ;                                                                                                           ;
NGC 2061              ;Col  ;05 44 06.0 -33 56 06 ;Op   ;***  ;   18.00;      ;      ;       ;                                                                                                           ;MWSC: asterism, Distance, age, E(B-V) comes from Tadross (2011)
NGC 2063              ;Ori  ;05 43 55.0 +08 39 48 ;Op   ;***  ;    9.00;      ;      ;       ;                                                                                                           ;
NGC 2132              ;Pic  ;05 55 19.2 -59 55 12 ;Op   ;***  ;   29.40;      ;      ;       ;                                                                                                           ;Very sparse
NGC 2143              ;Ori  ;06 03 11.8 +05 44 42 ;Op   ;***  ;   23.40;      ;      ;       ;                                                                                                           ;
NGC 2165              ;Aur  ;06 11 04.0 +51 40 36 ;Op   ;***  ;   10.00;      ;      ;       ;                                                                                                           ;
NGC 2189              ;Ori  ;06 12 07.2 +01 03 18 ;Op   ;***  ;   18.00;      ;      ;       ;                                                                                                           ;
NGC 2195              ;Ori  ;06 14 34.0 +17 38 30 ;Op   ;***  ;    1.00;      ;      ;       ;                                                                                                           ;
NGC 2198              ;Ori  ;06 13 54.0 +01 00 04 ;Op   ;***  ;   23.00;      ;      ;       ;                                                                                                           ;
NGC 2218              ;Gem  ;06 24 36.0 +19 21 31 ;Op   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;
NGC 2219              ;Mon  ;06 23 43.7 -04 41 42 ;Op   ;***  ;   17.40;      ;      ;       ;                                                                                                           ;
NGC 2220              ;Pup  ;06 20 52.8 -44 42 00 ;Op   ;***  ;   15.00;      ;      ;       ;                                                                                                           ;Very sparse
NGC 2224              ;Gem  ;06 27 32.0 +12 39 20 ;Op   ;***  ;   28.00;      ;      ;       ;Camargo 69                                                                                                 ;
NGC 2234              ;Gem  ;06 29 20.4 +16 45 32 ;Op   ;***  ;   12.00;      ;      ;       ;FSR 938                                                                                                    ;
NGC 2240              ;Aur  ;06 33 19.7 +35 15 54 ;Op   ;***  ;   16.80;      ;      ;       ;                                                                                                           ;
NGC 2248              ;Gem  ;06 34 37.2 +26 18 18 ;Op   ;***  ;    6.00;      ;      ;       ;                                                                                                           ;
NGC 2260              ;Mon  ;06 38 03.0 -01 28 24 ;Op   ;***  ;   20.00;      ;      ;       ;                                                                                                           ;
NGC 2264 A            ;Mon  ;06 40 31.5 +09 49 52 ;IR   ;sOC  ;    1.40;   914;      ;   5.95;                                                                                                           ;
NGC 2264 C            ;Mon  ;06 40 40.4 +09 51 06 ;IR   ;sOC  ;    0.11;   914;      ;       ;                                                                                                           ;
NGC 2264 D            ;Mon  ;06 40 45.8 +09 49 03 ;IR   ;sOC  ;    0.49;   914;      ;   6.50;                                                                                                           ;
NGC 2264 E            ;Mon  ;06 40 59.1 +09 52 22 ;IR   ;sOC  ;    1.10;   914;      ;   6.50;                                                                                                           ;
NGC 2264 H            ;Mon  ;06 41 02.1 +09 48 44 ;IR   ;sOC  ;    0.71;   914;      ;       ;                                                                                                           ;
NGC 2264 L            ;Mon  ;06 41 12.8 +09 29 10 ;IR   ;sOC  ;    0.11;   914;      ;       ;                                                                                                           ;
NGC 2265              ;Gem  ;06 41 35.9 +11 55 16 ;Op   ;***  ;   20.00;      ;      ;       ;                                                                                                           ;
NGC 2270              ;Mon  ;06 43 58.8 +03 28 12 ;Op   ;***  ;   24.00;      ;      ;       ;                                                                                                           ;
NGC 2277              ;Gem  ;06 47 47.0 +33 27 10 ;Op   ;***  ;    1.00;      ;      ;       ;                                                                                                           ;
NGC 2306              ;Mon  ;06 54 25.2 -07 12 18 ;Op   ;***  ;   26.40;      ;      ;       ;                                                                                                           ;
NGC 2312              ;Mon  ;06 58 48.0 +10 16 48 ;Op   ;***  ;   13.20;      ;      ;       ;                                                                                                           ;
NGC 2319              ;Mon  ;07 00 41.0 +03 02 06 ;Op   ;***  ;   19.80;      ;      ;       ;                                                                                                           ;
NGC 2331              ;Gem  ;07 06 43.2 +27 15 18 ;Op   ;***  ;   16.80;      ;      ;       ;                                                                                                           ;
NGC 2338              ;Mon  ;07 07 48.0 -05 43 01 ;Op   ;***  ;   10.80;      ;      ;       ;                                                                                                           ;
NGC 2348              ;Vol  ;07 03 03.6 -67 23 24 ;Op   ;***  ;   19.20;      ;      ;       ;                                                                                                           ;Poor, very sparse
NGC 2351              ;Mon  ;07 13 31.7 -10 28 48 ;Op   ;***  ;   12.00;      ;      ;       ;                                                                                                           ;
NGC 2356              ;Gem  ;07 17 07.0 +13 57 30 ;Op   ;***  ;   18.00;      ;      ;       ;                                                                                                           ;
NGC 2362 B            ;CMa  ;07 18 42.9 -24 57 44 ;IR   ;***  ;    1.00;      ;      ;       ;                                                                                                           ;
NGC 2364              ;Mon  ;07 20 46.0 -07 33 00 ;Op   ;***  ;   13.00;      ;      ;       ;                                                                                                           ;
NGC 2368              ;Mon  ;07 21 05.3 -10 20 06 ;Op   ;***  ;   15.00;      ;      ;       ;                                                                                                           ;
NGC 2394              ;CMi  ;07 28 36.0 +07 05 12 ;Op   ;***  ;    8.00;      ;      ;       ;                                                                                                           ;MWSC: asterism
NGC 2395              ;Gem  ;07 27 05.8 +13 35 02 ;Op   ;***  ;   16.80;      ;      ;       ;                                                                                                           ;Very sparse
NGC 2408              ;Cam  ;07 40 09.0 +71 39 18 ;Op   ;***  ;   28.00;      ;      ;       ;                                                                                                           ;
NGC 2459              ;CMi  ;07 52 01.9 +09 33 25 ;Op   ;***  ;   10.20;      ;      ;       ;                                                                                                           ;Skiff: 5* in knot, AH: asterism
NGC 2548 Clump A      ;Hya  ;08 11 56.0 -06 11 12 ;Op   ;sOC  ;   13.00;      ;      ;       ;                                                                                                           ;Vicente et al. 2016
NGC 2548 Clump C1     ;Hya  ;08 13 48.0 -05 46 42 ;Op   ;sOC  ;   23.00;      ;      ;       ;                                                                                                           ;Vicente et al. 2016
NGC 2548 Clump C2     ;Hya  ;08 12 52.0 -05 34 18 ;Op   ;sOC  ;   15.00;      ;      ;       ;                                                                                                           ;Vicente et al. 2016
NGC 2609              ;Car  ;08 29 31.9 -61 06 00 ;Op   ;***  ;   10.20;      ;      ;       ;                                                                                                           ;
NGC 2664              ;Cnc  ;08 47 22.1 +12 36 00 ;Op   ;***  ;   22.80;      ;      ;       ;                                                                                                           ;
NGC 2666              ;Lyn  ;08 49 47.0 +44 42 12 ;Op   ;***  ;   11.00;      ;      ;       ;                                                                                                           ;
NGC 2666A             ;Lyn  ;08 49 47.0 +44 42 12 ;Op   ;***  ;   11.00;      ;      ;       ;                                                                                                           ;not NGC 2666
NGC 2678              ;Cnc  ;08 50 02.0 +11 20 18 ;Op   ;***  ;   13.00;      ;      ;       ;                                                                                                           ;
NGC 272               ;And  ;00 51 26.0 +35 49 18 ;Op   ;***  ;    5.00;      ;      ;       ;                                                                                                           ;Considered as asterism by Pavani D. B., et al. 2001 (MNRAS 412, 1611-1626)
NGC 2932              ;Vel  ;09 35 27.8 -46 48 36 ;Op   ;***  ;   16.80;      ;      ;       ;                                                                                                           ;
NGC 2982              ;Vel  ;09 42 03.6 -44 01 12 ;Op   ;***  ;   13.20;      ;      ;       ;Ruprecht 80                                                                                                ;
NGC 2995              ;Vel  ;09 44 04.0 -54 46 48 ;Op   ;***  ;    7.00;      ;      ;       ;                                                                                                           ;
NGC 3036              ;Car  ;09 49 15.6 -62 40 12 ;Op   ;***  ;   16.80;      ;      ;       ;                                                                                                           ;
NGC 305               ;Psc  ;00 56 20.0 +12 04 00 ;Op   ;***  ;    7.00;      ;      ;       ;                                                                                                           ;Only five stars w few others around. Not a cluster: too much dispersion in its VPD (HSOY)
NGC 3231              ;UMa  ;10 27 29.0 +66 47 54 ;Op   ;***  ;    7.00;      ;      ;       ;                                                                                                           ;
NGC 3446              ;Vel  ;10 52 17.3 -45 07 30 ;Op   ;***  ;   24.60;      ;      ;       ;                                                                                                           ;
NGC 3520              ;Crt  ;11 07 08.0 -18 01 24 ;Op   ;***  ;    3.00;      ;      ;       ;                                                                                                           ;MWSC: asterism, Interacting gx plus 4-5 stars just n of it, Distance, age and E(B-V) comes from Tadross (2011), Alessi: besides the Gx, theres nothing worth of note in the field
NGC 3576              ;Car  ;11 18 42.0 -61 08 00 ;Op   ;***  ;   60.00;      ;      ;       ;                                                                                                           ;
NGC 3909              ;Cen  ;11 50 06.0 -48 12 36 ;Op   ;***  ;   20.40;      ;      ;       ;ESO 217-8                                                                                                  ;
NGC 4230              ;Cen  ;12 17 20.4 -55 07 12 ;Op   ;***  ;   16.20;      ;      ;       ;                                                                                                           ;
NGC 4937              ;Cen  ;13 04 51.5 -47 13 06 ;Op   ;***  ;    0.50;      ;      ;       ;                                                                                                           ;Vs and compact cluster
NGC 5284              ;Cen  ;13 46 24.5 -59 12 00 ;Op   ;***  ;   25.20;      ;      ;       ;                                                                                                           ;
NGC 5299              ;Cen  ;13 50 25.7 -59 56 42 ;Op   ;***  ;   13.20;      ;      ;       ;                                                                                                           ;
NGC 5359              ;Cir  ;14 00 00.0 -70 24 00 ;Op   ;***  ;   20.40;      ;      ;       ;                                                                                                           ;Sparse, poor RDP
NGC 5385              ;UMi  ;13 52 27.0 +76 10 24 ;Op   ;***  ;    8.00;      ;      ;       ;                                                                                                           ;
NGC 5800              ;Lup  ;15 01 46.8 -51 55 01 ;Op   ;***  ;   16.80;      ;      ;       ;                                                                                                           ;
NGC 5998              ;Sco  ;15 49 26.4 -28 34 59 ;Op   ;***  ;   16.80;      ;      ;       ;                                                                                                           ;
NGC 6169              ;Nor  ;16 34 06.5 -44 00 58 ;Op   ;***  ;   13.20;      ;      ;       ;                                                                                                           ;
NGC 6222              ;Sco  ;16 50 27.6 -44 43 48 ;Op   ;***  ;   12.00;      ;      ;       ;                                                                                                           ;
NGC 6322 Assoc        ;Sco  ;17 16 48.0 -42 45 00 ;Op   ;OB   ;   60.00;      ;      ;       ;NGC 6322a                                                                                                  ;
NGC 6334 A            ;Sco  ;17 19 57.9 -35 54 02 ;IR   ;sOC  ;    0.30;  1700;      ;       ;                                                                                                           ;
NGC 6334 D            ;Sco  ;17 20 14.9 -35 54 43 ;IR   ;sOC  ;    0.16;  1700;      ;       ;                                                                                                           ;
NGC 6334 F            ;Sco  ;17 20 23.2 -35 57 00 ;IR   ;sOC  ;    0.44;  1700;      ;       ;                                                                                                           ;
NGC 6334 J            ;Sco  ;17 20 39.2 -35 49 27 ;IR   ;sOC  ;    0.97;  1700;      ;   6.18;                                                                                                           ;
