Name; RA_J2000_deg; De_J2000_deg; Type; Rad_deg; Dst_pc; E_B-V; Log_t; pmRA_mas; pmDe_mas; Reference; Aliases_and_associated_objects
Dolidze_6_A; 305.124583333; +41.3333333333; OC; 0.1333333333; 1009; ; ; -2.29; -6.12; Alessi GDR2; FoF_2247
Dolidze_6_B; 305.052083333; +41.3650000000; OC; 0.1258333333; 1451; ; ; -2.50; -3.20; Alessi GDR2; 
Douglas_2; 297.937500000; +30.0872222222; OC; 0.2083333333; 3770; ; ; -3.43; -6.34; Alessi GEDR3; 
ESO_392-11; 261.392083333; -34.4138888889; OC; 0.0833333333; 1786; ; ; -0.98; -2.34; 2019ApJ...870...32K; AH03_J1725-34.4, BDSB_100, DBM_1, MDF_27, MGC_A_global, MGC14_A_S
ESO_397-1; 286.027083333; -33.3950000000; OC; 0.1200000000; 6800; ; 9.31; -2.78; -1.48; Alessi GEDR3; 
ESO_455-44; 267.275000000; -28.7555555556; OC; 0.0458333333; 2300; ; ; 0.34; -0.87; Alessi GEDR3; 
ESO_494-9; 119.715833333; -27.6641666667; OC; 0.0591666667; 3254; 0.31; 8.73; -2.57; 3.77; Hunt 2021; 
El_Kanbi-Prestg_6; 150.275000000; -60.6883333333; OC; 0.0100000000; 7700; ; ; -2.97; 2.20; Alessi GEDR3; 
Eps_Cap; 324.269166667; -19.4658333333; OC; 1.3333333333; 285; ; 7.44; 12.46; 0.69; Alessi GEDR3; 
Escorial_11; 104.536666667; -21.6286111111; OB; 1.5500000000; 932; ; ; -3.9; 3.6; Alessi GEDR3; HH_CMa
Escorial_13; 107.525833333; -25.2202777778; YA; 1.5000000000; 648; ; 7.60; -4.71; 3.54; Alessi GEDR3; UPK_477
Escorial_15; 108.727500000; -27.0680555556; OB; 1.3416666667; 553; ; ; -4.3; 4.0; Alessi GEDR3; 27_CMa, Collinder_121, NGC_2354, UPK_477, UPK_479
FSR_100; 285.923333333; +0.0152777778; OC; 0.0633333333; 4908; 2.19; 8.00; -2.96; -4.79; Hunt 2021; 
FSR_1112; 90.2416666670; -9.9033333333; EC; 0.0666666667; 980; ; ; -1.73; 1.70; Alessi GEDR3; Majaess_70
FSR_1140; 96.8250000000; -10.1583333333; OC; 0.0666666667; 1030; ; ; -3.42; 1.11; Alessi GEDR3; 
FSR_1158; 107.634583333; -6.6633333333; OC; 0.1266666667; 4127; 0.46; 8.55; -0.58; 0.78; Hunt 2021; 
FSR_1221; 119.165000000; -8.9700000000; OC; 0.2216666667; 2755; 0.62; 8.50; -0.89; 1.33; Hunt 2021; 
FSR_1227; 112.914583333; -13.9363888889; OC; 0.0958333333; 9034; 0.42; 8.97; -1.05; 1.18; Hunt 2021; 
FSR_1243; 113.508333333; -15.7500000000; OC; 0.1516666667; 2692; 0.67; 6.70; -2.14; 1.94; Hunt 2021; 
FSR_1304; 133.366666667; -14.7811111111; OC?; 0.0666666667; 2820; ; ; -1.92; 0.09; Alessi GEDR3; 
FSR_1390; 127.039166667; -40.3388888889; OC; 0.0800000000; 2668; 1.25; 8.30; -4.83; 4.46; Hunt 2021; 
FSR_1412; 129.166666667; -44.1158333333; OC; 0.0800000000; 6390; 1.21; 7.05; -2.64; 3.46; Hunt 2021; 
FSR_1443; 129.856666667; -47.3563888889; OC; 0.0566666667; 4525; 0.46; 8.77; -3.56; 4.14; Dias 2021; 
FSR_1468; 137.529166667; -48.2897222222; OC; 0.3091666667; 1415; 0.90; 8.30; -8.48; 4.95; Hunt 2021; 
FSR_1478; 134.893750000; -52.6744444444; OC; 0.1816666667; 2241; 0.69; 8.61; -7.96; 5.97; Hunt 2021; 
FSR_1500; 145.155833333; -54.2133333333; OC; 0.5675000000; 1684; 0.56; 8.58; -8.23; 5.71; Hunt 2021; 
FSR_1524; 149.308750000; -57.5822222222; OC; 0.1158333333; 1560; 0.85; 8.75; -7.07; 3.77; Hunt 2021; 
FSR_1666; 207.020416667; -61.4750000000; OC; 0.0758333333; 4151; 1.12; 8.15; -5.91; -1.58; Hunt 2021; 
FSR_265; 318.461666667; +42.0055555556; OC; 0.1000000000; 1954; 0.79; 9.00; -3.49; -4.63; Hunt 2021; OSC_318.45+41.91
FSR_307; 323.950416667; +50.5441666667; OC; 0.1433333333; 2007; 0.50; 9.15; -3.88; -3.35; Hunt 2021; 
