name                       RA_ICRS            DE_ICRS         Diam    
BDB_192                    93.65416670   +13.8283333          1.2    
BDB_196                    97.77500000   +10.4283330          2.4    
BDB_21                    277.48750000    +1.2402780          2.4    
BDB_221                    84.11250000    -6.7461110          6.0    
BDB_228                    85.70833300    -8.6436110          8.0    
BDB_229                    91.79500000    -6.0650000         18.6    
BDB_232                    85.72500000    -9.7605560          8.0    
BDB_233                    93.20000000    -6.2322220          5.0    
BDB_234                    85.65833300   -10.0141670          7.0    
BDB_243                   106.01250000   -11.3944444          3.8    
BDB_248                   134.86291700   -43.7561110          3.5    
BDB_257                   209.40415390   -39.9609758         29.8    
BDB_266                   260.22500000   -35.7805556          1.7    
BDB_39                    306.84583300   +37.3805560          3.4    
BDB_74                    324.99166670   +50.2400000          3.5    
BDB_9                     274.27500000   -19.8694440          1.6    
BDB_94                      1.68000000   +65.6290000          5.4    
BDSB_1                    270.92083300   -24.3777780          1.8    
BDSB_10                   281.58300000    -3.7950000          6.0    
BDSB_102                  263.23500000   -32.5700000          7.8    
BDSB_105                  271.88100000   -25.7550000          4.3    
BDSB_106                  270.39600000   -24.8350000          9.0    
BDSB_107                  270.19000000   -24.0730000          7.2    
BDSB_109                  270.50500000   -23.9530000          5.4    
BDSB_11                   287.18400000    +5.5970000          4.8    
BDSB_111                  270.52200000   -21.7750000          7.2    
BDSB_113                  272.24583330   -20.0855556         18.0    
BDSB_114                  273.66666670   -17.8686111          1.2    
BDSB_115                  273.52000000   -17.4700000          6.4    
BDSB_116                  273.65000000   -16.7547222          1.2    
BDSB_117                  278.61700000    -9.2590000          3.8    
BDSB_121                  278.54200000    -7.3050000          4.8    
BDSB_122                  279.49166700    -6.8833330          5.0    
BDSB_124                  280.81000000    -3.5980000          6.0    
BDSB_125                  281.51666670    -2.6552778          1.0    
BDSB_127                  283.33500000    +1.2470000          4.8    
BDSB_129                  284.55416670    +1.6769444          1.4    
BDSB_13                   291.13200000   +20.7950000          6.6    
BDSB_136                  288.53750000   +11.2088889          1.3    
BDSB_137                  289.08700000   +11.3150000          3.6    
BDSB_14                   295.09166700   +27.3080560          1.6    
BDSB_141                  290.72200000   +14.1650000          4.3    
BDSB_143                  290.80000000   +14.4550000          4.2    
BDSB_149                  290.92916700   +14.4986110          1.5    
BDSB_15                   297.30100000   +26.8350000          4.2    
BDSB_151                  290.92916670   +14.5125000          0.8    
BDSB_156                  292.93333330   +18.7069444          5.0    
BDSB_157                  291.51000000   +16.3300000          4.1    
BDSB_159                  307.35000000   +40.1872222          0.9    
BDSB_16                   298.75000000   +27.2160000          4.2    
BDSB_164                  261.38200000   -36.3660000          5.4    
BDSB_165                  262.32000000   -36.6530000          4.2    
BDSB_166                  262.24500000   -36.5620000          4.2    
BDSB_18                   300.28200000   +33.1890000          5.0    
BDSB_19                   315.44200000   +33.5500000          3.8    
BDSB_21                   316.33900000   +49.6570000          4.8    
BDSB_22                   324.11200000   +52.4650000          4.2    
BDSB_23                   320.10000000   +55.4700000          7.8    
BDSB_24                   322.21900000   +54.6080000          4.8    
BDSB_27                   323.04583330   +55.8950000          0.7    
BDSB_3                    271.58200000   -21.6200000          7.8    
BDSB_30                   333.66700000   +61.4330000          2.9    
BDSB_34                   342.37500000   +59.9194444          1.2    
BDSB_37                   344.77500000   +59.4680000          3.6    
BDSB_44                   350.17800000   +61.2000000          8.4    
BDSB_46                   354.94200000   +61.9270000          3.6    
BDSB_47                   358.26300000   +60.4700000          3.0    
BDSB_48                     3.86200000   +61.2600000          4.2    
BDSB_51                    17.15200000   +63.1180000          5.4    
BDSB_68                    79.55700000   +37.5570000          6.6    
BDSB_70                    80.69416700   +33.4194440          2.5    
BDSB_73                    85.38700000   +35.8610000         12.0    
BDSB_74                    84.68500000   +30.7230000          6.6    
BDSB_76                    90.47916670   +26.4161111          1.1    
BDSB_77                    87.55500000   +23.8780000          4.8    
BDSB_8                    276.18700000   -13.3960000          7.9    
BDSB_82                    93.74700000   +12.3380000          6.0    
BDSB_88                   103.64200000    -4.5300000          6.0    
BDSB_9                    274.47083300   -11.7405560          2.5    
BDSB_90                   104.91000000    -4.8600000          4.2    
BDSB_91                    96.31900000   -10.5510000          4.3    
BDSB_92                   104.29700000    -8.2020000          4.3    
BDSB_96                   106.33200000   -12.3270000          5.4    
BH_106                    163.15800000   -54.2650000          9.0    
BH_110                    166.81500000   -61.4600000          6.0    
BH_111                    167.32000000   -63.8340000          3.5    
BH_118                    170.76500000   -58.5490000          2.8    
BH_121                    174.66100000   -63.3870000         18.5    
BH_131                    186.61500000   -63.4170000          5.4    
BH_132                    186.72000000   -64.0580000          5.5    
BH_140                    193.46200000   -67.1800000          7.8    
BH_144                    198.80800000   -65.9200000          2.9    
BH_150                    204.50600000   -63.3460000          3.0    
BH_151                    205.05100000   -61.7310000          1.0    
BH_164                    222.31100000   -66.4650000         76.7    
