Name                     ; Reference           ;E(B-V);  log_t
NGC 7789                 ; 2017AstBu..72..257L ; 0.213;  9.223
NGC 7789                 ; 2020A&A...640A...1C ; 0.259;  9.19
NGC 7789                 ; Dias 2021           ; 0.328;  9.209
NGC 7789                 ; Kharchenko+ 2013    ; 0.221;  9.265
NGC 7790                 ; 2016DAML            ; 0.531;  7.749
NGC 7790                 ; 2017AstBu..72..257L ; 0.527;  7.756
NGC 7790                 ; 2020A&A...640A...1C ; 0.516;  8.11
NGC 7790                 ; Dias 2021           ; 0.585;  8.016
NGC 7790                 ; Kharchenko+ 2013    ; 0.531;  8.100
NGC 7795                 ; 2016DAML            ; 1.00 ;  8.65 
NGC 7795                 ; Kharchenko+ 2013    ; 0.899;  9.000
NGC 7801                 ; 2016DAML            ; 0.17 ;  9.23 
NGC 7801                 ; 2017AstBu..72..257L ; 0.114;  9.220
NGC 7801                 ; Kharchenko+ 2013    ; 0.146;  9.255
NGC 7826                 ; 2016DAML            ; 0.03 ;  9.34 
NGC 7826                 ; 2017AstBu..72..257L ; 0.053;  9.110
NGC 7826                 ; BDCC                ; 0.03 ;  9.34 
NGC 7833                 ; BDCC                ; 0.06 ;  9.30 
NGC 869                  ; 2016DAML            ; 0.575;  7.069
NGC 869                  ; 2017AstBu..72..257L ; 0.570;  7.074
NGC 869                  ; 2020A&A...640A...1C ; 0.528;  7.18
NGC 869                  ; Dias 2021           ; 0.564;  7.110
NGC 869                  ; Kharchenko+ 2013    ; 0.521;  7.280
NGC 884                  ; 2016DAML            ; 0.56 ;  7.1  
NGC 884                  ; 2017AstBu..72..257L ; 0.555;  7.045
NGC 884                  ; 2020A&A...640A...1C ; 0.538;  7.25
NGC 884                  ; Dias 2021           ; 0.551;  7.187
NGC 884                  ; Kharchenko+ 2013    ; 0.560;  7.200
NGC 886                  ; 2020A&A...640A...1C ; 0.244;  8.91
NGC 886                  ; Dias 2021           ; 0.565;  8.287
NGC 886                  ; Kharchenko+ 2013    ; 0.500;  8.750
NGC 896                  ; BDCC                ;      ;  6.54 
NGC 956                  ; 2016DAML            ; 0.354;  9.100
NGC 956                  ; 2017AstBu..72..257L ; 0.238;  8.900
NGC 956                  ; Kharchenko+ 2013    ; 0.354;  9.100
NGC 957                  ; 2016DAML            ; 0.71 ;  7.0  
NGC 957                  ; 2017AstBu..72..257L ; 0.835;  7.042
NGC 957                  ; 2020A&A...640A...1C ; 0.619;  7.62
NGC 957                  ; Dias 2021           ; 0.719;  7.390
NGC 957                  ; Kharchenko+ 2013    ; 0.631;  7.250
Negueruela 1             ; 2020A&A...640A...1C ; 1.059;  7.23
Negueruela 1             ; Dias 2021           ; 1.054;  6.917
Negueruela 1             ; Kharchenko+ 2013    ; 1.249;  6.980
Nu Sco                   ; 2020Alessi          ; 0.23 ;  7.40 
OC-1                     ; 2020PASP..132c4502H ;      ;  9.08 
OC-10                    ; 2020PASP..132c4502H ;      ;  8.50 
OC-11                    ; 2020PASP..132c4502H ;      ;  8.74 
OC-12                    ; 2020PASP..132c4502H ;      ;  8.84 
OC-13                    ; 2020PASP..132c4502H ;      ;  9.60 
OC-14                    ; 2020PASP..132c4502H ;      ;  6.96 
OC-15                    ; 2020PASP..132c4502H ;      ;  6.84 
OC-16                    ; 2020PASP..132c4502H ;      ;  8.58 
OC-2                     ; 2020PASP..132c4502H ;      ;  8.90 
OC-3                     ; 2020PASP..132c4502H ;      ;  8.90 
OC-4                     ; 2020PASP..132c4502H ;      ;  8.76 
OC-5                     ; 2020PASP..132c4502H ;      ;  7.74 
OC-6                     ; 2020PASP..132c4502H ;      ;  7.92 
OC-7                     ; 2020PASP..132c4502H ;      ;  7.60 
OC-8                     ; 2020PASP..132c4502H ;      ;  7.24 
OC-9                     ; 2020PASP..132c4502H ;      ;  8.90 
OCl-374                  ; 2016DAML            ; 1.27 ;  7.85 
OCl-374                  ; BDCC                ; 1.27 ;  7.85 
ONC                      ; Kuhn+ 2019          ;      ;  6.13 
OPD 14                   ; BDCC                ; 0.02 ;  8.83 
OPD 37                   ; BDCC                ; 0.00 ;  8.50 
OPD 51 A                 ; 2020Alessi          ; 0.01 ;  8.42 
OPD 51 B                 ; 2020Alessi          ; 0.10 ;  8.30 
OPD 55                   ; BDCC                ; 0.03 ;  9.23 
OPD 68 A                 ; 2020Alessi          ; 0.04 ;  8.68 
OPD 68 B                 ; 2020Alessi          ; 0.10 ;  8.30 
OPD 81                   ; BDCC                ; 0.00 ;  9.02 
OPD 83                   ; BDCC                ; 0.00 ;  9.25 
Octans Assoc             ; BDCC                ;      ;  7.30 
Octans Assoc             ; Gagne+ 2018         ;      ;  7.544
Oliveira 1               ; BDCC                ;      ;  6.32 
Oliveira 10              ; BDCC                ;      ;  5.30 
Oliveira 11              ; BDCC                ;      ;  6.59 
Oliveira 13              ; BDCC                ;      ;  6.56 
Oliveira 15              ; BDCC                ;      ;  6.54 
Oliveira 2               ; BDCC                ;      ;  5.30 
Oliveira 3               ; BDCC                ;      ;  6.57 
Oliveira 4               ; BDCC                ;      ;  6.65 
Oliveira 5               ; BDCC                ;      ;  6.65 
Oliveira 6               ; BDCC                ;      ;  5.48 
Oliveira 8               ; BDCC                ;      ;  5.60 
Oliveira 9               ; BDCC                ;      ;  6.42 
Ophiuchus stream         ; BDCC                ; 0.01 ; 10.07 
Ori OB1 B                ; BDCC                ;      ;  6.30 
Ori R1/R2                ; BDCC                ; 0.41 ;       
Orion B                  ; BDCC                ;      ;  6.04 
Orion C                  ; BDCC                ;      ;  6.18 
Orion D                  ; BDCC                ;      ;  6.43 
PLK 1                    ; BDCC                ; 0.05 ;  8.31 
PLK 11                   ; BDCC                ; 0.00 ;  7.75 
PLK 12                   ; BDCC                ; 0.00 ;  8.09 
PLK 15                   ; BDCC                ; 0.08 ;  8.34 
PLK 16                   ; BDCC                ;      ;  8.30 
PLK 17                   ; BDCC                ; 0.14 ;  8.40 
PLK 2                    ; BDCC                ; 0.00 ;  8.80 
PLK 4                    ; BDCC                ; 0.27 ;  8.55 
PLK 6                    ; BDCC                ; 0.00 ;  7.78 
PLK 8                    ; BDCC                ; 0.00 ;  7.96 
PTB 2                    ; Kharchenko+ 2013    ; 0.770;  9.300
PTB 3                    ; Kharchenko+ 2013    ; 0.500;  9.500
PTB 4                    ; Kharchenko+ 2013    ; 1.199;  7.000
PTB 6                    ; Kharchenko+ 2013    ; 1.241;  8.932
PTB 7                    ; Kharchenko+ 2013    ; 1.405;  6.550
PTB 9                    ; Kharchenko+ 2013    ; 0.700;  9.070
Palomar 1                ; BDCC                ; 0.15 ;  9.85 
Palomar 1                ; Baumgart 2021       ; 0.15 ;  9.9031
Palomar 10               ; Kharchenko+ 2013    ; 1.666;  9.800
Palomar 11               ; Baumgart 2021       ; 0.40 ; 10.0170
Palomar 11               ; Kharchenko+ 2013    ; 0.350; 10.000
Palomar 12               ; Baumgart 2021       ; 0.02 ;  9.9542
Palomar 12               ; Kharchenko+ 2013    ; 0.021; 10.050
Palomar 13               ; BDCC                ; 0.05 ; 10.02 
Palomar 13               ; Baumgart 2021       ; 0.06 ; 10.0414
Palomar 14               ; BDCC                ; 0.04 ; 10.00 
Palomar 14               ; Baumgart 2021       ; 0.03 ; 10.0607
Palomar 15               ; Baumgart 2021       ; 0.34 ; 10.0792
Palomar 15               ; Kharchenko+ 2013    ; 0.416; 10.100
Palomar 2                ; Baumgart 2021       ; 1.24 ; 10.0792
Palomar 2                ; Kharchenko+ 2013    ; 1.241; 10.050
Palomar 3                ; BDCC                ; 0.04 ; 10.00 
Palomar 3                ; Baumgart 2021       ; 0.04 ; 10.0000
Palomar 4                ; BDCC                ; 0.01 ; 10.00 
Palomar 4                ; Baumgart 2021       ; 0.02 ; 10.0492
Palomar 5                ; Baumgart 2021       ; 0.03 ; 10.0792
Palomar 5                ; Kharchenko+ 2013    ; 0.031; 10.100
Palomar 6                ; Kharchenko+ 2013    ; 1.457; 10.050
Palomar 8                ; Kharchenko+ 2013    ; 0.323;  9.900
Park-Finley 1            ; BDCC                ;      ;  6.98 
Patchick 103             ; 2016DAML            ; 0.71 ;  8.90 
Patchick 103             ; Kharchenko+ 2013    ; 0.396;  8.950
Patchick 122             ; Garro 2021 priv     ; 1.85 ;  9.90   
Patchick 125             ; Garro 2021 priv     ; 0.96 ; 10.15   
Patchick 126             ; Garro 2021 priv     ; 1.29 ;  9.90   
Patchick 3               ; Dias 2021           ; 0.462;  9.100
Patchick 3               ; Kharchenko+ 2013    ; 0.687;  8.905
Patchick 57              ; wilton.unifei.edu.br;      ;  9.16 
Patchick 75              ; 2016DAML            ; 0.73 ;  8.95 
Patchick 75              ; Kharchenko+ 2013    ; 0.854;  9.060
Patchick 78              ; 2016DAML            ; 0.60 ;  9.25 
Patchick 78              ; BDCC                ; 0.60 ;  9.25 
Patchick 79              ; BDCC                ; 0.23 ;  8.60 
Patchick 89              ; 2016DAML            ; 0.33 ;  9.35 
Patchick 89              ; Kharchenko+ 2013    ; 0.416;  9.200
Patchick 90              ; 2016DAML            ; 0.41 ;  8.95 
Patchick 90              ; 2020A&A...640A...1C ; 0.491;  9.04
Patchick 90              ; Dias 2021           ; 0.625;  8.830
Patchick 90              ; Kharchenko+ 2013    ; 0.562;  8.950
Patchick 94              ; 2016DAML            ; 1.312;  9.070
Patchick 94              ; Kharchenko+ 2013    ; 1.520;  6.550
Pavani-Bica 1            ; 2016DAML            ; 0.00 ;  8.78 
Pavani-Bica 1            ; BDCC                ; 0.21 ;  8.88 
Peacock subgroup         ; BDCC                ;      ;  7.65 
Per OB2                  ; Kharchenko+ 2013    ; 0.200;  7.355
Per R1                   ; BDCC                ; 0.53 ;       
Pfleiderer 1             ; 2016DAML            ; 0.94 ;  9.00 
Pfleiderer 1             ; Kharchenko+ 2013    ; 1.312;  9.070
Pfleiderer 2             ; 2016DAML            ; 1.651;  9.000
Pfleiderer 2             ; Kharchenko+ 2013    ; 0.958;  9.850
Pfleiderer 3             ; 2016DAML            ; 1.50 ;  9.00 
Pfleiderer 3             ; 2017AstBu..72..257L ; 1.232;  9.400
Pfleiderer 3             ; Kharchenko+ 2013    ; 1.651;  9.000
Pfleiderer 4             ; 2016DAML            ; 0.62 ;  9.80 
Pfleiderer 4             ; 2017AstBu..72..257L ; 0.520;  8.580
Pfleiderer 4             ; Kharchenko+ 2013    ; 0.812;  9.650
Pismis 1                 ; 2016DAML            ; 0.578;  7.928
Pismis 1                 ; 2017AstBu..72..257L ; 0.578;  7.928
Pismis 1                 ; 2020A&A...640A...1C ; 0.528;  7.47
Pismis 1                 ; Dias 2021           ; 0.659;  7.031
Pismis 1                 ; Kharchenko+ 2013    ; 0.583;  7.800
Pismis 10                ; 2016DAML            ; 1.270;  6.000
Pismis 10                ; Kharchenko+ 2013    ; 1.457;  8.400
Pismis 11                ; 2016DAML            ; 1.2  ;  7.0  
Pismis 11                ; 2020A&A...640A...1C ; 1.156;  6.52
Pismis 11                ; Dias 2021           ; 1.063;  6.781
Pismis 11                ; Kharchenko+ 2013    ; 1.270;  6.000
Pismis 12                ; 2016DAML            ; 0.27 ;  9.40 
Pismis 12                ; 2020A&A...640A...1C ; 0.441;  9.09
Pismis 12                ; Dias 2021           ; 0.645;  9.087
Pismis 12                ; Kharchenko+ 2013    ; 0.521;  9.205
Pismis 14                ; 2016DAML            ; 0.56 ;  7.35 
Pismis 14                ; Kharchenko+ 2013    ; 0.479;  8.355
Pismis 15                ; 2016DAML            ; 0.53 ;  9.11 
Pismis 15                ; 2020A&A...640A...1C ; 0.591;  8.94
Pismis 15                ; Dias 2021           ; 0.503;  9.258
Pismis 15                ; Kharchenko+ 2013    ; 0.500;  9.095
Pismis 16                ; 2016DAML            ; 0.557;  7.839
Pismis 16                ; 2017AstBu..72..257L ; 0.557;  7.839
Pismis 16                ; Kharchenko+ 2013    ; 0.625;  7.100
Pismis 17                ; 2016DAML            ; 0.471;  7.023
Pismis 17                ; 2017AstBu..72..257L ; 0.471;  7.023
Pismis 17                ; Kharchenko+ 2013    ; 0.729;  7.400
Pismis 18                ; 2016DAML            ; 0.50 ;  9.08 
Pismis 18                ; 2019 Hatzid.        ; 0.562;  8.845
Pismis 18                ; 2020A&A...640A...1C ; 0.566;  8.76
Pismis 18                ; Dias 2021           ; 0.698;  8.832
Pismis 18                ; Kharchenko+ 2013    ; 0.521;  8.975
Pismis 19                ; 2016DAML            ; 1.48 ;  8.90 
Pismis 19                ; 2020A&A...640A...1C ; 1.144;  8.92
Pismis 19                ; Kharchenko+ 2013    ; 1.301;  9.015
Pismis 2                 ; 2016DAML            ; 0.05 ;  9.06 
Pismis 2                 ; 2020A&A...640A...1C ; 1.038;  9.27
Pismis 2                 ; Kharchenko+ 2013    ; 1.291;  9.055
Pismis 20                ; 2016DAML            ; 1.28 ;  6.864
Pismis 20                ; 2017AstBu..72..257L ; 1.178;  6.869
Pismis 20                ; Dias 2021           ; 1.050;  6.826
Pismis 20                ; Kharchenko+ 2013    ; 1.145;  7.500
Pismis 21                ; 2016DAML            ; 0.625;  8.110
Pismis 21                ; Kharchenko+ 2013    ; 0.625;  8.110
Pismis 22                ; 2016DAML            ; 2.00 ;  7.60 
Pismis 22                ; Kharchenko+ 2013    ; 1.926;  8.200
Pismis 23                ; 2016DAML            ; 2.00 ;  8.48 
Pismis 23                ; Kharchenko+ 2013    ; 1.457;  8.565
Pismis 24                ; 2016DAML            ; 1.72 ;  7.00 
Pismis 24                ; Kharchenko+ 2013    ; 2.634;  6.000
Pismis 24                ; Kuhn+ 2019          ;      ;  6.13 
Pismis 26                ; Kharchenko+ 2013    ; 1.239; 10.050
Pismis 27                ; 2016DAML            ; 0.68 ;  7.70 
Pismis 27                ; 2017AstBu..72..257L ; 0.562;  7.930
Pismis 27                ; 2020A&A...640A...1C ; 0.469;  6.73
Pismis 27                ; Dias 2021           ; 0.591;  6.971
Pismis 27                ; Kharchenko+ 2013    ; 0.604;  8.250
Pismis 3                 ; 2016DAML            ; 1.300;  9.027
Pismis 3                 ; 2017AstBu..72..257L ; 1.300;  9.027
Pismis 3                 ; 2020A&A...640A...1C ; 0.734;  9.50
Pismis 3                 ; Dias 2021           ; 1.069;  8.996
Pismis 3                 ; Kharchenko+ 2013    ; 1.187;  8.925
Pismis 4                 ; 2016DAML            ; 0.013;  7.533
Pismis 4                 ; 2017AstBu..72..257L ; 0.012;  7.533
Pismis 4                 ; 2019 Bossini        ; 0.030;  7.905
Pismis 4                 ; 2020A&A...640A...1C ; 0.056;  8.08
Pismis 4                 ; Dias 2021           ; 0.094;  8.094
Pismis 4                 ; Kharchenko+ 2013    ; 0.010;  8.155
Pismis 5                 ; 2016DAML            ; 0.421;  7.197
Pismis 5                 ; 2017AstBu..72..257L ; 0.421;  7.197
Pismis 5                 ; 2020A&A...640A...1C ; 0.463;  7.00
Pismis 5                 ; Dias 2021           ; 0.448;  6.883
Pismis 5                 ; Kharchenko+ 2013    ; 0.833;  7.300
Pismis 6                 ; Kharchenko+ 2013    ; 0.381;  7.580
Pismis 7                 ; 2016DAML            ; 0.69 ;  8.70 
Pismis 7                 ; 2020A&A...640A...1C ; 0.500;  8.89
Pismis 7                 ; Dias 2021           ; 0.670;  8.968
Pismis 7                 ; Kharchenko+ 2013    ; 0.937;  8.705
Pismis 8                 ; 2016DAML            ; 0.706;  7.427
Pismis 8                 ; 2017AstBu..72..257L ; 0.706;  7.427
Pismis 8                 ; 2020A&A...640A...1C ; 0.494;  7.51
Pismis 8                 ; Dias 2021           ; 0.670;  7.137
Pismis 8                 ; Kharchenko+ 2013    ; 0.708;  7.430
Pismis-Moreno 1          ; 2016DAML            ; 0.550;  7.400
Pismis-Moreno 1          ; 2017AstBu..72..257L ; 1.262;  6.740
Pismis-Moreno 1          ; 2020A&A...640A...1C ; 0.644;  6.95
Pismis-Moreno 1          ; Dias 2021           ; 0.609;  6.909
Pismis-Moreno 1          ; Kharchenko+ 2013    ; 0.550;  7.400
Platais 1                ; 2016DAML            ; 0.357;  8.244
Platais 1                ; 2017AstBu..72..257L ; 0.351;  8.290
Platais 1                ; Kharchenko+ 2013    ; 0.854;  8.200
Platais 10               ; 1998AJ....116.2423P ;      ;  8.00 
Platais 10               ; 2016DAML            ;      ;  8.00 
Platais 10               ; 2019 Bossini        ; 0.089;  7.962
Platais 10               ; 2020A&A...640A...1C ; 0.069;  8.04
Platais 10               ; Dias 2021           ; 0.135;  8.314
Platais 10               ; Kharchenko+ 2013    ; 0.079;  8.340
Platais 11               ; 1998AJ....116.2423P ;      ;  8.30 
Platais 11               ; 2016DAML            ;      ;  8.30 
Platais 12               ; 1998AJ....116.2423P ;      ;  8.30 
Platais 12               ; 2016DAML            ; 0.10 ;  8.23 
Platais 12               ; 2017AstBu..72..257L ; 0.100;  8.230
Platais 12               ; Kharchenko+ 2013    ; 0.135;  8.400
Platais 2                ; 1998AJ....116.2423P ;      ;  8.60 
Platais 2                ; 2016DAML            ; 0.050;  8.313
Platais 2                ; 2017AstBu..72..257L ; 0.000;  8.600
Platais 2                ; Kharchenko+ 2013    ; 0.050;  8.313
Platais 3                ; 1998AJ....116.2423P ;      ;  8.60 
Platais 3                ; 2016DAML            ; 0.10 ;  8.70 
Platais 3                ; 2017AstBu..72..257L ; 0.100;  8.700
Platais 3                ; 2019 Bossini        ; 0.071;  8.319
Platais 3                ; 2020A&A...640A...1C ; 0.000;  8.25
Platais 3                ; Dias 2021           ; 0.025;  8.261
Platais 3                ; Kharchenko+ 2013    ; 0.000;  8.800
Platais 4                ; 1998AJ....116.2423P ;      ;  8.00 
Platais 4                ; 2016DAML            ;      ;  8.00 
Platais 4                ; Kharchenko+ 2013    ; 0.271;  8.550
Platais 5                ; 1998AJ....116.2423P ;      ;  7.78 
Platais 5                ; 2016DAML            ;      ;  7.78 
Platais 5                ; Kharchenko+ 2013    ; 0.000;  7.780
Platais 6                ; 1998AJ....116.2423P ;      ;  7.78 
Platais 6                ; 2016DAML            ;      ;  7.78 
Platais 6                ; Kharchenko+ 2013    ; 0.000;  7.960
Platais 7                ; 1998AJ....116.2423P ;      ;  8.00 
Platais 8                ; 1998AJ....116.2423P ;      ;  7.78 
Platais 8                ; 2016DAML            ;      ;  7.78 
Platais 8                ; 2020A&A...640A...1C ; 0.044;  7.48
Platais 8                ; Dias 2021           ; 0.061;  7.567
Platais 8                ; Gagne+ 2018         ;      ;  7.778
Platais 8                ; Kharchenko+ 2013    ; 0.000;  7.750
Platais 9                ; 1998AJ....116.2423P ;      ;  8.00 
Platais 9                ; 2016DAML            ;      ;  8.00 
Platais 9                ; 2019 Bossini        ; 0.000;  7.894
Platais 9                ; 2020A&A...640A...1C ; 0.000;  7.70
Platais 9                ; Dias 2021           ; 0.045;  7.744
Platais 9                ; Kharchenko+ 2013    ; 0.000;  8.090
Pleiades                 ; 2017AstBu..72..257L ; 0.030;  8.131
Pleiades                 ; BDCC                ; 0.02 ;  8.15 
Polaris Cl               ; BDCC                ; 0.02 ;  7.90 
Poole J1855+10.8         ; 2016DAML            ; 0.791;  8.975
Poole J1855+10.8         ; 2017AstBu..72..257L ; 0.339;  8.850
Poole J1855+10.8         ; Kharchenko+ 2013    ; 0.791;  8.975
Poole J1856+10.8         ; 2016DAML            ; 0.895;  8.975
Poole J1856+10.8         ; 2017AstBu..72..257L ; 0.568;  9.060
Poole J1856+10.8         ; Kharchenko+ 2013    ; 0.895;  8.975
Pozzo 1                  ; 2019 Bossini        ; 0.053;  7.117
Pozzo 1                  ; 2020A&A...640A...1C ; 0.022;  6.98
Pozzo 1                  ; Dias 2021           ; 0.051;  7.086
Price-Whelan 1A          ; BDCC                ; 0.10 ;  8.11 
Price-Whelan 1A East     ; 2019MNRAS.490.2588B ;      ;  8.11 
Price-Whelan 1A West     ; 2019MNRAS.490.2588B ;      ;  8.11 
Price-Whelan 1B          ; 2019MNRAS.490.2588B ;      ;  8.11 
Price-Whelan 1B          ; BDCC                ; 0.10 ;  8.11 
Pup OB3                  ; Kharchenko+ 2013    ; 1.749;  6.400
Pup R1                   ; BDCC                ; 0.88 ;       
Pup R2                   ; BDCC                ; 0.43 ;       
Pup R3                   ; BDCC                ; 0.52 ;       
Pyx GC                   ; BDCC                ; 0.21 ; 10.10 
Pyx GC                   ; Baumgart 2021       ; 0.28 ; 10.0607
QC 1                     ; arXiv:2008.07164v1  ;      ;  7.00
QC 2                     ; arXiv:2008.07164v1  ;      ;  8.55
QC 3                     ; arXiv:2008.07164v1  ;      ;  8.60
QC 4                     ; arXiv:2008.07164v1  ;      ;  8.40
Quartet Cl               ; BDCC                ;      ;  6.78 
Quintuplet Cl            ; BDCC                ;      ;  6.60 
RCW 120                  ; Kuhn+ 2019          ;      ;  5.88 
RCW 36 A                 ; BDCC                ;      ;  5.95 
RCW 38 A                 ; BDCC                ;      ;  6.28 
RCW 38 B                 ; BDCC                ;      ;  6.28 
RCW 38 C                 ; BDCC                ;      ;  6.28 
RMC-4b                   ; Kharchenko+ 2013    ; 0.625;  8.290
RSG 1                    ; 2016A&A...595A..22R ;      ;  8.10 
RSG 1                    ; 2020A&A...640A...1C ; 0.166;  8.09
RSG 1                    ; BDCC                ; 0.24 ;  8.10 
RSG 1                    ; Dias 2021           ; 0.191;  8.482
RSG 2                    ; 2016A&A...595A..22R ;      ;  8.10 
RSG 2                    ; BDCC                ; 0.04 ;  8.10 
RSG 3                    ; 2016A&A...595A..22R ;      ;  9.00 
RSG 3                    ; BDCC                ; 0.01 ;  9.00 
RSG 4                    ; 2016A&A...595A..22R ;      ;  8.55 
RSG 4                    ; BDCC                ; 0.07 ;  8.55 
RSG 5                    ; 2016A&A...595A..22R ;      ;  7.70 
RSG 5                    ; 2020A&A...640A...1C ; 0.003;  7.54
RSG 5                    ; BDCC                ; 0.04 ;  7.70 
RSG 5                    ; Dias 2021           ; 0.067;  7.718
RSG 6                    ; 2016A&A...595A..22R ;      ;  7.80 
RSG 6                    ; BDCC                ; 0.04 ;  7.80 
RSG 7                    ; 2016A&A...595A..22R ;      ;  8.30 
RSG 7                    ; 2020A&A...640A...1C ; 0.178;  7.59
RSG 7                    ; BDCC                ; 0.06 ;  8.30 
RSG 7                    ; Dias 2021           ; 0.227;  7.925
RSG 8                    ; 2016A&A...595A..22R ;      ;  8.50 
RSG 8                    ; 2020A&A...640A...1C ; 0.166;  7.43
RSG 8                    ; BDCC                ; 0.05 ;  8.50 
RSG 8                    ; Dias 2021           ; 0.208;  7.568
RSG 9                    ; 2016A&A...595A..22R ;      ;  8.25 
RSG 9                    ; BDCC                ; 0.05 ;  8.25 
RSGC 3                   ; BDCC                ;      ;  7.30 
Reiland 1                ; 2016DAML            ; 0.52 ;  9.00 
Reiland 1                ; BDCC                ; 0.52 ;  9.00 
Renou 14                 ; BDCC                ; 0.10 ;  8.75 
Reyle-Robin 1            ; BDCC                ; 2.90 ;  6.60 
Reyle-Robin 2            ; BDCC                ; 5.50 ;  6.60 
Riddle 13                ; 2020Alessi          ;      ;  6.40 
Riddle 15                ; 2016DAML            ; 1.42 ;  9.10 
Riddle 15                ; Garro 2021 priv     ; 1.14 ; 10.15   
Riddle 15                ; Kharchenko+ 2013    ; 1.666;  9.000
Riddle 4                 ; 2016DAML            ; 1.10 ;  7.60 
Riddle 4                 ; 2017AstBu..72..257L ; 0.688;  8.340
Riddle 4                 ; 2020A&A...640A...1C ; 0.941;  7.43
Riddle 4                 ; Dias 2021           ; 0.979;  7.034
Riddle 4                 ; Kharchenko+ 2013    ; 1.049;  7.350
Riddle 5                 ; Kharchenko+ 2013    ; 0.895;  8.765
Riddle 6                 ; Kharchenko+ 2013    ; 0.333;  7.100
Rosette B                ; BDCC                ;      ;  6.63 
Rosette C                ; BDCC                ;      ;  6.61 
Rosette E                ; BDCC                ;      ;  6.48 
Rosette F                ; BDCC                ;      ;  6.60 
Rosette L                ; BDCC                ;      ;  6.43 
Rosette M                ; BDCC                ;      ;  6.28 
Rosette N                ; BDCC                ;      ;  6.11 
Rosette O                ; BDCC                ;      ;  6.23 
Roslund 1                ; 2016DAML            ; 0.05 ;  8.47 
Roslund 1                ; Kharchenko+ 2013    ; 0.050;  8.765
Roslund 2                ; 2016DAML            ; 0.90 ;  6.89 
Roslund 2                ; 2017AstBu..72..257L ; 0.555;  8.750
Roslund 2                ; 2020A&A...640A...1C ; 0.856;  7.06
Roslund 2                ; Dias 2021           ; 0.865;  7.080
Roslund 2                ; Kharchenko+ 2013    ; 0.899;  6.780
Roslund 3                ; 2016DAML            ; 0.348;  8.036
Roslund 3                ; 2017AstBu..72..257L ; 0.340;  8.025
Roslund 3                ; 2019 Bossini        ; 1.334;  7.643
Roslund 3                ; 2020A&A...640A...1C ; 0.241;  7.73
Roslund 3                ; Dias 2021           ; 0.347;  8.036
Roslund 3                ; Kharchenko+ 2013    ; 0.323;  7.700
Roslund 4                ; 2016DAML            ; 0.91 ;  6.6  
Roslund 4                ; 2017AstBu..72..257L ; 0.964;  7.526
Roslund 4                ; 2020A&A...640A...1C ; 0.728;  7.23
Roslund 4                ; Kharchenko+ 2013    ; 0.910;  6.600
Roslund 5                ; 2016DAML            ; 0.098;  7.832
Roslund 5                ; 2017AstBu..72..257L ; 0.098;  7.832
Roslund 5                ; 2020A&A...640A...1C ; 0.109;  7.99
Roslund 5                ; Dias 2021           ; 0.120;  8.373
Roslund 5                ; Kharchenko+ 2013    ; 0.062;  7.570
Roslund 6                ; 2016DAML            ; 0.06 ;  8.47 
Roslund 6                ; 2017AstBu..72..257L ; 0.576;  8.524
Roslund 6                ; 2019 Bossini        ; 0.046;  7.976
Roslund 6                ; 2020A&A...640A...1C ; 0.000;  7.95
Roslund 6                ; Dias 2021           ; 0.040;  8.413
Roslund 6                ; Kharchenko+ 2013    ; 0.062;  8.670
Roslund 7                ; 2016DAML            ; 0.20 ;  8.67 
Roslund 7                ; 2020A&A...640A...1C ; 0.153;  8.10
Roslund 7                ; Dias 2021           ; 0.277;  8.507
Roslund 7                ; Kharchenko+ 2013    ; 0.200;  8.600
Ruprecht 1               ; 2016DAML            ; 0.17 ;  8.68 
Ruprecht 1               ; 2017AstBu..72..257L ; 0.088;  8.800
Ruprecht 1               ; 2019 Bossini        ; 0.225;  8.502
Ruprecht 1               ; 2020A&A...640A...1C ; 0.191;  8.46
Ruprecht 1               ; Dias 2021           ; 0.240;  8.635
Ruprecht 1               ; Kharchenko+ 2013    ; 0.146;  8.790
Ruprecht 10              ; 2016DAML            ; 0.38 ;  9.04 
Ruprecht 10              ; 2017AstBu..72..257L ; 0.333;  8.930
Ruprecht 10              ; 2020A&A...640A...1C ; 0.172;  8.46
Ruprecht 10              ; Dias 2021           ; 0.243;  8.632
Ruprecht 10              ; Kharchenko+ 2013    ; 0.625;  8.800
Ruprecht 100             ; 2016DAML            ; 0.56 ;  8.50 
Ruprecht 100             ; 2020A&A...640A...1C ; 0.488;  8.31
Ruprecht 100             ; Dias 2021           ; 0.474;  8.748
Ruprecht 100             ; Kharchenko+ 2013    ; 0.729;  8.600
Ruprecht 101             ; 2016DAML            ; 0.52 ;  9.05 
Ruprecht 101             ; 2020A&A...640A...1C ; 0.413;  9.02
Ruprecht 101             ; Dias 2021           ; 0.604;  9.013
Ruprecht 101             ; Kharchenko+ 2013    ; 0.687;  8.870
Ruprecht 102             ; 2016DAML            ; 0.521;  7.500
Ruprecht 102             ; 2020A&A...640A...1C ; 0.484;  8.64
Ruprecht 102             ; Dias 2021           ; 0.512;  8.763
Ruprecht 102             ; Kharchenko+ 2013    ; 0.521;  7.500
Ruprecht 103             ; Kharchenko+ 2013    ; 0.416;  9.110
Ruprecht 104             ; 2016DAML            ; 0.750;  8.890
Ruprecht 104             ; Kharchenko+ 2013    ; 0.750;  8.890
