Name                Cns RA           Dec         Type    Diam   Dist  E(B-V) Age     pmRA    pmDe  BibCode            
FoF 1091            Cen  11 48 39.2 -61 56 43    OC?     15.2   3968         9.22   -6.63    1.12  Liu 2019           
FoF 1573            Cen  11 48 48.9 -61 06 53    OC?     13.6   3236         8.70   -6.70    1.16  Liu 2019           
FoF 1572            Cen  11 49 04.4 -61 17 06    OC?     10.4   3802         6.60   -6.33    1.13  Liu 2019           
FoF 1590            Cen  11 49 07.1 -61 37 09    OC?     13.7   3378         9.03   -6.21    1.19  Liu 2019           
FoF 840             Cen  11 49 32.0 -63 55 03    OC?     16.9   4016         8.83   -5.97    1.02  Liu 2019           
FoF 1120            Cen  11 51 27.0 -62 49 28    OC?     11.4   3521         6.60   -6.32    0.98  Liu 2019           
FoF 1116            Cen  11 52 31.4 -62 13 33    OC?     12.8   4115         8.71   -6.22    1.29  Liu 2019           
FoF 1118            Cen  11 53 21.8 -62 44 42    OC?     13.3   4016         6.78   -6.14    0.67  Liu 2019           
FoF 1114            Cen  11 54 40.0 -62 29 56    OC?     14.3   3663         9.19   -6.10    0.84  Liu 2019           
FoF 1152            Cen  13 14 19.8 -64 09 29    OC?     11.0   3759         8.19   -6.68   -0.89  Liu 2019           
FoF 1139            Cen  13 14 54.2 -63 47 52    OC?     11.4   4065         8.90   -6.26   -0.94  Liu 2019           
FoF 1156            Cen  13 16 21.6 -63 26 50    OC?     11.3   4115         7.92   -6.51   -1.09  Liu 2019           
FoF 1607            Cen  13 16 39.8 -62 40 38    OC?     17.2   3906         8.06   -6.39   -0.98  Liu 2019           
FoF 1603            Cen  13 17 49.8 -62 58 20    OC?     16.3   4184         9.22   -6.47   -1.06  Liu 2019           
FoF 1159            Cen  13 17 55.0 -64 34 04    OC?     14.6   3968         8.86   -5.77   -0.98  Liu 2019           
FoF 1155            Cen  13 18 20.0 -63 27 00    OC?     15.5   3610         7.87   -6.24   -1.16  Liu 2019           
FoF 1143            Cen  13 19 26.7 -63 35 04    OC?     15.0   4149         8.10   -6.71   -0.99  Liu 2019           
FoF 1141            Cen  13 19 42.7 -63 24 22    OC?     12.4   3968         8.04   -6.84   -1.20  Liu 2019           
FoF 1140            Cen  13 20 30.5 -63 36 56    OC?      9.6   4184         8.06   -6.66   -0.99  Liu 2019           
FoF 1606            Cen  13 20 58.3 -61 57 54    OC?     13.1   3049         8.83   -6.03   -1.50  Liu 2019           
FoF 1605            Cen  13 23 19.6 -62 57 06    OC?     13.6   4329         9.29   -6.55   -1.07  Liu 2019           
FoF 1153            Cen  13 23 28.6 -63 00 00    OC?     17.0   3497         9.22   -7.06   -1.21  Liu 2019           
FoF 1144            Cen  13 23 44.7 -63 15 26    OC?     16.3   2882         8.20   -6.24   -1.22  Liu 2019           
