Streicher 93        ;Phe  ;01 42 30.0 -42 12 17 ;Op   ;***  ;    13.0;      ;      ;                                                    ;
Streicher 94        ;Pyx  ;01 56 24.0 -43 07 17 ;Op   ;***  ;     9.0;      ;      ;                                                    ;
Streicher 95        ;Pyx  ;08 50 18.0 -36 38 12 ;Op   ;***  ;     6.0;      ;      ;                                                    ;
Streicher 96        ;Car  ;09 14 18.0 -62 09 00 ;Op   ;***  ;     4.0;      ;      ;                                                    ;
Streicher 97        ;Nor  ;15 44 16.0 -56 09 00 ;Op   ;***  ;    11.0;      ;      ;                                                    ;
Streicher 98        ;UMi  ;17 13 06.0 +87 57 18 ;Op   ;***  ;     4.0;      ;      ;                                                    ;
Streicher 99        ;Sct  ;18 43 51.5 -10 49 35 ;Op   ;***  ;     2.8;      ;      ;                                                    ;
Streicher 100       ;Car  ;10 21 30.0 -69 40 24 ;Op   ;***  ;     2.0;      ;      ;Streicher J1021-69                                  ;
Streicher 101       ;CrA  ;18 56 15.0 -39 58 17 ;Op   ;***  ;     2.8;      ;      ;Streicher J1856-39                                  ;
Streicher 102       ;Equ  ;21 02 27.0 +05 34 12 ;Op   ;***  ;     6.0;      ;      ;Streicher J2102+05                                  ;
Streicher 103       ;Gem  ;06 53 02.0 +22 16 06 ;Op   ;***  ;    11.0;      ;      ;Streicher J0653+22                                  ;
Streicher 104       ;Lup  ;15 57 27.0 -32 47 09 ;Op   ;***  ;     3.2;      ;      ;Streicher J1557-32                                  ;
Streicher 105       ;Nor  ;16 22 24.0 -44 46 06 ;Op   ;***  ;     1.8;      ;      ;Streicher J1622-44                                  ;
Streicher 106       ;TrA  ;15 09 46.0 -69 25 24 ;Op   ;***  ;     2.0;      ;      ;Streicher J1509-69                                  ;
Streicher J0500-78  ;Men  ;05 00 24.0 -78 13 11 ;Op   ;***  ;    47.0;      ;      ;                                                    ;
Streicher J0553-42  ;Col  ;05 53 30.0 -42 26 36 ;Op   ;***  ;     4.5;      ;      ;                                                    ;
Streicher J0615-73  ;Men  ;06 15 58.0 -73 27 22 ;Op   ;***  ;    26.0;      ;      ;Broken Spade Asterism                               ;
Streicher J0642-71  ;Vol  ;06 42 36.0 -71 52 00 ;Op   ;***  ;    25.0;      ;      ;                                                    ;
Streicher J0728-15  ;Pup  ;07 28 05.0 -15 34 48 ;Op   ;***  ;     9.0;      ;      ;                                                    ;
Streicher J0840-62  ;Car  ;08 40 36.0 -62 33 57 ;Op   ;***  ;     4.4;      ;      ;                                                    ;
Streicher J0919-73  ;Car  ;09 19 01.0 -73 51 51 ;Op   ;***  ;     7.5;      ;      ;                                                    ;
Streicher J1034-67  ;Car  ;10 34 24.0 -67 25 00 ;Op   ;***  ;     9.0;      ;      ;                                                    ;
Streicher J1616-13  ;Sco  ;16 16 20.0 -13 38 47 ;Op   ;***  ;     9.0;      ;      ;                                                    ;
Streicher J1626-33  ;Sco  ;16 26 30.0 -33 05 06 ;Op   ;***  ;    30.0;      ;      ;                                                    ;
Streicher J1632-83  ;Oct  ;16 32 02.0 -83 33 00 ;Op   ;***  ;    21.0;      ;      ;                                                    ;
Streicher J1638-71  ;Aps  ;16 38 36.0 -71 38 48 ;Op   ;***  ;    14.0;      ;      ;                                                    ;
Streicher J1713-87  ;Oct  ;17 13 02.0 -87 57 16 ;Op   ;***  ;    26.0;      ;      ;                                                    ;
Streicher J1719-52  ;Ara  ;17 19 48.0 -52 28 12 ;Op   ;***  ;     4.0;      ;      ;                                                    ;
Streicher J1801-51  ;Ara  ;18 01 52.0 -51 51 33 ;Op   ;***  ;    22.0;      ;      ;                                                    ;
Streicher J1810-37  ;CrA  ;18 10 56.0 -37 12 11 ;Op   ;***  ;     9.5;      ;      ;                                                    ;includes a cpm wide pair
Streicher J1910-40  ;CrA  ;19 10 30.0 -40 20 23 ;Op   ;***  ;     6.0;      ;      ;                                                    ;
Streicher J1915-51  ;Tel  ;19 15 08.0 -51 19 27 ;Op   ;***  ;    10.0;      ;      ;                                                    ;
Streicher J2002+18  ;Sge  ;20 02 06.0 +18 55 42 ;Op   ;***  ;    18.0;      ;      ;                                                    ;
Streicher J2036-59  ;Pav  ;20 36 40.0 -59 54 28 ;Op   ;***  ;    15.0;      ;      ;                                                    ;
Streicher J2053-59  ;Pav  ;20 53 36.0 -59 54 28 ;Op   ;***  ;    11.5;      ;      ;                                                    ;
Streicher J2124-85  ;Oct  ;21 24 26.0 -85 45 50 ;Op   ;***  ;    23.0;      ;      ;                                                    ;
Streicher J2125-39  ;Mic  ;21 25 42.0 -39 11 54 ;Op   ;***  ;     7.0;      ;      ;                                                    ;
Streicher J2125-44  ;Mic  ;21 25 42.0 -44 08 42 ;Op   ;***  ;     2.2;      ;      ;                                                    ;
Streicher J2132-58  ;Ind  ;21 32 34.0 -58 53 42 ;Op   ;***  ;    22.0;      ;      ;DSH J2132-5853                                      ;
Streicher J2139-65  ;Ind  ;21 39 18.0 -65 49 00 ;Op   ;***  ;    36.0;      ;      ;                                                    ;
Streicher J2147-44  ;Gru  ;21 47 48.0 -44 08 42 ;Op   ;***  ;    26.0;      ;      ;                                                    ;
Streicher J2237-25  ;PsA  ;22 37 01.0 -25 53 21 ;Op   ;***  ;     8.0;      ;      ;Kernya 13                                           ;
