Name                          ;Alias                         ;TotCl; TotAl; TotC; FracCl%; FracAl%
NGC 1342                      ;Collinder 40                  ;     ;      ;     ;        ;
NGC 1342                      ;FSR 679                       ;     ;      ;     ;        ;
NGC 1342                      ;FoF 2265                      ;     ;      ;     ;        ;
NGC 1342                      ;FoF 2265                      ;  327;   323;  275;  84.098;  85.139
NGC 1342                      ;Melotte 21                    ;     ;      ;     ;        ;
NGC 1342                      ;Theia 853                     ;     ;      ;     ;        ;
NGC 1342                      ;Theia 853                     ;  327;   614;  307;  93.884;  50.000
NGC 1342                      ;UPK 330                       ;     ;      ;     ;        ;
NGC 1348                      ;FSR 650                       ;     ;      ;     ;        ;
NGC 1348                      ;FoF 724                       ;     ;      ;     ;        ;
NGC 1348                      ;FoF 724                       ;   75;    55;   41;  54.667;  74.545
NGC 1348                      ;Theia 2975                    ;     ;      ;     ;        ;
NGC 1348                      ;Theia 2975                    ;   75;    63;   27;  36.000;  42.857
NGC 136                       ;Collinder 4                   ;     ;      ;     ;        ;
NGC 136                       ;FoF 893                       ;     ;      ;     ;        ;
NGC 136                       ;FoF 893                       ;   70;    70;   16;  22.857;  22.857
NGC 1444                      ;Collinder 43                  ;     ;      ;     ;        ;
NGC 1444                      ;Theia 1686                    ;     ;      ;     ;        ;
NGC 1444                      ;Theia 1686                    ;   18;    88;   12;  66.667;  13.636
NGC 146                       ;Collinder 5                   ;     ;      ;     ;        ;
NGC 146                       ;FSR 502                       ;     ;      ;     ;        ;
NGC 146                       ;FoF 542                       ;   45;  2023;   42;  93.333;   2.076
NGC 146                       ;Theia 1785                    ;   45;  1522;   14;  31.111;   0.920
NGC 1466                      ;ESO 54-16                     ;     ;      ;     ;        ;
NGC 1466                      ;KMHK 1                        ;     ;      ;     ;        ;
NGC 1466                      ;LW 1                          ;     ;      ;     ;        ;
NGC 1466                      ;SL 1                          ;     ;      ;     ;        ;
NGC 1496                      ;Collinder 44                  ;     ;      ;     ;        ;
NGC 1496                      ;FSR 659                       ;     ;      ;     ;        ;
NGC 1496                      ;FoF 1364                      ;     ;      ;     ;        ;
NGC 1496                      ;FoF 1364                      ;   54;    60;   48;  88.889;  80.000
NGC 1496                      ;Theia 2381                    ;     ;      ;     ;        ;
NGC 1496                      ;Theia 2381                    ;   54;   271;   47;  87.037;  17.343
NGC 1502                      ;Collinder 45                  ;     ;      ;     ;        ;
NGC 1502                      ;FSR 637                       ;     ;      ;     ;        ;
NGC 1502                      ;FoF 2200                      ;     ;      ;     ;        ;
NGC 1502                      ;FoF 2200                      ;  150;   174;  147;  98.000;  84.483
NGC 1502                      ;Theia 1701                    ;     ;      ;     ;        ;
NGC 1502                      ;Theia 1701                    ;  150;   368;  129;  86.000;  35.054
NGC 1513                      ;Collinder 46                  ;     ;      ;     ;        ;
NGC 1513                      ;FoF 184                       ;     ;      ;     ;        ;
NGC 1513                      ;FoF 184                       ;  461;   324;  314;  68.113;  96.914
NGC 1513                      ;Theia 2248                    ;     ;      ;     ;        ;
NGC 1513                      ;Theia 2248                    ;  461;   526;  249;  54.013;  47.338
NGC 1520                      ;ESO 32-5                      ;     ;      ;     ;        ;
NGC 1528                      ;Collinder 47                  ;     ;      ;     ;        ;
NGC 1528                      ;FoF 2138                      ;     ;      ;     ;        ;
NGC 1528                      ;FoF 2138                      ;  398;   304;  281;  70.603;  92.434
NGC 1528                      ;Melotte 23                    ;     ;      ;     ;        ;
NGC 1528                      ;Theia 593                     ;     ;      ;     ;        ;
NGC 1528                      ;Theia 593                     ;  398;   638;  320;  80.402;  50.157
NGC 1528                      ;UPK 318                       ;     ;      ;     ;        ;
NGC 1545                      ;Collinder 49                  ;     ;      ;     ;        ;
NGC 1545                      ;FoF 2322                      ;     ;      ;     ;        ;
NGC 1545                      ;FoF 2322                      ;  192;    81;   80;  41.667;  98.765
NGC 1545                      ;Theia 749                     ;     ;      ;     ;        ;
NGC 1545                      ;Theia 749                     ;  192;   313;  165;  85.938;  52.716
NGC 1545                      ;UPK 324                       ;     ;      ;     ;        ;
NGC 1557                      ;ESO 55-15                     ;     ;      ;     ;        ;
NGC 1579                      ;BDB 143                       ;     ;      ;     ;        ;
NGC 1579                      ;FSR 739                       ;     ;      ;     ;        ;
NGC 1579                      ;LkHalpha 101                  ;     ;      ;     ;        ;
NGC 1579                      ;Per III                       ;     ;      ;     ;        ;
NGC 1579                      ;Per T3                        ;     ;      ;     ;        ;
NGC 1579                      ;Theia 21                      ;   54;   370;   30;  55.556;   8.108
NGC 1582                      ;Collinder 51                  ;     ;      ;     ;        ;
NGC 1582                      ;FoF 2299                      ;     ;      ;     ;        ;
NGC 1582                      ;FoF 2299                      ;  147;    77;   64;  43.537;  83.117
NGC 1582                      ;Theia 364                     ;     ;      ;     ;        ;
NGC 1582                      ;Theia 364                     ;  147;   366;  126;  85.714;  34.426
NGC 1582                      ;UPK 336                       ;     ;      ;     ;        ;
NGC 1605                      ;Collinder 52                  ;     ;      ;     ;        ;
NGC 1605                      ;FSR 694                       ;     ;      ;     ;        ;
NGC 1605                      ;FoF 185                       ;     ;      ;     ;        ;
NGC 1605                      ;FoF 185                       ;   94;   104;   55;  58.511;  52.885
NGC 1624                      ;BDSB 67                       ;     ;      ;     ;        ;
NGC 1624                      ;Collinder 53                  ;     ;      ;     ;        ;
NGC 1624                      ;FSR 681                       ;     ;      ;     ;        ;
NGC 1624                      ;Sh2-212                       ;     ;      ;     ;        ;
NGC 1641                      ;ESO 84-24                     ;     ;      ;     ;        ;
NGC 1647                      ;Collinder 54                  ;     ;      ;     ;        ;
NGC 1647                      ;FoF 2261                      ;     ;      ;     ;        ;
NGC 1647                      ;FoF 2261                      ;  604;   466;  425;  70.364;  91.202
NGC 1647                      ;Melotte 26                    ;     ;      ;     ;        ;
NGC 1647                      ;Theia 740                     ;     ;      ;     ;        ;
NGC 1647                      ;Theia 740                     ;  604;   724;  569;  94.205;  78.591
NGC 1662                      ;Alessi 29                     ;     ;      ;     ;        ;
NGC 1662                      ;Collinder 55                  ;     ;      ;     ;        ;
NGC 1662                      ;FoF 2368                      ;     ;      ;     ;        ;
NGC 1662                      ;FoF 2368                      ;  231;   135;  127;  54.978;  94.074
NGC 1662                      ;Theia 1018                    ;     ;      ;     ;        ;
NGC 1662                      ;Theia 1018                    ;  231;   362;  228;  98.701;  62.983
NGC 1662                      ;UPK 384                       ;     ;      ;     ;        ;
NGC 1664                      ;Collinder 56                  ;     ;      ;     ;        ;
NGC 1664                      ;FoF 1365                      ;     ;      ;     ;        ;
NGC 1664                      ;FoF 1365                      ;  557;   297;  290;  52.065;  97.643
NGC 1664                      ;Melotte 27                    ;     ;      ;     ;        ;
NGC 1664                      ;Theia 3346                    ;     ;      ;     ;        ;
NGC 1664                      ;Theia 3346                    ;  557;   628;  275;  49.372;  43.790
NGC 1708                      ;FoF 2259                      ;     ;      ;     ;        ;
NGC 1708                      ;FoF 2259                      ;  134;   119;   97;  72.388;  81.513
NGC 1708                      ;Theia 1000                    ;     ;      ;     ;        ;
NGC 1708                      ;Theia 1000                    ;  134;   275;  109;  81.343;  39.636
NGC 1708                      ;UPK 331                       ;     ;      ;     ;        ;
NGC 1746                      ;Collinder 57                  ;     ;      ;     ;        ;
NGC 1746                      ;FSR 822                       ;     ;      ;     ;        ;
NGC 1746                      ;KVO 17                        ;     ;      ;     ;        ;
NGC 1746                      ;Melotte 28                    ;     ;      ;     ;        ;
NGC 1750                      ;FoF 2267                      ;     ;      ;     ;        ;
NGC 1750                      ;FoF 2267                      ;  417;   186;  179;  42.926;  96.237
NGC 1750                      ;Theia 754                     ;     ;      ;     ;        ;
NGC 1750                      ;Theia 754                     ;  417;   333;  311;  74.580;  93.393
NGC 1750                      ;UPK 373                       ;     ;      ;     ;        ;
NGC 1758                      ;FoF 2266                      ;     ;      ;     ;        ;
NGC 1758                      ;FoF 2266                      ;  137;   190;  133;  97.080;  70.000
NGC 1758                      ;Theia 897                     ;     ;      ;     ;        ;
NGC 1758                      ;Theia 897                     ;  137;   239;  127;  92.701;  53.138
NGC 1758                      ;UPK 374                       ;     ;      ;     ;        ;
NGC 1778                      ;Collinder 58                  ;     ;      ;     ;        ;
NGC 1778                      ;FoF 2141                      ;     ;      ;     ;        ;
NGC 1778                      ;FoF 2141                      ;  151;   123;   98;  64.901;  79.675
NGC 1778                      ;Theia 2031                    ;     ;      ;     ;        ;
NGC 1778                      ;Theia 2031                    ;  151;   267;   81;  53.642;  30.337
NGC 1788                      ;AWG 1                         ;     ;      ;     ;        ;
NGC 1798                      ;Berkeley 16                   ;     ;      ;     ;        ;
NGC 1798                      ;Dolidze 48                    ;     ;      ;     ;        ;
NGC 1798                      ;FSR 705                       ;     ;      ;     ;        ;
NGC 1798                      ;FoF 617                       ;     ;      ;     ;        ;
NGC 1798                      ;FoF 617                       ;  278;    78;   61;  21.942;  78.205
NGC 1807                      ;Collinder 59                  ;     ;      ;     ;        ;
NGC 1807                      ;Melotte 29                    ;     ;      ;     ;        ;
NGC 1817                      ;Collinder 60                  ;     ;      ;     ;        ;
NGC 1817                      ;FoF 0                         ;     ;      ;     ;        ;
NGC 1817                      ;FoF 0                         ;  413;   567;  384;  92.978;  67.725
NGC 1817                      ;Theia 4898                    ;     ;      ;     ;        ;
NGC 1817                      ;Theia 4898                    ;  413;   666;  374;  90.557;  56.156
NGC 1841                      ;ESO 4-15                      ;     ;      ;     ;        ;
NGC 1851                      ;ESO 305-16                    ;     ;      ;     ;        ;
NGC 1857                      ;Collinder 61                  ;     ;      ;     ;        ;
NGC 1857                      ;Czernik 20                    ;  592;    39;   38;   6.419;  97.436
NGC 1857                      ;FSR 755                       ;     ;      ;     ;        ;
NGC 1857                      ;FoF 1969                      ;     ;      ;     ;        ;
NGC 1857                      ;FoF 1969                      ;  592;    55;   46;   7.770;  83.636
NGC 1857                      ;FoF 581                       ;     ;      ;     ;        ;
NGC 1857                      ;FoF 581                       ;  592;   351;  262;  44.257;  74.644
NGC 1857                      ;Melotte 32                    ;     ;      ;     ;        ;
NGC 1857                      ;Theia 2630                    ;     ;      ;     ;        ;
NGC 1857                      ;Theia 2630                    ;  592;   105;   80;  13.514;  76.190
NGC 188                       ;Collinder 6                   ;     ;      ;     ;        ;
NGC 188                       ;FoF 651                       ;     ;      ;     ;        ;
NGC 188                       ;FoF 651                       ;  857;   863;  810;  94.516;  93.859
NGC 188                       ;Melotte 2                     ;     ;      ;     ;        ;
NGC 188                       ;Theia 8180                    ;     ;      ;     ;        ;
NGC 188                       ;Theia 8180                    ;  857;  1097;  776;  90.548;  70.738
NGC 1883                      ;Collinder 64                  ;     ;      ;     ;        ;
NGC 1883                      ;FSR 729                       ;     ;      ;     ;        ;
NGC 1883                      ;FoF 618                       ;     ;      ;     ;        ;
NGC 1883                      ;FoF 618                       ;   89;    67;   34;  38.202;  50.746
NGC 189                       ;Collinder 462                 ;     ;      ;     ;        ;
NGC 189                       ;FoF 2127                      ;     ;      ;     ;        ;
NGC 189                       ;FoF 2127                      ;   47;    69;   43;  91.489;  62.319
NGC 189                       ;Theia 4932                    ;     ;      ;     ;        ;
NGC 189                       ;Theia 4932                    ;   47;   223;   44;  93.617;  19.731
NGC 1891                      ;ESO 362-20                    ;     ;      ;     ;        ;
NGC 1893                      ;BDSB 70                       ;     ;      ;     ;        ;
NGC 1893                      ;Collinder 63                  ;     ;      ;     ;        ;
NGC 1893                      ;FSR 785                       ;     ;      ;     ;        ;
NGC 1893                      ;FSR 786                       ;     ;      ;     ;        ;
NGC 1893                      ;LMR 144                       ;     ;      ;     ;        ;
NGC 1893                      ;Melotte 33                    ;     ;      ;     ;        ;
NGC 1893                      ;Russeil 214                   ;     ;      ;     ;        ;
NGC 1893 A                    ;Camargo 30                    ;     ;      ;     ;        ;
NGC 1893 B                    ;BDSB 70                       ;     ;      ;     ;        ;
NGC 1893 I                    ;FSR 785                       ;     ;      ;     ;        ;
NGC 1893 J                    ;Camargo 28                    ;     ;      ;     ;        ;
NGC 1901                      ;AFF 5                         ;     ;      ;     ;        ;
NGC 1901                      ;Bok 1                         ;     ;      ;     ;        ;
NGC 1904                      ;M 79                          ;     ;      ;     ;        ;
NGC 1907                      ;Collinder 66                  ;     ;      ;     ;        ;
NGC 1907                      ;FSR 774                       ;     ;      ;     ;        ;
NGC 1907                      ;Melotte 35                    ;     ;      ;     ;        ;
NGC 1907                      ;Theia 3773                    ;     ;      ;     ;        ;
NGC 1907                      ;Theia 3773                    ;  275;   242;  160;  58.182;  66.116
NGC 1912                      ;M 38                          ;     ;      ;     ;        ;
NGC 1912                      ;Theia 2549                    ;     ;      ;     ;        ;
NGC 1912                      ;Theia 2549                    ;  349;   952;  270;  77.364;  28.361
NGC 1931                      ;Collinder 68                  ;     ;      ;     ;        ;
NGC 1960                      ;Aur OB1                       ;  447;    33;    5;   1.119;  15.152
NGC 1960                      ;M 36                          ;     ;      ;     ;        ;
NGC 1960                      ;Theia 2010                    ;     ;      ;     ;        ;
NGC 1960                      ;Theia 2010                    ;  447;   450;  271;  60.626;  60.222
NGC 1963                      ;ESO 363-5                     ;     ;      ;     ;        ;
NGC 1976                      ;ONC                           ;     ;      ;     ;        ;
NGC 1977                      ;FSR 1041                      ;     ;      ;     ;        ;
NGC 1977                      ;FoF 2373                      ;  115;  2490;  115; 100.000;   4.618
NGC 1977                      ;NGC 1981-5                    ;  115;     7;    3;   2.609;  42.857
NGC 1977                      ;ONC-16                        ;  115;    25;    4;   3.478;  16.000
NGC 1977                      ;ONC-2                         ;  115;    94;   43;  37.391;  45.745
NGC 1977                      ;ONC-25                        ;  115;    16;    5;   4.348;  31.250
NGC 1977                      ;ONC-29                        ;  115;    13;    2;   1.739;  15.385
NGC 1977                      ;ONC-32                        ;  115;     7;    1;   0.870;  14.286
NGC 1977                      ;ONC-7                         ;  115;    30;    6;   5.217;  20.000
NGC 1977                      ;UBC 621                       ;     ;      ;     ;        ;
NGC 1977                      ;UPK 412                       ;     ;      ;     ;        ;
NGC 1977                      ;Walker 2                      ;     ;      ;     ;        ;
NGC 1980                      ;Collinder 72                  ;     ;      ;     ;        ;
NGC 1980                      ;FoF 2373                      ;  121;  2490;  121; 100.000;   4.859
NGC 1980                      ;Iota Ori                      ;     ;      ;     ;        ;
NGC 1980                      ;Lower Sword                   ;     ;      ;     ;        ;
NGC 1980                      ;ONC-1                         ;  121;   152;   50;  41.322;  32.895
NGC 1980                      ;UBC 208                       ;     ;      ;     ;        ;
NGC 1980                      ;UPK 412                       ;     ;      ;     ;        ;
NGC 1980                      ;Walker 5                      ;     ;      ;     ;        ;
NGC 1981                      ;Collinder 73                  ;     ;      ;     ;        ;
NGC 1981                      ;MGM 6                         ;     ;      ;     ;        ;
NGC 1981                      ;UBC 207                       ;     ;      ;     ;        ;
NGC 1981                      ;Upper Sword                   ;     ;      ;     ;        ;
NGC 1981                      ;Walker 1                      ;     ;      ;     ;        ;
NGC 1981-1                    ;FoF 2373                      ;   10;  2490;    4;  40.000;   0.161
NGC 1981-5                    ;FoF 2373                      ;    7;  2490;    6;  85.714;   0.241
NGC 1981-5                    ;NGC 1977                      ;    7;   115;    3;  42.857;   2.609
NGC 1981-7                    ;FoF 2373                      ;    9;  2490;    9; 100.000;   0.361
NGC 1981-7                    ;UBC 207                       ;    9;    55;    1;  11.111;   1.818
NGC 1985                      ;BDB 162                       ;     ;      ;     ;        ;
NGC 2017                      ;ESO 554-22                    ;     ;      ;     ;        ;
NGC 2023                      ;BDB 206                       ;     ;      ;     ;        ;
NGC 2023                      ;LDEG91 1                      ;     ;      ;     ;        ;
NGC 2023                      ;MGM 5                         ;     ;      ;     ;        ;
NGC 2024                      ;BDB 203                       ;     ;      ;     ;        ;
NGC 2024                      ;FSR 1019                      ;     ;      ;     ;        ;
NGC 2024                      ;LDEG91 2                      ;     ;      ;     ;        ;
NGC 2024                      ;LLA 4                         ;     ;      ;     ;        ;
NGC 2024                      ;MGM 4                         ;     ;      ;     ;        ;
NGC 2024-4                    ;FoF 2370                      ;    8;   493;    1;  12.500;   0.203
NGC 2068                      ;FoF 2382                      ;     ;      ;     ;        ;
NGC 2068                      ;LDEG91 3                      ;     ;      ;     ;        ;
NGC 2068                      ;M 78                          ;     ;      ;     ;        ;
NGC 2068                      ;UPK 403                       ;     ;      ;     ;        ;
NGC 2068-1                    ;FoF 2382                      ;   20;    86;   11;  55.000;  12.791
NGC 2068-2                    ;FoF 2382                      ;   19;    86;   11;  57.895;  12.791
NGC 2068-3                    ;FoF 2382                      ;   13;    86;    4;  30.769;   4.651
NGC 2068-4                    ;FoF 2382                      ;   13;    86;    7;  53.846;   8.140
NGC 2068-5                    ;FoF 2382                      ;   10;    86;    5;  50.000;   5.814
NGC 2071                      ;BDB 201                       ;     ;      ;     ;        ;
NGC 2071                      ;Hodapp 1                      ;     ;      ;     ;        ;
NGC 2071                      ;LDEG91 4                      ;     ;      ;     ;        ;
NGC 2071                      ;LLA 2                         ;     ;      ;     ;        ;
NGC 2099                      ;M 37                          ;     ;      ;     ;        ;
NGC 2099                      ;Theia 3542                    ;     ;      ;     ;        ;
NGC 2099                      ;Theia 3542                    ; 1648;  1608; 1092;  66.262;  67.910
NGC 2112                      ;Collinder 76                  ;     ;      ;     ;        ;
NGC 2112                      ;FSR 1007                      ;     ;      ;     ;        ;
NGC 2112                      ;FoF 653                       ;     ;      ;     ;        ;
NGC 2112                      ;FoF 653                       ;  687;   714;  643;  93.595;  90.056
NGC 2112                      ;LLA 1                         ;     ;      ;     ;        ;
NGC 2112                      ;Theia 1633                    ;     ;      ;     ;        ;
NGC 2112                      ;Theia 1633                    ;  687;   787;  508;  73.945;  64.549
NGC 2126                      ;Collinder 78                  ;     ;      ;     ;        ;
NGC 2126                      ;FSR 730                       ;     ;      ;     ;        ;
NGC 2126                      ;FoF 2046                      ;     ;      ;     ;        ;
NGC 2126                      ;FoF 2046                      ;  112;   138;  106;  94.643;  76.812
NGC 2126                      ;Melotte 39                    ;     ;      ;     ;        ;
NGC 2126                      ;Theia 6270                    ;  112;   261;  103;  91.964;  39.464
NGC 2126                      ;UBC 196                       ;     ;      ;     ;        ;
NGC 2129                      ;Collinder 77                  ;     ;      ;     ;        ;
NGC 2129                      ;FSR 870                       ;     ;      ;     ;        ;
NGC 2129                      ;FoF 189                       ;     ;      ;     ;        ;
NGC 2129                      ;FoF 189                       ;   73;    86;   63;  86.301;  73.256
NGC 2129                      ;Theia 1660                    ;     ;      ;     ;        ;
NGC 2129                      ;Theia 1660                    ;   73;  1027;   34;  46.575;   3.311
NGC 2132                      ;ESO 120-22                    ;     ;      ;     ;        ;
NGC 2141                      ;Collinder 79                  ;     ;      ;     ;        ;
NGC 2141                      ;FSR 971                       ;     ;      ;     ;        ;
NGC 2141                      ;FoF 28                        ;     ;      ;     ;        ;
NGC 2141                      ;FoF 28                        ;  729;   361;  247;  33.882;  68.421
NGC 2141                      ;Theia 3250                    ;  729;    75;   21;   2.881;  28.000
NGC 2158                      ;Collinder 81                  ;     ;      ;     ;        ;
NGC 2158                      ;FSR 872                       ;     ;      ;     ;        ;
NGC 2158                      ;FoF 367                       ;     ;      ;     ;        ;
NGC 2158                      ;FoF 367                       ; 1317;   759;  571;  43.356;  75.231
NGC 2158                      ;Melotte 40                    ;     ;      ;     ;        ;
NGC 2168                      ;FoF 2231                      ;     ;      ;     ;        ;
NGC 2168                      ;FoF 2231                      ; 1247;  1109;  993;  79.631;  89.540
NGC 2168                      ;M 35                          ;     ;      ;     ;        ;
NGC 2168                      ;Theia 203                     ;     ;      ;     ;        ;
NGC 2168                      ;Theia 203                     ; 1247;  2233; 1033;  82.839;  46.261
NGC 2168                      ;UPK 383                       ;     ;      ;     ;        ;
NGC 2169                      ;Collinder 83                  ;     ;      ;     ;        ;
NGC 2169                      ;FoF 2284                      ;     ;      ;     ;        ;
NGC 2169                      ;FoF 2284                      ;   58;    81;   50;  86.207;  61.728
NGC 2169                      ;Theia 282                     ;     ;      ;     ;        ;
NGC 2169                      ;Theia 282                     ;   58;   378;   34;  58.621;   8.995
NGC 2174                      ;BDB 181                       ;     ;      ;     ;        ;
NGC 2175                      ;Collinder 84                  ;     ;      ;     ;        ;
NGC 2175                      ;Pismis 27                     ;     ;      ;     ;        ;
NGC 2175                      ;Pismis 27                     ;  195;    37;   30;  15.385;  81.081
NGC 2175s                     ;FSR 898                       ;     ;      ;     ;        ;
NGC 2175s                     ;Pismis 27                     ;     ;      ;     ;        ;
NGC 2180                      ;Theia 1972                    ;   66;    72;   29;  43.939;  40.278
NGC 2183                      ;BDB 231                       ;     ;      ;     ;        ;
NGC 2183                      ;FoF 2262                      ;  328;    58;   50;  15.244;  86.207
NGC 2183                      ;GGD 12-15                     ;     ;      ;     ;        ;
NGC 2183                      ;Hodapp 7                      ;     ;      ;     ;        ;
NGC 2183                      ;IRAS 06046-0603               ;  328;    37;   37;  11.280; 100.000
NGC 2183                      ;Theia 130                     ;     ;      ;     ;        ;
NGC 2183                      ;Theia 130                     ;  328;   165;  106;  32.317;  64.242
NGC 2183                      ;UPK 424                       ;     ;      ;     ;        ;
NGC 2183                      ;in Theia 130                  ;     ;      ;     ;        ;
NGC 2184                      ;Theia 1408                    ;     ;      ;     ;        ;
NGC 2184                      ;Theia 1408                    ;   93;   124;   78;  83.871;  62.903
NGC 2184                      ;UPK 413                       ;     ;      ;     ;        ;
NGC 2186                      ;Collinder 85                  ;     ;      ;     ;        ;
NGC 2186                      ;FoF 17                        ;     ;      ;     ;        ;
NGC 2186                      ;FoF 17                        ;  190;   123;   96;  50.526;  78.049
NGC 2186                      ;Theia 2871                    ;     ;      ;     ;        ;
NGC 2186                      ;Theia 2871                    ;  190;    89;   38;  20.000;  42.697
NGC 2192                      ;Collinder 86                  ;     ;      ;     ;        ;
NGC 2192                      ;FoF 641                       ;     ;      ;     ;        ;
NGC 2192                      ;FoF 641                       ;  141;   119;   61;  43.262;  51.261
NGC 2192                      ;Melotte 42                    ;     ;      ;     ;        ;
NGC 2194                      ;Collinder 87                  ;     ;      ;     ;        ;
NGC 2194                      ;FSR 961                       ;     ;      ;     ;        ;
NGC 2194                      ;FoF 78                        ;     ;      ;     ;        ;
NGC 2194                      ;FoF 78                        ;  744;   703;  521;  70.027;  74.111
NGC 2194                      ;Melotte 43                    ;     ;      ;     ;        ;
NGC 2194                      ;Skiff J0614+12.9              ;  744;    47;   24;   3.226;  51.064
NGC 2194                      ;Theia 3295                    ;     ;      ;     ;        ;
NGC 2194                      ;Theia 3295                    ;  744;   571;  203;  27.285;  35.552
NGC 2204                      ;Collinder 88                  ;     ;      ;     ;        ;
NGC 2204                      ;ESO 556-7                     ;     ;      ;     ;        ;
NGC 2204                      ;FSR 1201                      ;     ;      ;     ;        ;
NGC 2204                      ;FoF 2                         ;     ;      ;     ;        ;
NGC 2204                      ;FoF 2                         ;  531;   384;  284;  53.484;  73.958
NGC 2204                      ;Melotte 44                    ;     ;      ;     ;        ;
NGC 2204                      ;Theia 6191                    ;     ;      ;     ;        ;
NGC 2204                      ;Theia 6191                    ;  531;   105;   72;  13.559;  68.571
NGC 2215                      ;Collinder 90                  ;     ;      ;     ;        ;
NGC 2215                      ;FoF 2204                      ;     ;      ;     ;        ;
NGC 2215                      ;FoF 2204                      ;  115;   114;   86;  74.783;  75.439
NGC 2215                      ;Melotte 45                    ;     ;      ;     ;        ;
NGC 2215                      ;Theia 1087                    ;     ;      ;     ;        ;
NGC 2215                      ;Theia 1087                    ;  115;   201;   95;  82.609;  47.264
NGC 2215                      ;UPK 427                       ;     ;      ;     ;        ;
NGC 2220                      ;ESO 255-4                     ;     ;      ;     ;        ;
NGC 2224                      ;Camargo 69                    ;     ;      ;     ;        ;
NGC 2225                      ;FSR 1135                      ;     ;      ;     ;        ;
NGC 2225                      ;FoF 11                        ;     ;      ;     ;        ;
NGC 2225                      ;FoF 11                        ;  135;    93;   75;  55.556;  80.645
NGC 2232                      ;Collinder 93                  ;     ;      ;     ;        ;
NGC 2232                      ;Escorial 8                    ;     ;      ;     ;        ;
NGC 2232                      ;Escorial 8                    ;  188;     9;    3;   1.596;  33.333
NGC 2232                      ;FoF 2393                      ;     ;      ;     ;        ;
NGC 2232                      ;FoF 2393                      ;  188;   104;  100;  53.191;  96.154
NGC 2232                      ;Theia 55                      ;     ;      ;     ;        ;
NGC 2232                      ;Theia 55                      ;  188;  1731;  168;  89.362;   9.705
NGC 2232                      ;UPK 425                       ;     ;      ;     ;        ;
NGC 2234                      ;FSR 938                       ;     ;      ;     ;        ;
NGC 2234                      ;Theia 2270                    ;     ;      ;     ;        ;
NGC 2236                      ;Collinder 94                  ;     ;      ;     ;        ;
NGC 2236                      ;FSR 1002                      ;     ;      ;     ;        ;
NGC 2236                      ;FoF 730                       ;  564;    50;    9;   1.596;  18.000
NGC 2236                      ;FoF 80                        ;     ;      ;     ;        ;
NGC 2236                      ;FoF 80                        ;  564;   532;  439;  77.837;  82.519
NGC 2236                      ;Theia 3041                    ;     ;      ;     ;        ;
NGC 2236                      ;Theia 3041                    ;  564;   338;  216;  38.298;  63.905
NGC 2237                      ;NGC 2239                      ;     ;      ;     ;        ;
NGC 2239                      ;NGC 2237                      ;     ;      ;     ;        ;
NGC 2243                      ;Collinder 98                  ;     ;      ;     ;        ;
NGC 2243                      ;ESO 426-16                    ;     ;      ;     ;        ;
NGC 2243                      ;FSR 1296                      ;     ;      ;     ;        ;
NGC 2243                      ;FoF 3                         ;     ;      ;     ;        ;
NGC 2243                      ;FoF 3                         ;  506;   361;  317;  62.648;  87.812
NGC 2243                      ;Melotte 46                    ;     ;      ;     ;        ;
NGC 2244                      ;Collinder 99                  ;     ;      ;     ;        ;
NGC 2244                      ;FoF 2077                      ;     ;      ;     ;        ;
NGC 2244                      ;FoF 2077                      ;  509;   101;   88;  17.289;  87.129
NGC 2244                      ;Melotte 47                    ;     ;      ;     ;        ;
NGC 2244                      ;Mon OB2A                      ;     ;      ;     ;        ;
NGC 2244                      ;Mon OB2A                      ;  509;    10;    5;   0.982;  50.000
NGC 2244                      ;RMC-Spitzer B                 ;     ;      ;     ;        ;
NGC 2245                      ;BDB 197                       ;     ;      ;     ;        ;
NGC 2245                      ;LkHalpha 215                  ;     ;      ;     ;        ;
NGC 225                       ;Collinder 7                   ;     ;      ;     ;        ;
NGC 225                       ;Theia 747                     ;     ;      ;     ;        ;
NGC 225                       ;Theia 747                     ;   28;   322;   28; 100.000;   8.696
NGC 225                       ;UPK 242                       ;     ;      ;     ;        ;
NGC 2250                      ;Collinder 100                 ;     ;      ;     ;        ;
NGC 2251                      ;Collinder 101                 ;     ;      ;     ;        ;
NGC 2251                      ;Theia 2992                    ;     ;      ;     ;        ;
NGC 2251                      ;Theia 2992                    ;  199;   190;   79;  39.698;  41.579
NGC 2252                      ;Collinder 102                 ;     ;      ;     ;        ;
NGC 2252                      ;Theia 189                     ;     ;      ;     ;        ;
NGC 2254                      ;Collinder 103                 ;     ;      ;     ;        ;
NGC 2254                      ;FSR 1001                      ;     ;      ;     ;        ;
NGC 2254                      ;FoF 191                       ;     ;      ;     ;        ;
NGC 2254                      ;FoF 191                       ;  194;   180;  137;  70.619;  76.111
NGC 2254                      ;Theia 1838                    ;     ;      ;     ;        ;
NGC 2254                      ;Theia 1838                    ;  194;   875;   40;  20.619;   4.571
NGC 2257                      ;ESO 87-24                     ;     ;      ;     ;        ;
NGC 2257                      ;KMHK 1756                     ;     ;      ;     ;        ;
NGC 2257                      ;LW 481                        ;     ;      ;     ;        ;
NGC 2257                      ;SL 895                        ;     ;      ;     ;        ;
NGC 2259                      ;Collinder 108                 ;     ;      ;     ;        ;
NGC 2259                      ;FSR 972                       ;     ;      ;     ;        ;
NGC 2259                      ;FoF 370                       ;     ;      ;     ;        ;
