Name                          ;Alias                         ;TotCl; TotAl; TotC; FracCl%; FracAl%
Alessi 13                     ;Slotegraaf 3                  ;     ;      ;     ;        ;
Alessi 130                    ;Alessi J1559-8227             ;     ;      ;     ;        ;
Alessi 130                    ;Kernya 66                     ;     ;      ;     ;        ;
Alessi 131                    ;Alessi 131B                   ;     ;      ;     ;        ;
Alessi 131                    ;Santa 6                       ;     ;      ;     ;        ;
Alessi 131B                   ;Alessi 131                    ;     ;      ;     ;        ;
Alessi 135                    ;Majaess 65                    ;     ;      ;     ;        ;
Alessi 137                    ;Alessi 231                    ;     ;      ;     ;        ;
Alessi 137                    ;in MAF 4                      ;     ;      ;     ;        ;
Alessi 138                    ;Alessi J0814-5806             ;     ;      ;     ;        ;
Alessi 139                    ;Alessi J0815-5808             ;     ;      ;     ;        ;
Alessi 142                    ;MWSC 5602                     ;     ;      ;     ;        ;
Alessi 143                    ;Alessi J0309+2420             ;     ;      ;     ;        ;
Alessi 144                    ;UPK 418                       ;     ;      ;     ;        ;
Alessi 145                    ;UBC 13                        ;     ;      ;     ;        ;
Alessi 151                    ;Alessi J0530-4938             ;     ;      ;     ;        ;
Alessi 152                    ;UBC 350                       ;     ;      ;     ;        ;
Alessi 153                    ;NGC 6664                      ;     ;      ;     ;        ;
Alessi 155                    ;DBSB 13                       ;     ;      ;     ;        ;
Alessi 156                    ;Alessi J0814-1432             ;     ;      ;     ;        ;
Alessi 159                    ;NGC 6659                      ;     ;      ;     ;        ;
Alessi 161                    ;UBC 3                         ;     ;      ;     ;        ;
Alessi 163                    ;HIP 55350                     ;     ;      ;     ;        ;
Alessi 163 A                  ;HIP 55350                     ;     ;      ;     ;        ;
Alessi 163 B                  ;OPD 41                        ;   36;     7;    7;  19.444; 100.000
Alessi 163 B                  ;Theia 75                      ;   36;  1645;   33;  91.667;   2.006
Alessi 163 B                  ;UPK 569                       ;     ;      ;     ;        ;
Alessi 165                    ;AT 17                         ;     ;      ;     ;        ;
Alessi 165                    ;Alessi-Teutsch 17             ;     ;      ;     ;        ;
Alessi 165                    ;HD 67425                      ;     ;      ;     ;        ;
Alessi 167                    ;WRB 1                         ;     ;      ;     ;        ;
Alessi 17                     ;FoF 1410                      ;   15;    89;   11;  73.333;  12.360
Alessi 170                    ;FoF 2209                      ;     ;      ;     ;        ;
Alessi 172                    ;UBC 482                       ;     ;      ;     ;        ;
Alessi 174                    ;Rouault 7                     ;     ;      ;     ;        ;
Alessi 174                    ;Santa 75                      ;     ;      ;     ;        ;
Alessi 175                    ;Theia 360                     ;     ;      ;     ;        ;
Alessi 178                    ;Escorial 22                   ;     ;      ;     ;        ;
Alessi 178                    ;HD 61071                      ;     ;      ;     ;        ;
Alessi 178                    ;TC 0736-2524                  ;     ;      ;     ;        ;
Alessi 179                    ;HD 66271                      ;     ;      ;     ;        ;
