
OGLE-SMC-CL-0244              ;SMC    ;Hyi  ;01 27 41.17-73 35 49.0 ;Op    ;OC    ;    96.0;  60700;       ;      ;      ;                                                                       ;from arXiv:1801.05867v1
[BS95] 213                    ;SMC    ;Hyi  ;01 54 01   -74 19 22   ;Op    ;OB    ;    96.0;  60700;       ;      ;      ;                                                                       ;br*n or sup
[BS95] 175                    ;SMC    ;Hyi  ;01 24 15   -73 11 35   ;Op    ;OB    ;    90.0;  60700;       ;      ;      ;                                                                       ;in DEMS 163
OGLE-SMC-CL-0251              ;SMC    ;Hyi  ;01 24 38.61-73 12 57.6 ;Op    ;OC    ;    94.0;  60700;       ;      ;      ;                                                                       ;from arXiv:1801.05867v1
OGLE-SMC-CL-0248              ;SMC    ;Hyi  ;01 29 49.16-73 25 48.7 ;Op    ;OC    ;    90.0;  60700;       ;      ;      ;                                                                       ;from arXiv:1801.05867v1
[BS95] 212                    ;SMC    ;Hyi  ;01 53 49   -73 56 10   ;Op    ;OC    ;    27.0;  60700;       ;      ;      ;OGLE-MBR-CL-0044                                                       ;
[H86] 211                     ;SMC    ;Hyi  ;01 24 44   -73 25 01   ;Op    ;OC    ;    27.0;  60700;       ;      ;      ;[H86] 211, OGLE-SMC-CL-0288                                            ;
BSBD 3                        ;SMC    ;Hyi  ;01 49 28   -74 39 15   ;Op    ;OC    ;    30.0;  60700;       ;      ;      ;OGLE-MBR-CL-0053                                                       ;in BS 200
Bruck 44                      ;SMC    ;Hyi  ;00 46 13   -74 22 41   ;Op    ;OC    ;    30.0;  60700;       ;      ;      ;                                                                       ;
KMHK 6                        ;LMC    ;Hyi  ;04 32 48   -71 27 30   ;Op    ;OC    ;    36.0;  49500;       ;      ;      ;                                                                       ;
LW 5                          ;LMC    ;Hyi  ;04 33 52   -70 38 30   ;Op    ;OC    ;    42.0;  49500;       ;      ;      ;KMHK 8                                                                 ;
[BS95] 247                    ;LMC    ;Hyi  ;03 10 23   -73 30 10   ;Op    ;OB/OC ;    42.0;  49500;       ;      ;      ;OGLE-MBR-CL-0088                                                       ;
KMHK 3                        ;LMC    ;Hyi  ;04 29 34   -68 21 22   ;Op    ;OC    ;    48.0;  49500;       ;      ;      ;                                                                       ;
OGLE-LMC-CL-0834              ;LMC    ;Hyi  ;04 31 17.54-67 46 50.5 ;Op    ;OC    ;    64.0;  49500;       ;      ;      ;                                                                       ;
OGLE-LMC-CL-0841              ;LMC    ;Hyi  ;04 29 25.88-67 26 45.6 ;Op    ;OC    ;    64.0;  49500;       ;      ;      ;                                                                       ;
OGLE-LMC-CL-0830              ;LMC    ;Hyi  ;04 27 42.08-69 07 51.5 ;Op    ;OC    ;    72.0;  49500;       ;      ;      ;                                                                       ;
OGLE-LMC-CL-0824              ;LMC    ;Hyi  ;04 32 06.04-73 40 10.0 ;Op    ;OC    ;    90.0;  49500;       ;      ;      ;                                                                       ;
OGLE-LMC-CL-0829              ;LMC    ;Hyi  ;04 32 26.92-70 44 44.4 ;Op    ;OC    ;    96.0;  49500;       ;      ;      ;                                                                       ;
SL 2                          ;LMC    ;Hyi  ;04 24 09   -72 34 23   ;Op    ;OC    ;    96.0;  49500;       ;      ;      ;LW 2, KMHK 2                                                           ;
NGC 1629                      ;LMC    ;Hyi  ;04 29 36   -71 50 18   ;Op    ;OC    ;   102.0;  49500;       ;      ;      ;SL 3, LW 3, ESO 55-24, KMHK 4                                          ;
SL 4                          ;LMC    ;Hyi  ;04 32 38   -72 20 27   ;Op    ;OC    ;   102.0;  49500;       ;      ;      ;LW 4, KMHK 7                                                           ;
ICA 71                        ;LMC    ;Hyi  ;03 01 23   -73 25 20   ;Op    ;OB    ;   270.0;  49500;       ;      ;      ;OGLE-MBR-CL-0089, OGLE-MBR-CL-0087                                     ;
[BS95] 176                    ;SMC    ;Hyi  ;01 24 16   -73 09 59   ;Op    ;OC    ;    30.0;  60700;       ;      ;      ;OGLE-SMC-CL-0291                                                       ;in H-A 64
Bruck 162                     ;SMC    ;Hyi  ;01 23 52   -73 26 19   ;Op    ;OC/OB ;    33.0;  60700;       ;      ;      ;                                                                       ;
[BS95] 207                    ;SMC    ;Hyi  ;01 52 58   -74 14 58   ;Op    ;OC    ;    33.0;  60700;       ;      ;      ;OGLE-MBR-CL-0040                                                       ;
[H86] 213                     ;SMC    ;Hyi  ;01 34 40   -73 16 21   ;Op    ;OC    ;    33.0;  60700;       ;      ;      ;OGLE-SMC-CL-0283                                                       ;
Bruck 6                       ;SMC    ;Hyi  ;00 27 57   -74 24 02   ;Op    ;OC    ;    36.0;  60700;       ;      ;      ;OGLE-SMC-CL-0330                                                       ;
[BS95] 187                    ;SMC    ;Hyi  ;01 31 01   -72 50 48   ;Op    ;OC/OB ;    36.0;  60700;       ;      ;      ;OGLE-SMC-CL-0293                                                       ;
[H86] 212                     ;SMC    ;Hyi  ;01 25 16   -73 30 05   ;Op    ;OC    ;    36.0;  60700;       ;      ;      ;[H86] 212                                                              ;
SMASH Field 16-02             ;SMC    ;Hyi  ;01 29 50.86-74 40 55.3 ;Op    ;OC    ;    37.0;  60700;       ;      ;      ;                                                                       ;from arXiv:1612.09221v1, diam from dss image
OGLE-SMC-CL-0263              ;SMC    ;Hyi  ;00 28 02.60-76 21 12.3 ;Op    ;OC    ;    38.0;  60700;       ;      ;      ;                                                                       ;from arXiv:1801.05867v1
Bruck 164                     ;SMC    ;Hyi  ;01 29 30   -73 32 00   ;Op    ;OC    ;    39.0;  60700;       ;      ;      ;OGLE-SMC-CL-0279                                                       ;att NGC 602
SMASH Field 16-01             ;SMC    ;Hyi  ;01 29 53.20-74 50 43.2 ;Op    ;OC    ;    40.0;  60700;       ;      ;      ;OGLE-SMC-CL-0344                                                       ;from arXiv:1612.09221v1, diam from dss image
HW 80                         ;SMC    ;Hyi  ;01 23 26   -73 13 26   ;Op    ;OC    ;    42.0;  60700;       ;      ;      ;                                                                       ;br*in
HW 20                         ;SMC    ;Hyi  ;00 44 47   -74 21 46   ;Op    ;OC    ;    45.0;  60700;       ;      ;      ;                                                                       ;
[BS95] 196                    ;SMC    ;Hyi  ;01 48 02   -70 00 15   ;Op    ;OC    ;    45.0;  61700;       ;      ;      ;OGLE-MBR-CL-0036                                                       ;
OGLE-SMC-CL-0261              ;SMC    ;Hyi  ;01 01 51.09-76 06 35.2 ;Op    ;OC    ;    46.0;  60700;       ;      ;      ;                                                                       ;from arXiv:1801.05867v1
OGLE-SMC-CL-0262              ;SMC    ;Hyi  ;01 26 31.46-70 16 09.4 ;Op    ;OC    ;    46.0;  60700;       ;      ;      ;                                                                       ;from arXiv:1801.05867v1
HW 82                         ;SMC    ;Hyi  ;01 24 28   -73 10 15   ;Op    ;OC    ;    48.0;  60700;       ;      ;      ;OGLE-SMC-CL-0290                                                       ;in H-A 64
OGLE-SMC-CL-0256              ;SMC    ;Hyi  ;01 36 41.78-75 51 15.0 ;Op    ;OC    ;    48.0;  60700;       ;      ;      ;                                                                       ;from arXiv:1801.05867v1
OGLE-SMC-CL-0242              ;SMC    ;Hyi  ;01 31 13.45-73 41 35.3 ;Op    ;OC    ;    52.0;  60700;       ;      ;      ;                                                                       ;from arXiv:1801.05867v1
OGLE-SMC-CL-0240              ;SMC    ;Hyi  ;01 37 02.76-73 28 18.6 ;Op    ;OC    ;    54.0;  60700;       ;      ;      ;                                                                       ;from arXiv:1801.05867v1
OGLE-SMC-CL-0259              ;SMC    ;Hyi  ;01 01 50.99-76 06 38.4 ;Op    ;OC    ;    54.0;  60700;       ;      ;      ;                                                                       ;from arXiv:1801.05867v1
OGLE-SMC-CL-0239              ;SMC    ;Hyi  ;01 40 38.72-73 43 03.6 ;Op    ;OC    ;    56.0;  60700;       ;      ;      ;                                                                       ;from arXiv:1801.05867v1
OGLE-SMC-CL-0252              ;SMC    ;Hyi  ;01 40 30.50-74 26 04.9 ;Op    ;OC    ;    56.0;  60700;       ;      ;      ;                                                                       ;from arXiv:1801.05867v1
HW 81                         ;SMC    ;Hyi  ;01 24 10   -73 09 15   ;Op    ;OC    ;    60.0;  60700;       ;      ;      ;OGLE-SMC-CL-0289                                                       ;in DEMS 161n
HW 85                         ;SMC    ;Hyi  ;01 42 28   -71 16 45   ;Op    ;OC    ;    60.0;  60700;       ;      ;      ;OGLE-SMC-CL-0304, OGLE-MBR-CL-0037                                     ;
Lindsay 3                     ;SMC    ;Hyi  ;00 18 25   -74 19 07   ;Op    ;OC    ;    60.0;  53500;       ;      ;      ;ESO 28-13, OGLE-SMC-CL-0323                                            ;
WG 3                          ;SMC    ;Hyi  ;01 49 43   -74 36 49   ;Op    ;OC/OB ;    60.0;  60700;       ;      ;      ;OGLE-MBR-CL-0052                                                       ;in MP 4n
WG 8                          ;SMC    ;Hyi  ;01 56 35   -74 17 00   ;Op    ;OB/OC ;    60.0;  60700;       ;      ;      ;OGLE-MBR-CL-0076                                                       ;inc MP1-N, in BS 215
[BS95] 173                    ;SMC    ;Hyi  ;01 24 04   -70 19 39   ;Op    ;OC/OB ;    60.0;  60700;       ;      ;      ;                                                                       ;
[BS95] 177                    ;SMC    ;Hyi  ;01 24 32   -72 49 00   ;Op    ;OB    ;    60.0;  60700;       ;      ;      ;                                                                       ;
[BS95] 198                    ;SMC    ;Hyi  ;01 48 00   -73 07 58   ;Op    ;OC/OB ;    60.0;  60700;       ;      ;      ;OGLE-MBR-CL-0038, OGLE-MBR-CL-0048                                     ;
OGLE-SMC-CL-0255              ;SMC    ;Hyi  ;01 34 30.37-73 56 59.9 ;Op    ;OC    ;    62.0;  60700;       ;      ;      ;                                                                       ;from arXiv:1801.05867v1
Lindsay 5                     ;SMC    ;Hyi  ;00 22 40   -75 04 29   ;Op    ;OC    ;    66.0;  60700;       ;      ;      ;ESO 28-16, OGLE-SMC-CL-0314                                            ;Old IAC
WG 1                          ;SMC    ;Hyi  ;01 42 52   -73 20 11   ;Op    ;OC    ;    66.0;  60700;       ;      ;      ;OGLE-MBR-CL-0049, OGLE-SMC-CL-0282                                     ;
[BS95] 179                    ;SMC    ;Hyi  ;01 24 51   -73 26 22   ;Op    ;OB    ;    66.0;  60700;       ;      ;      ;                                                                       ;att DEMS 162n
[BS95] 181                    ;SMC    ;Hyi  ;01 25 49   -73 31 25   ;Op    ;OB    ;    66.0;  60700;       ;      ;      ;                                                                       ;
[BS95] 188                    ;SMC    ;Hyi  ;01 35 11   -71 44 15   ;Op    ;OC    ;    66.0;  60700;       ;      ;      ;OGLE-SMC-CL-0302                                                       ;
[BS95] 189                    ;SMC    ;Hyi  ;01 43 07   -71 27 03   ;Op    ;OC/OB ;    66.0;  60700;       ;      ;      ;                                                                       ;
[BS95] 190                    ;SMC    ;Hyi  ;01 43 51   -71 44 50   ;Op    ;OC/OB ;    66.0;  60700;       ;      ;      ;OGLE-SMC-CL-0301                                                       ;
[BS95] 209                    ;SMC    ;Hyi  ;01 53 21   -74 18 59   ;Op    ;OB    ;    66.0;  60700;       ;      ;      ;                                                                       ;
OGLE-SMC-CL-0260              ;SMC    ;Hyi  ;01 02 36.01-75 49 22.7 ;Op    ;OC    ;    68.0;  60700;       ;      ;      ;                                                                       ;from arXiv:1801.05867v1
BBDS 2                        ;SMC    ;Hyi  ;01 49 25   -74 39 09   ;Op    ;OB    ;    72.0;  60700;       ;      ;      ;OGLE-MBR-CL-0053                                                       ;inc BS 200
Bruck 163                     ;SMC    ;Hyi  ;01 24 09   -73 14 45   ;Op    ;OB/OC ;    72.0;  60700;       ;      ;      ;                                                                       ;b*in, in H-A 65
HW 84                         ;SMC    ;Hyi  ;01 41 43   -71 09 40   ;Op    ;OC    ;    72.0;  60700;       ;      ;      ;OGLE-SMC-CL-0305                                                       ;
IC 1708                       ;SMC    ;Hyi  ;01 24 56   -71 11 01   ;Op    ;OC    ;    72.0;  60700;       ;      ;      ;Lindsay 102, ESO 52-2, OGLE-SMC-CL-0342                                ;
Lindsay 109                   ;SMC    ;Hyi  ;01 33 14   -74 10 02   ;Op    ;OC    ;    72.0;  60700;       ;      ;      ;ESO 29-46, OGLE-SMC-CL-0294                                            ;
Lindsay 112                   ;SMC    ;Hyi  ;01 36 01   -75 27 28   ;Op    ;OC    ;    72.0;  60700;       ;      ;      ;OGLE-SMC-CL-0298                                                       ;Old IAC
Lindsay 116                   ;SMC    ;Hyi  ;01 55 33   -77 39 16   ;Op    ;OC    ;    72.0;  60700;       ;      ;      ;ESO 13-25, OGLE-MBR-CL-0091                                            ;
NGC 796                       ;SMC    ;Hyi  ;01 56 44   -74 13 10   ;Op    ;OC    ;    72.0;  60700;       ;      ;      ;Lindsay 115, WG 9, ESO 30-6, OGLE-MBR-CL-0039, OGLE-MBR-CL-0075        ;inc MP-1S, in BS 215
OGLE-SMC-CL-0271              ;SMC    ;Hyi  ;00 33 27.41-74 21 42.3 ;Op    ;OC    ;    72.0;  60700;       ;      ;      ;                                                                       ;from arXiv:1801.05867v1
WG 2                          ;SMC    ;Hyi  ;01 45 14   -74 41 17   ;Op    ;OC/OB ;    72.0;  60700;       ;      ;      ;OGLE-MBR-CL-0051                                                       ;in BS 195
WG 7                          ;SMC    ;Hyi  ;01 53 34   -73 58 16   ;Op    ;OB    ;    72.0;  60700;       ;      ;      ;                                                                       ;
[BS95] 192                    ;SMC    ;Hyi  ;01 43 54   -74 33 59   ;Op    ;OC/OB ;    72.0;  60700;       ;      ;      ;OGLE-MBR-CL-0056                                                       ;in BS 191
OGLE-SMC-CL-0241              ;SMC    ;Hyi  ;01 36 24.26-73 36 30.8 ;Op    ;OC    ;    74.0;  60700;       ;      ;      ;                                                                       ;from arXiv:1801.05867v1
OGLE-SMC-CL-0245              ;SMC    ;Hyi  ;01 37 15.96-73 22 53.8 ;Op    ;OC    ;    74.0;  60700;       ;      ;      ;                                                                       ;from arXiv:1801.05867v1
OGLE-SMC-CL-0247              ;SMC    ;Hyi  ;01 28 57.40-73 14 55.7 ;Op    ;OC    ;    76.0;  60700;       ;      ;      ;                                                                       ;from arXiv:1801.05867v1
OGLE-SMC-CL-0249              ;SMC    ;Hyi  ;01 29 36.38-73 13 39.7 ;Op    ;OC    ;    76.0;  60700;       ;      ;      ;                                                                       ;from arXiv:1801.05867v1
OGLE-SMC-CL-0257              ;SMC    ;Hyi  ;01 21 30.56-75 33 15.2 ;Op    ;OC    ;    78.0;  60700;       ;      ;      ;                                                                       ;from arXiv:1801.05867v1
OGLE-SMC-CL-0272              ;SMC    ;Hyi  ;00 36 31.49-74 55 46.7 ;Op    ;OC    ;    78.0;  60700;       ;      ;      ;                                                                       ;from arXiv:1801.05867v1
OGLE-SMC-CL-0273              ;SMC    ;Hyi  ;00 33 27.97-74 21 45.5 ;Op    ;OC    ;    82.0;  60700;       ;      ;      ;                                                                       ;from arXiv:1801.05867v1
Lindsay 114                   ;SMC    ;Hyi  ;01 50 19   -74 21 22   ;Op    ;OC    ;    84.0;  60700;       ;      ;      ;WG 4, ESO 30-5, OGLE-MBR-CL-0055, OGLE-MBR-CL-0041                     ;in BS 203
WG 5se                        ;SMC    ;Hyi  ;01 50 55   -74 10 56   ;Op    ;OC/OB ;    84.0;  60700;       ;      ;      ;OGLE-MBR-CL-0042                                                       ;in MP 3
[BS95] 184                    ;SMC    ;Hyi  ;01 30 10   -71 19 48   ;Op    ;OC/OB ;    84.0;  60700;       ;      ;      ;OGLE-SMC-CL-0303, OGLE-SMC-CL-0338                                     ;
[BS95] 210                    ;SMC    ;Hyi  ;01 53 36   -74 00 23   ;Op    ;OB    ;    84.0;  60700;       ;      ;      ;OGLE-MBR-CL-0045                                                       ;
OGLE-SMC-CL-0243              ;SMC    ;Hyi  ;01 27 35.51-73 33 58.2 ;Op    ;OC    ;    88.0;  60700;       ;      ;      ;                                                                       ;from arXiv:1801.05867v1
OGLE-SMC-CL-0246              ;SMC    ;Hyi  ;01 36 19.48-73 21 49.5 ;Op    ;OC    ;    88.0;  60700;       ;      ;      ;                                                                       ;from arXiv:1801.05867v1
OGLE-SMC-CL-0250              ;SMC    ;Hyi  ;01 24 33.75-73 14 21.2 ;Op    ;OC    ;    88.0;  60700;       ;      ;      ;                                                                       ;from arXiv:1801.05867v1


SMASH Field 11-02             ;SMC    ;Tuc  ;01 01 18.19-73 27 57.2 ;Op    ;OC    ;    14.0;  60700;       ;      ;      ;                                                                       ;from arXiv:1612.09221v1
[SSN2007] Sc 13               ;SMC    ;Tuc  ;00 59 12   -72 09 58   ;Op    ;OC    ;    16.2;  60700;       ;      ;      ;HGH 3                                                                  ;in NGC 346
