Common Name           ;Gl/GJ   ;Variable  ;Cst  ;RA_J2000   De_J2000  ;PMtot ;PosAng ;TrigPar  ;Error  ;Spect. Type  ;AparMag    ;P/D;Comments
LHS 1876 (Ba)         ;250 B   ;          ;Mon  ;06 52 18.1 -05 11 23 ; 0.54 ; 270.0 ; 114.65  ; 0.43  ; M 2   V     ; 10.77 V   ;   ;
LHS 1876 (Bb)         ;        ;          ;Mon  ;06 52 18.1 -05 11 23 ; 0.54 ; 270.0 ; 114.65  ; 0.43  ; M 2   V     ; 11.0  V   ;   ;
BD+36 2219            ;450     ;          ;UMa  ;11 51 08.0 +35 16 21 ; 0.35 ; 321.0 ; 114.09  ; 0.26  ; M 1   V     ;  9.72 V   ;   ;
LP 991-84             ;        ;          ;Phe  ;01 39 21.7 -39 36 08 ; 0.28 ; 146.1 ; 114.05  ; 0.49  ; M 4.5 V     ; 14.52 V   ;   ;
41 Arae A             ;666 A   ;          ;Ara  ;17 19 03.3 -46 38 04 ; 1.05 ; 80.5  ; 113.71  ; 0.69  ; G 8   V     ;  5.47 V   ;   ;
41 Arae B             ;666 B   ;          ;Ara  ;17 19 03.3 -46 38 04 ; 1.05 ; 80.5  ; 113.71  ; 0.69  ; M 0   V     ;  8.69 V   ;   ;
Wolf 1329             ;849     ;          ;Aqr  ;22 09 39.9 -04 38 28 ; 1.04 ; 91.5  ; 113.26  ; 0.31  ; M 3.5 V     ; 10.37 V   ; y ;
Ross 730 (A)          ;745 A   ;          ;Sge  ;19 07 05.6 +20 53 17 ; 0.59 ; 234.2 ; 113.25  ; 0.26  ; M 2   V     ; 10.76 V   ;   ;
Ross 731 (B)          ;745 B   ;          ;Sge  ;19 07 13.2 +20 52 37 ; 0.59 ; 235.2 ; 113.25  ; 0.26  ; M 2   V     ; 10.78 V   ;   ;
LHS 3556 A            ;791.2   ;HU Del    ;Del  ;20 29 48.1 +09 41 23 ; 0.69 ; 79.8  ; 113.17  ; 0.29  ; M 4.5 V     ; 13.11 V   ;   ;
LHS 3556 B            ;        ;          ;Del  ;20 29 48.1 +09 41 23 ; 0.69 ; 79.8  ; 113.17  ; 0.29  ; M 6   V     ; 16.38 V   ;   ;
NLTT 16775 (A)        ;        ;          ;Men  ;06 33 43.3 -75 37 48 ; 0.40 ; 313.7 ; 113.08  ; 0.27  ; M 2   V     ; 10.35 V   ;   ;
NLTT 16774 (B)        ;        ;          ;Men  ;06 33 46.8 -75 37 30 ; 0.37 ; 307.2 ; 113.08  ; 0.27  ; M 3   V     ; 11.41 V   ;   ;
HD 214479 Aa          ;867 A   ;FK Aqr    ;Aqr  ;22 38 45.3 -20 37 13 ; 0.46 ; 97.0  ; 112.76  ; 0.36  ; M 1   V     ;  9.53 V   ;   ;ST derived from MV
HD 214479 Ab          ;867     ;FK Aqr    ;Aqr  ;22 38 45.3 -20 37 13 ; 0.46 ; 97.0  ; 112.76  ; 0.36  ; M 2.5 V     ; 10.28 V   ;   ;ST derived from MV
HD 214479 Bab         ;867 B   ;FL Aqr    ;Aqr  ;22 38 45.3 -20 37 13 ; 0.46 ; 97.0  ; 112.76  ; 0.36  ; M 4   V c   ; 11.45 V c ;   ;Bb component has a minimum mass of 61+-7 MJup
LEHPM 1-3396          ;        ;          ;Hor  ;03 34 12.2 -49 53 32 ; 2.45 ; 77.6  ; 112.636 ; 0.092 ; M 9   V     ; 19.38 V   ;   ;
SCR J0630-7643 A      ;        ;          ;Men  ;06 30 46.6 -76 43 09 ; 0.56 ; 351.0 ; 112.49  ; 0.12  ; M 6   V     ; 15.48 V   ;   ;
SCR J0630-7643 B      ;        ;          ;Men  ;06 30 46.6 -76 43 09 ; 0.56 ; 351.0 ; 112.49  ; 0.12  ; M 6   V     ; 15.68 V   ;   ;
HD 192310             ;785     ;          ;Cap  ;20 15 17.0 -27 01 57 ; 1.26 ; 98.5  ; 112.22  ; 0.30  ; K 2   V     ;  5.72 V   ; y ;HR 7722
2MASS J0727+1710      ;        ;          ;Gem  ;07 27 18.2 +17 10 01 ; 1.30 ; 126.1 ; 112.20  ; 0.84  ; T 7   V     ; 15.6  J   ;   ;
Gamma Leporis (A)     ;216 A   ;          ;Lep  ;05 44 28.1 -22 26 54 ; 0.48 ; 218.5 ; 112.04  ; 0.18  ; F 6   V     ;  3.6  V   ;   ;
Gamma Leporis (B)     ;216 B   ;AK Lep    ;Lep  ;05 44 26.1 -22 25 17 ; 0.47 ; 220.7 ; 112.04  ; 0.18  ; K 2   V     ;  6.15 V   ; y ;
Ross 695              ;465     ;          ;Crv  ;12 24 52.8 -18 14 31 ; 2.53 ; 154.7 ; 111.7   ; 1.7   ; M 2   V     ; 11.27 V   ;   ;
G 113-20              ;2066    ;          ;Hya  ;08 16 07.9 +01 18 10 ; 0.37 ; 277.0 ; 111.53  ; 0.70  ; M 2   V     ; 10.09 V   ;   ;
LHS 224 A             ;3421    ;          ;Lyn  ;07 03 56.4 +52 42 17 ; 1.17 ; 141.7 ; 111.5   ; 1.2   ; M 5   V     ; 14.78 V   ;   ;
LHS 224 B             ;        ;          ;Lyn  ;07 03 56.4 +52 42 17 ; 1.17 ; 141.7 ; 111.5   ; 1.2   ; M 5   V     ; 14.80 V   ;   ;
WT 460 A              ;        ;          ;Cen  ;14 12 00.0 -41 32 21 ; 0.77 ; 260.3 ; 111.03  ; 0.35  ; M 5.5 V     ; 15.65 V   ;   ;
WT 460 B              ;        ;          ;Cen  ;14 12 00.0 -41 32 21 ; 0.77 ; 260.3 ; 111.03  ; 0.35  ; L 1   V     ; 19.92 V   ;   ;
Delta Eridani         ;150     ;Del Eri   ;Eri  ;03 43 14.9 -09 45 49 ; 0.75 ; 352.3 ; 110.63  ; 0.22  ; K 1   III-IV;  3.51 V   ; y ;
BD+66 717 A           ;424     ;SZ UMa    ;UMa  ;11 20 05.4 +65 50 44 ; 2.96 ; 273.6 ; 110.60  ; 0.62  ; M 1   V     ;  9.32 V   ;   ;
BD+66 717 B           ;        ;SZ UMa    ;UMa  ;11 20 05.4 +65 50 44 ; 2.96 ; 273.6 ; 110.60  ; 0.62  ; M 5   V     ; 14.35 V   ;   ;ST derived from MV
LHS 1126              ;2012    ;          ;Cet  ;00 41 25.4 -22 21 04 ; 0.57 ; 229.0 ; 110.4   ; 1.2   ; DQ 9        ; 14.6  V   ;   ;
