Loiano 1              ;Cyg  ;19 58 17.3 +32 33 00  ;***  ;    9.6 ;                                                  
NGC 6856              ;Cyg  ;19 59 17.0 +56 07 01  ;***  ;   12.0 ;                                                  
Dolidze 36            ;Cyg  ;20 02 27.6 +42 09 54  ;***  ;   13.2 ;                                                  
Dolidze 37            ;Cyg  ;20 02 50.9 +37 39 00  ;***  ;   22.8 ;                                                  
Dias 11               ;Cyg  ;20 04 08.0 +37 28 30  ;***  ;    1.8 ;                                                  
Dolidze 38            ;Cyg  ;20 05 52.8 +41 11 42  ;***  ;   24.6 ;                                                  
Dolidze 2             ;Cyg  ;20 10 01.2 +41 21 18  ;***  ;   13.2 ;                                                  
NGC 6895              ;Cyg  ;20 16 08.4 +50 14 42  ;***  ;   18.0 ;                                                  
NGC 6896              ;Cyg  ;20 18 00.0 +30 39 30  ;***  ;    3.0 ;                                                  
Dolidze 42            ;Cyg  ;20 19 37.2 +38 08 28  ;***  ;   12.6 ;                                                  
Dolidze 10            ;Cyg  ;20 25 25.0 +40 05 06  ;***  ;   19.0 ;                                                  
Dolidze 9             ;Cyg  ;20 25 40.8 +41 57 11  ;***  ;   15.6 ;                                                  
Dolidze 44            ;Cyg  ;20 29 47.3 +41 38 06  ;***  ;   24.0 ;                                                  
deWit 4               ;Cyg  ;20 30 12.5 +44 20 06  ;***  ;   18.0 ;                                                  
Dolidze 47            ;Cyg  ;20 41 44.9 +36 31 01  ;***  ;   18.0 ;                                                  
Ruprecht 173          ;Cyg  ;20 41 49.2 +35 35 06  ;***  ;   20.4 ;                                                  
Turner 11             ;Cyg  ;20 43 12.0 +35 35 06  ;***  ;   13.8 ;                                                  
Ruprecht 173s         ;Cyg  ;20 43 48.0 +35 24 41  ;***  ;   14.0 ;                                                  
Ruprecht 175          ;Cyg  ;20 45 03.6 +35 30 11  ;***  ;    9.0 ;                                                  
NGC 6989              ;Cyg  ;20 53 58.1 +45 14 24  ;***  ;   22.8 ;                                                  
NGC 6996              ;Cyg  ;20 56 24.0 +45 39 24  ;***  ;   11.0 ;                                                  
Dolidze 54            ;Cyg  ;21 01 06.0 +41 21 48  ;***  ;   10.0 ;                                                  
Dolidze 55            ;Cyg  ;21 09 50.4 +40 36 36  ;***  ;   13.8 ;Kronberger J2109+4035                             
Webb 1                ;Cyg  ;21 10 09.0 +43 59 42  ;***  ;    3.5 ;                                                  
Dolidze 45            ;Cyg  ;21 10 48.0 +37 32 13  ;***  ;   18.6 ;                                                  
NGC 7037              ;Cyg  ;21 10 55.2 +33 43 55  ;***  ;   21.6 ;                                                  
Basel 13              ;Cyg  ;21 12 36.0 +46 31 48  ;***  ;   17.4 ;                                                  
NGC 7050              ;Cyg  ;21 15 12.5 +36 09 54  ;***  ;   11.2 ;                                                  
Skiff J2116+5048      ;Cyg  ;21 16 58.0 +50 48 06  ;***  ;    4.0 ;BAS J211658+5048.1                                
NGC 7071              ;Cyg  ;21 26 39.0 +47 55 12  ;***  ;    8.0 ;                                                  
NGC 7093              ;Cyg  ;21 34 26.4 +45 54 54  ;***  ;   15.6 ;                                                  
NGC 7127              ;Cyg  ;21 43 41.0 +54 36 54  ;***  ;   10.2 ;                                                  
Alessi 11             ;Del  ;20 21 16.1 +18 23 24  ;***  ;   18.6 ;                                                  
Theta Del Grp         ;Del  ;20 38 17.0 +13 14 54  ;***  ;   70.0 ;Harrington 9                                      
NGC 6950              ;Del  ;20 41 03.8 +16 37 48  ;***  ;   17.8 ;                                                  
French 1              ;Del  ;21 07 27.0 +16 20 06  ;***  ;   15.0 ;Toadstool, Alessi J2107+1619, Santa 17, Vastagh 10
NGC 1785              ;Dor  ;04 58 35.0 -68 50 40  ;***  ;    6.0 ;                                                  
Kemble 2              ;Dra  ;18 35 06.0 +72 21 42  ;***  ;   26.0 ;Alessi J1835+7223, Little Queen                   
NGC 6832              ;Dra  ;19 47 57.4 +59 23 53  ;***  ;   13.2 ;HD 187748 Grp, Saloranta J1947+5923               
Levy-W J2108+0621     ;Equ  ;21 08 50.0 +06 21 30  ;***  ;   22.0 ;Santa 14                                          
NGC 1498              ;Eri  ;04 00 18.0 -12 00 54  ;***  ;    7.6 ;                                                  
ESO 485-20            ;Eri  ;04 50 04.0 -25 57 24  ;***  ;    5.0 ;                                                  
Koposov 62            ;Gem  ;06 18 02.2 +24 41 42  ;***  ;    6.2 ;                                                  
NGC 2218              ;Gem  ;06 24 36.0 +19 21 31  ;***  ;    4.0 ;                                                  
NGC 2224              ;Gem  ;06 27 32.0 +12 39 20  ;***  ;   28.0 ;Camargo 69                                        
NGC 2234              ;Gem  ;06 29 20.4 +16 45 32  ;***  ;   12.0 ;FSR 938                                           
NGC 2248              ;Gem  ;06 34 37.2 +26 18 18  ;***  ;    6.0 ;                                                  
NGC 2265              ;Gem  ;06 41 35.9 +11 55 16  ;***  ;   20.0 ;                                                  
NGC 2277              ;Gem  ;06 47 47.0 +33 27 10  ;***  ;    1.0 ;                                                  
NGC 2331              ;Gem  ;07 06 43.2 +27 15 18  ;***  ;   16.8 ;                                                  
NGC 2356              ;Gem  ;07 17 07.0 +13 57 30  ;***  ;   18.0 ;                                                  
NGC 2395              ;Gem  ;07 27 05.8 +13 35 02  ;***  ;   16.8 ;                                                  
Harrington 7          ;Her  ;16 18 05.0 +13 03 06  ;***  ;  100.0 ;Zig Zag                                           
Dol-Dzim 5            ;Her  ;16 27 24.0 +38 04 00  ;***  ;   15.0 ;                                                  
Dol-Dzim 6            ;Her  ;16 45 30.5 +38 21 36  ;***  ;   33.6 ;                                                  
Sudor Ophiuchi        ;Her  ;17 05 00.0 +13 12 00  ;***  ;  180.0 ;Lorenzin 2                                        
Dol-Dzim 7            ;Her  ;17 10 36.0 +15 32 00  ;***  ;   20.0 ;                                                  
Dol-Dzim 8            ;Her  ;17 25 58.8 +24 10 59  ;***  ;   19.8 ;                                                  
NGC 6430              ;Her  ;17 44 45.0 +18 10 00  ;***  ;    7.0 ;                                                  
LeDrew 8              ;Her  ;17 49 18.0 +28 04 00  ;***  ;   12.0 ;                                                  
