Srcs: WEBDA Lit, Bukowiecki, SAI, Malysheva, Tadross, MWSC, Froebrich, Dambis, Lata, Buckner+13,14 Loktin, XHIP, Pleiades (Mamajek HP),
Hyades (OCs BOOK), Rup I, Rup III, Melnik95,09

Cluster Name                           dist     EB-V   log t    Authors                          Year  Reference

2MASS-GC01                             3370                     Baumgart                         2021, website
2MASS-GC02                             5500                     Baumgart                         2021, website
AB Doradus                               29.3                   ANDERSON E., FRANCIS C.          2012, ASTRON. LETTERS 38, 331A (XHIP)
NGC 3293                               2920                     FEAST                            1965, MN,130,267
NGC 3324                               2361     0.73    6.100   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 3324                               2441     0.50    7.00    Bukowiecki L., et al.            2011, AcA 62
NGC 3324                               2547     0.470   6.40    DAMBIS, A. K.                    1999, ASTRON LETTERS 25, 1, 7-13
NGC 3324                               3061     0.480   6.710   CLARIA J.J.                      1976, PUBL.ASTRON.SOC.PACIF. 88, 225
NGC 3324                               3330                     COLLINDER                        1931, LD.AN,2,LK
NGC 3324                               3330                     COLLINDER                        1931, LD.AN,2,CR
NGC 3324                               3439     0.430   6.691   MOFFAT A.F.J.,VOGT N.            1975, ASTRON.ASTROPHYS.SUPPL. 20, 125
NGC 3330                                                8.00    BARBARO                          1969, AP.SP.SC,3,123
NGC 3330                               1250     0.05    8.565   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 3330                               1300                     BARHATOVA                        1950, A.ZH,27,183
NGC 3330                               1380                     RIEKE                            1935, HC,397
NGC 3330                               1380                     SHAPLEY                          1930, ST.CL,230
NGC 3330                               1390                     NECKEL                           1967, HEID.VER,N3598
NGC 3330                               1390                     BECKER                           1971, AS.AP.SUP,4,241
NGC 3330                               1390                     FEINSTEIN                        1969, MN,143,284
NGC 3330                               1390             7.70    LINDOFF                          1968, SV.ARK.A,5,1
NGC 3330                               1390                     BECKER                           1963, ZF.A,57,117
NGC 3330                               1390             8.93    SCHMIDT                          1963, AN,287,41
NGC 3330                               1390                     JOHNSON                          1961, LOW.B,5,N8
NGC 3330                               1390                     BECKER                           1961, ZF.A,51,151
NGC 3330                               1400                     BUSCOMBE                         1963, MT.STR.MIM,N6
NGC 3330                               1890                     TRUMPLER                         1930, LOB,14,172
NGC 3330                               2270                     COLLINDER                        1931, LD.AN,2,LK
NGC 3330                               2270                     COLLINDER                        1931, LD.AN,2,CR
NGC 3446                               1485     0.16    9.000   TADROSS, A. L.                   2011, JKAS 44 (1), 1
NGC 3446                               2001     0.29    9.105   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 3496                                                8.60    CANNON                           1970, MN,150,111
NGC 3496                                852     0.475   9.135   MCCUSKEY S.W.,HOUK N.            1964, ASTRON. J. 69, 412
NGC 3496                               1025                     BECKER                           1971, AS.AP.SUP,4,241
NGC 3496                               1100                     SHER                             1965, MN,129,237
NGC 3496                               1100     0.5             HAGEN                            1970, DOP,4,22
NGC 3496                               1100             8.55    LINDOFF                          1968, SV.ARK.A,5,1
NGC 3496                               1100                     FEINSTEIN                        1969, MN,143,284
NGC 3496                               1300                     BARHATOVA                        1950, A.ZH,27,183
NGC 3496                               1359     0.42    8.895   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 3496                               1380     0.52    8.60    BALONA L.A., LANEY C.D.          1995, MNRAS 227, 250
NGC 3496                               1860     0.41    8.75    Bukowiecki L., et al.            2011, AcA 62
NGC 3496                               2400             8.56    VASILEVSKIJ                      1972, A.ZH,49,378
NGC 3496                               2440                     COLLINDER                        1931, LD.AN,2,CR
NGC 3496                               2440                     COLLINDER                        1931, LD.AN,2,LK
NGC 3496                               2900                     TRUMPLER                         1930, LOB,14,175,184
NGC 3503, Pismis 17                    2255     0.73    7.400   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 3503, Pismis 17                    4117     0.520   6.962   MOFFAT A.F.J.,VOGT N.            1975, ASTRON.ASTROPHYS.SUPPL. 20, 125
NGC 3503, Pismis 17                    4571     0.446   6.40    DAMBIS, A. K.                    1999, ASTRON LETTERS 25, 1, 7-13
NGC 3519, Ruprecht 93                  1619     0.17    8.755   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 3520                               1245     0.03    9.505   TADROSS, A. L.                   2011, JKAS 44 (1), 1
NGC 3532                                                8.40    BARBARO                          1969, AP.SP.SC,3,123
NGC 3532                                 80                     CHARDIER                         1918, LD.M,S2,N19
NGC 3532                                290                     RIEKE                            1935, HC,397
NGC 3532                                301                     WALLENQUIST                      1959, UP.AN,4,N6
NGC 3532                                350                     TRUMPLER                         1930, LOB,14,173,157
NGC 3532                                380                     BARHATOVA                        1950, A.ZH,27,183
NGC 3532                                400                     BUSCOMBE                         1963, MT.STR.MIM,N6
NGC 3532                                400                     SHAPLEY                          1919, MW.COM,62
NGC 3532                                410     0.020   8.372   WIZINOWICH P.,GARRISON R.F.      1982, ASTRON.J. 87, 1390
NGC 3532                                415                     BECKER                           1971, AS.AP.SUP,4,241
NGC 3532                                415                     WALLENQUIST                      1930, LEMB,3,N3
NGC 3532                                420                     BECKER                           1963, ZF.A,57,117
NGC 3532                                420                     BECKER                           1961, ZF.A,51,151
NGC 3532                                420             8.30    LINDOFF                          1968, SV.ARK.A,5,1
NGC 3532                                420                     NECKEL                           1967, HEID.VER,N3737
NGC 3532                                420             9.49    SCHMIDT                          1963, AN,287,41
NGC 3532                                423.4                   ANDERSON E., FRANCIS C.          2012, ASTRON. LETTERS 38, 331A (XHIP)
NGC 3532                                430                     VAN SCHEWICK                     1971, BONN.VER,N84
NGC 3532                                432                     FEINSTEIN                        1969, MN,143,284
NGC 3532                                432                     KOELBLOED                        1959, BAN,14,265
NGC 3532                                440     0.01            HAGEN                            1970, DOP,4,22
NGC 3532                                450     0.050   8.418   JOHANSSON S.                     1981, ASTRON.ASTROPHYS.SUPPL. 43, 421
NGC 3532                                454     0.04    8.650   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 3532                                460                     COLLINDER                        1931, LD.AN,2,LK
NGC 3532                                460     0.043   8.421   FERNANDES J.A.,SALGADO C.W.      1980, ASTRON.ASTROPHYS.SURRL. 39, 11
NGC 3532                                460                     COLLINDER                        1931, LD.AN,2,CR
NGC 3532                                475                     RAAB                             1922, LD.M,S2,N30,46
NGC 3532                                495     0.04            SARAJEDINI A., ET AL.            2004, AJ 127, 991
NGC 3532                                497     0.041   8.36    MALYSHEVA, I. K.                 1997, ASTRON LETTERS 23, 5, 585-590
NGC 3532                                500                     DOIG                             1925, JBAA,35,204
NGC 3532                                500                     DOIG                             1926, JBAA,36,112,116
NGC 3532                                520                     SHAPLEY                          1930, ST.CL,230
NGC 3572                                        0.51            STARIKOVA                        1968, A.ZH,45,795
NGC 3572                               1050                     SHAPLEY                          1930, ST.CL,231
NGC 3572                               1100                     BARHATOVA                        1950, A.ZH,27,183
NGC 3572                               1600                     LODEN                            1973, AS.AP.SUP,10,125
NGC 3572                               1788     0.34    7.00    Bukowiecki L., et al.            2011, AcA 62
NGC 3572                               1997     0.36    6.925   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 3572                               2000             7.11    LINDOFF                          1968, SV.ARK.A,5,1
NGC 3572                               2300                     BUSCOMBE                         1963, MT.STR.MIM,N6
NGC 3572                               2340                     TRUMPLER                         1930, LOB,14,173
NGC 3572                               2399     0.440   6.50    DAMBIS, A. K.                    1999, ASTRON LETTERS 25, 1, 7-13
NGC 3572                               2400                     SCHMIDT                          1964, BONN.VER,N71
NGC 3572                               2650                     SCHMIDT                          1964, BONN.VER,
NGC 3572                               2662     0.460   6.704   MOFFAT A.F.J.,VOGT N.            1975, ASTRON.ASTROPHYS.SUPPL. 20, 125
NGC 3572                               2690                     BECKER                           1971, AS.AP.SUP,4,241
NGC 3572                               2838     0.490   6.780   SCHMIDT H.,SANTANILLA G.D.       1964, VEROFF.ASTR.INST.BONN N. 71, 27 PP
NGC 3572                               2950                     COLLINDER                        1931, LD.AN,2,LK
NGC 3572                               3200     0.45            HAGEN                            1970, DOP,4,24
NGC 3572                               3900                     SCHMIDT                          1964, BONN.VER,N71
NGC 3576                               2500                     MELNIK A.M., DAMBIS A.K.         2009, MNRAS 400, 518
NGC 3576                               2580                     MELNIK A.M., EFREMOV YU.N.       1995, PIS'MA ASTRON. ZH. 21, 13
NGC 3590                                        0.37            STARIKOVA                        1968, A.ZH,45,795
NGC 3590                               1100                     MARKARJAN                        1951, BIUR.SOOB,9,27
NGC 3590                               1200                     SHAPLEY                          1930, ST.CL,231
NGC 3590                               1300             7.70    LINDOFF                          1968, SV.ARK.A,5,1
NGC 3590                               1660     0.42    7.400   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 3590                               1800     0.19            HAGEN                            1970, DOP,4,24
NGC 3590                               1820                     SCHMIDT                          1964, BONN.VER,N71
NGC 3590                               1994     0.510   7.052   MOFFAT A.F.J.,VOGT N.            1975, ASTRON.ASTROPHYS.SUPPL. 20, 125
NGC 3590                               2055     0.500   7.643   SCHMIDT H.,SANTANILLA G.D.       1964, VEROFF.ASTR.INST.BONN N. 71, 27 PP
NGC 3590                               2057     0.36    7.50    Bukowiecki L., et al.            2011, AcA 62
NGC 3590                               2100                     BUSCOMBE                         1963, MT.STR.MIM,N6
NGC 3590                               2188     0.535   7.20    DAMBIS, A. K.                    1999, ASTRON LETTERS 25, 1, 7-13
NGC 3590                               2440                     COLLINDER                        1931, LD.AN,2,CR
NGC 3590                               2440                     COLLINDER                        1931, LD.AN,2,LK
NGC 3590                               2560     0.520   7.298   CLARIA J.J.                      1976, ASTRON.J. 81, 155
NGC 3590                               3700                     SCHMIDT                          1964, BONN.VER,N71
NGC 3603                               1550                     BARHATOVA                        1950, A.ZH,27,183
NGC 3603                               3470                     GEORGELIN                        1970, AS.AP,6,349
NGC 3603                               3500                     FEINSTEIN                        1969, MN,143,284
NGC 3603                               3500                     SHER                             1965, MN,129,237
NGC 3603                               3500     1.42            HAGEN                            1970, DOP,4,24
NGC 3603                               3500                     FEAST                            1970, OBS,90,200
NGC 3603                               3500                     SHER                             1965, CAN.JRAS,59,67
NGC 3603                               5000                     SHER                             1964, OBS,84,32
NGC 3603                               5720                     BECER                            1971, AS.AP.SUP,4,241
NGC 3603                               6100     1.350   6.641   MELNICK J.,GROSBOL P.            1982, ASTRON.ASTROPHYS. 107, 23
NGC 3603                               6250                     COLLINDER                        1931, LD.AN,2,LK
NGC 3603                               6880                     TRUMPLER                         1930, LOB,14,175
NGC 3603                               6900     1.25    6.00    SUNG H., BESSELL M.S.            2004, AJ 127, 1014
NGC 3603                               7158     1.63    6.000   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 3603                               7200     1.44    6.48    SAGAR R., ET AL.                 2001, MNRAS 327, 23
NGC 3603                               7500                     GEORGELIN                        1970, AS.AP,7,135
NGC 3603                               7878     1.440   6.668   VANDENBERGH S.                   1978, ASTRON.ASTROPHYS. 63, 275
NGC 3603                               9462     1.420   6.40    DAMBIS, A. K.                    1999, ASTRON LETTERS 25, 1, 7-13
NGC 3603                              11971     1.490   6.337   SHER D.                          1965, MON.NOT.ROY.ASTRON.SOC. 129, 237
NGC 362                                8830                     Baumgart                         2021, website
NGC 366                                2150     1.25v   7.40    PANDEY A.K., ET AL.              1994, BAS INDIA 22, 369
NGC 366                                2160                     ALTER                            1944, MN,104,181
NGC 366                                2200     1.00    7.900   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 366                                2243     1.05    7.75    Bukowiecki L., et al.            2011, AcA 62
NGC 366                                2300                     KOPYLOV                          1952, KRIM.IZV,8,122
NGC 366                                2400             7.50    BUCKNER ET AL.                   2014, MNRAS 444, 290
NGC 366                                2700                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
NGC 366                                2800                     MARKARJAN                        1951, BIUR.SOOB,9,6
NGC 366                                5250                     COLLINDER                        1931, LD.AN,2,LK
NGC 3680                                                9.51    DEMARQUE                         1969, AP.J,158,1037
NGC 3680                                                9.48    CANNON                           1970, MN,150,111
NGC 3680                                380                     CHARLIER                         1918, LD.M,S2,N19,19
NGC 3680                                735     0.077   9.526   EGGEN O.J.                       1969, ASTROPHYS.J. 155, 439
NGC 3680                                795                     EGGEN                            1969, AP.J,155,439
NGC 3680                                800     0.04            HAGEN                            1970, DOP,4,24
NGC 3680                                860                     TRUMPLER                         1930, LOB,14,173
NGC 3680                                881     0.064   9.39    MALYSHEVA, I. K.                 1997, ASTRON LETTERS 23, 5, 585-590
NGC 3680                                946     0.06    9.200   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 3680                                950                     SANDAGE                          1969, AP.J,158,685
NGC 3680                                950                     BARHATOVA                        1950, A.ZH,27,183
NGC 3680                               1000             9.20    FROEBRICH ET AL.                 2010, MNRAS 409, 1281
NGC 3680                               1000     0.00    9.20    BONATTO C., ET AL.               2004, A&A 427, 485
NGC 3680                               1005     0.06    9.27    ANTHONY-TWAROG B.A., TWAROG B.A. 2004, AJ 127, 1000
NGC 3680                               1050     0.00    9.20    BICA E., BONATTO C.              2005, A&A 431, 943
NGC 3680                               1075     0.04    9.15    Bukowiecki L., et al.            2011, AcA 62
NGC 3680                               1410     0.06    8.84    BRUNTT H., ET AL.                1999, A&AS 140, 135
NGC 3680                               1730                     COLLINDER                        1931, LD.AN,2,CR
NGC 3680                               1730                     COLLINDER                        1921, LD.AN,2,LK
NGC 3766                                        0.16            STARIKOVA                        1968, A.ZH,45,795
NGC 3766                                                7.34    BARBARO                          1969, AP.SP.SC,3,123
NGC 3766                                450                     CHARLIER                         1918, LD.M,S2,N19,20
NGC 3766                                520                     SHAPLEY                          1930, ST.CL,231
NGC 3766                                665                     DOIG                             1926, JBAA,36,112,116
NGC 3766                                715                     WALLENQUIST                      1959, UP.AN,4,N6
NGC 3766                                910                     BARHATOVA                        1950, A.ZH,27,183
NGC 3766                               1000                     MARKARJAN                        1951, BIUR.SOOB,9,7,27
NGC 3766                               1020                     COLLINDER                        1931, LD.AN,2,CR
NGC 3766                               1020                     COLLINDER                        1931, LD.AN,2,LK
NGC 3766                               1220                     TRUMPLER                         1930, LOB,14,173,157
NGC 3766                               1300                     WEAVER                           1953, AJ,58,179
NGC 3766                               1450             7.00    AHMED                            1962, ED.P,3,59
NGC 3766                               1500                     MELNIK A.M., DAMBIS A.K.         2009, MNRAS 400, 518
NGC 3766                               1530            <7.48    WINNENBURG                       1973, AS.AP,24,157
NGC 3766                               1620                     KRAUS                            1967, AN,289,285
NGC 3766                               1685     0.21    7.950   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 3766                               1698     0.197   7.40    DAMBIS, A. K.                    1999, ASTRON LETTERS 25, 1, 7-13
NGC 3766                               1700     0.18            HAGEN                            1970, DOP,4,24
NGC 3766                               1740                     RIEKE                            1935, HC,397
NGC 3766                               1790                     BECKER                           1971, AS.AP.SUP,4,241
NGC 3766                               1856     0.242   6.77    MALYSHEVA, I. K.                 1997, ASTRON LETTERS 23, 5, 585-590
NGC 3766                               1857     0.200   7.416   SHER D.                          1965, MON.NOT.ROY.ASTRON.SOC. 129, 237
NGC 3766                               1871     0.20    7.42    LATA S., PANDEY A. K. ET AL.     2002, A A 388, 158–167
NGC 3766                               1900                     FEINSTEIN                        1969, MN,143,284
NGC 3766                               1900                     BUSCOMBE                         1963, MT.STR.MIM,N6
NGC 3766                               1900                     SHER                             1965, MN,129,237
NGC 3766                               1900                     BECKER                           1963, ZF.A,57,117
NGC 3766                               1900             7.04    LINDOFF                          1968, SV.ARK.A,5,1
NGC 3766                               1900             7.00    SHER                             1962, OBS,82,63
NGC 3766                               1900                     EGGEN                            1971, AP.J,163,313
NGC 3766                               2080                     MELNIK A.M., EFREMOV YU.N.       1995, PIS'MA ASTRON. ZH. 21, 13
NGC 3766                               2200                     SCHILD                           1970, AP.J,161,856
NGC 3766                               2220     0.20    7.38    MOITINHO A., ET AL.              1997, AJ 113, 1359
NGC 381                                 730                     PCHELINCOVA                      1955, AC,159
NGC 381                                 800                     KOPYLOV                          1952, KRIM.IZV,8,122
NGC 381                                1062     0.36    9.04    PHELPS R.L., JANES K.A.          1994, APJS 90, 31
NGC 381                                1089     0.342   8.473   CRINKLAW G.TALBERT F.D.          1988, PUBL.ASTRON.SOC.PACIF. 100, 693
NGC 381                                1105     0.34    8.47    LATA S., PANDEY A. K. ET AL.     2002, A A 388, 158–167
NGC 381                                1150     0.40    8.51    ANN H.B., ET AL.                 2002, AJ 123, 905
NGC 381                                1159     0.47    8.20    Bukowiecki L., et al.            2011, AcA 62
NGC 381                                1200     0.34    8.850   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 381                                1630                     BARHATOVA                        1950, A.ZH,27,181
NGC 381                                2210                     TRUMPLER                         1930, LOB,14,170
NGC 381                                2550                     ALTER                            1944, MN,104,182
NGC 381                                2780                     COLLINDER                        1931, LD.AN,2,CR
NGC 381                                2780                     COLLINDER                        1931, LD.AN,2,LK
NGC 3909                               1100     0.13    9.301   TADROSS, A. L.                   2011, JKAS 44 (1), 1
NGC 3909                               1792     0.10    9.515   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 3960                               1500                     BARHATOVA                        1950, A.ZH,27,183
NGC 3960                               1850     0.23            PRISINZANO L., ET AL.            2004, A&A 417, 945
NGC 3960                               1884     0.17    9.110   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 3960                               1960                     TRUMPLER                         1950, LOB,14,173
NGC 3960                               2100             8.90    FROEBRICH ET AL.                 2010, MNRAS 409, 1281
NGC 3960                               2116     0.13    9.00    Bukowiecki L., et al.            2011, AcA 62
NGC 3960                               2220                     COLLINDER                        1931, LD.AN,2,LK
NGC 3960                               2220                     COLLINDER                        1931, LD.AN,2,CR
NGC 3960                               5250                     SHAPLEY                          1930, ST.CL,231
NGC 4052                                900                     BARHATOVA                        1950, A.ZH,27,183
NGC 4052                               1138     0.160   8.741   ENGVER N.                        1965, ARKIV ASTRON. 4, 53
NGC 4052                               1210     0.16    8.400   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 4052                               1510                     TRUMPLER                         1930, LOB,14,173
NGC 4052                               1900                     ENGVER                           1966, SV.ARK.A,4,60
NGC 4052                               1900             8.14    LINDOFF                          1968, SV.ARK.A,5,1
NGC 4052                               1920                     COLLINDER                        1931, LD.AN,2,LK
NGC 4052                               1920                     COLLINDER                        1931, LD.AN,2,CR
NGC 4052                               2630                     SHAPLEY                          1930, ST.CL,231
NGC 4103                                500                     CHARLIER                         1918, LD.M,S2,N19,19
NGC 4103                                950                     SHAPLEY                          1930, ST.CL,231
NGC 4103                               1000                     BARHATOVA                        1950, A.ZH,27,183
NGC 4103                               1200             8.94    SCHMIDT                          1963, AN,287,41
NGC 4103                               1200                     BECKER                           1963, ZF.A,57,117
NGC 4103                               1200                     BUSCOMBE                         1963, MT.STR.MIM,N6
NGC 4103                               1200                     BECKER                           1959, ZF.A,48,279
NGC 4103                               1200                     JOHNSON                          1961, LOW.B,5,N8
NGC 4103                               1200                     BECKER                           1961, ZF.A,51,151
NGC 4103                               1530                     TRUMPLER                         1930, LOB,14,173
NGC 4103                               1600     0.30    7.43    WESSELINK                        1969, MN,146,329
NGC 4103                               1659     0.30    7.755   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 4103                               1670                     COLLINDER                        1931, LD.AN,2,CR
NGC 4103                               1670                     COLLINDER                        1931, LD.AN,2,LK
NGC 4103                               1764     0.295   7.461   WESSELINK A.J.                   1969, MON.NOT.ROY.ASTR.SOC. 146, 329
NGC 4103                               1770     0.309   7.40    DAMBIS, A. K.                    1999, ASTRON LETTERS 25, 1, 7-13
NGC 4103                               1787     0.29    7.46    LATA S., PANDEY A. K. ET AL.     2002, A A 388, 158–167
NGC 4103                               1890                     BECKER                           1971, AS.AP.SUP,4,241
NGC 4103                               1898     0.34    7.50    Bukowiecki L., et al.            2011, AcA 62
NGC 4103                               2000     0.31    7.48    SANNER J., ET AL.                2001, A&A 369, 511
NGC 4103                               2026     0.339   6.94    MALYSHEVA, I. K.                 1997, ASTRON LETTERS 23, 5, 585-590
NGC 4103                               2190     0.26    7.30    SAGAR R., CANNON R.D.            1997, A&AS 122, 9
NGC 4147                              18540                     Baumgart                         2021, website
NGC 4184, Ruprecht 102                 1609     0.52    7.500   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 4230                               1445     0.23    9.230   TADROSS, A. L.                   2011, JKAS 44 (1), 1
NGC 4230                               1650                     BARHATOVA                        1950, A.ZH,27,183
NGC 4230                               2600                     TRUMPLER                         1930, LOB,14,173
NGC 4230                               2630     0.31    8.945   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 4230                               3230                     COLLINDER                        1931, LD.AN,2,LK
NGC 433                                1650     0.60    7.810   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 433                                1752     0.60    7.75    Bukowiecki L., et al.            2011, AcA 62
NGC 433                                2100     0.80            BATTINELLI P., ET AL.            1992, AJ, 103, 1596
NGC 433                                2323     0.86    7.50    PHELPS R.L., JANES K.A.          1994, APJS 90, 31
NGC 433                                2414     0.86    7.50    LATA S., PANDEY A. K. ET AL.     2002, A A 388, 158–167
NGC 433                                4500                     ALTER                            1944, MN,104,184
NGC 433                                4500                     TUMANJAN                         1948, ARM.DOKL,9,7
NGC 4337                                464     0.160   8.512   MOFFAT A.F.J.,VOGT N.            1973, ASTRON.ASTROPHYS. 23, 317
NGC 4337                               1500                     BARHATOVA                        1950, A.ZH,27,183
NGC 4337                               2014     0.19    9.35    Bukowiecki L., et al.            2011, AcA 62
NGC 4337                               2500             9.10    FROEBRICH ET AL.                 2010, MNRAS 409, 1281
NGC 4337                               2580                     TRUMPLER                         1930, LOB,14,173
NGC 4337                               2874     0.33    9.150   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 4337                               3230                     COLLINDER                        1931, LD.AN,2,LK
NGC 4337                               3230                     COLLINDER                        1931, LD.AN,2,CR
NGC 4337                               5250                     SHAPLEY                          1930, ST.CL,231
NGC 4349                                                8.40    BARBARO                          1969, AP.SP.SC,3,123
NGC 4349                                        0.30            STARIKOVA                        1968, A.ZH,45,795
NGC 4349                                        0.33            HAGEN                            1970, DOP,4,24
NGC 4349                                300                     CHARLIER                         1918, LD.M,S2,N19,19
NGC 4349                                651                     WALLENQUIST                      1959, UP.AN,4,N6
NGC 4349                                725                     COLLINDER                        1931, LD.AN,2,LK
NGC 4349                                725                     COLLINDER                        1931, LD.AN,2,CR
NGC 4349                                900                     BARHATOVA                        1950, A.ZH,27,183
NGC 4349                                900                     FERNIE                           1963, OBS,83,33
NGC 4349                                970                     TRUMPLER                         1930, LOB,14,173
NGC 4349                               1430     0.17    8.85    Bukowiecki L., et al.            2011, AcA 62
NGC 4349                               1510                     SHAPLEY                          1930, ST.CL,231
NGC 4349                               1700                     LOHMANN                          1961, AN,286,105
NGC 4349                               1820             8.61    VASILEVSKIJ                      1972, A.ZH,49,378
NGC 4349                               1870             8.07    LINDOFF                          1968, SV.ARK.A,5,1
NGC 4349                               1870                     BECKER                           1971, AS.AP.SUP,4,241
NGC 4349                               1870                     BECKER                           1963, ZF.A,57,117
NGC 4349                               2155     0.45    8.410   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 4349                               2315     0.390   8.462   LOHMANN W.                       1961, ASTRON.NACHR. 286, 105
NGC 4349                               4000                     SHAPLEY                          1919, MW.COM,62
NGC 436                                1130                     CHARLIER                         1918, LD.M,S2,N19,19
NGC 436                                1150                     SHAPLEY                          1930, ST.CL,228
NGC 436                                1740                     BODEN                            1950, UP.AN,2,N7
NGC 436                                1740                     BARHATOVA                        1950, A.ZH,27,181
NGC 436                                1970                     TRUMPLER                         1930, LOB,14,170,156
NGC 436                                2020                     WALLENQUIST                      1959, UP.AN,4,N6
NGC 436                                2150                     BECKER                           1971, AS.AP.SUP,4,241
NGC 436                                2150             7.90    LINDOFF                          1968, SV.ARK.A,5,1
NGC 436                                2150                     BECKER                           1961, ZF.A,51,151
NGC 436                                2150                     BECKER                           1963, ZF.A,57,117
NGC 436                                2150                     BECKER                           1958, ZF.A,45,269
NGC 436                                2200                     BERGH                            1960, DOP,2,203
NGC 436                                2200                     BUSCOMBE                         1963, MT.STR.MIM,N6
NGC 436                                2220                     BODEN                            1950, UP.AN,2,N10
NGC 436                                2282     0.34    8.10    Bukowiecki L., et al.            2011, AcA 62
NGC 436                                2594     0.470   7.80    DAMBIS, A. K.                    1999, ASTRON LETTERS 25, 1, 7-13
NGC 436                                2942     0.480   7.777   HUESTAMENDIA G. ET AL.           1991, ASTRON.ASTROPHYS. SUPPL. 87, 153
NGC 436                                3000     0.46    7.925   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 436                                3009     0.48    7.78    LATA S., PANDEY A. K. ET AL.     2002, A A 388, 158–167
NGC 436                                3120                     ALTER                            1944, MN,104,184
NGC 436                                3220                     COLLINDER                        1931, LD.AN,2,LK
NGC 436                                3220                     COLLINDER                        1931, LD.AN,2,CR
NGC 436                                3236     0.50    7.62    PHELPS R.L., JANES K.A.          1994, APJS 90, 31
NGC 4372                               4600            10.20    FROEBRICH ET AL.                 2010, MNRAS 409, 1281
NGC 4372                               5710                     Baumgart                         2021, website
NGC 4439                               1070             7.78    SEGGEWISS                        1971, BONN.VER,N83
NGC 4439                               1380                     SHAPLEY                          1930, ST.CL,231
NGC 4439                               1400                     LODEN                            1973, AS.AP.SUP,10,125
NGC 4439                               1563     0.335   7.80    DAMBIS, A. K.                    1999, ASTRON LETTERS 25, 1, 7-13
NGC 4439                               1584     0.350   7.857   SEGGEWIS W.                      1971, VEROFF.ASTR.INST.BONN 83, 20
NGC 4439                               1640     0.33            MOFFAT                           1973, AS.AP.SUP,10,135
NGC 4439                               1659     0.31    7.710   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 4439                               1766     0.330   7.750   MOFFAT A.F.J.,VOGT N.            1973, ASTRON.ASTROPHYS. 23, 317
NGC 4439                               1800                     BARHATOVA                        1950, A.ZH,27,183
NGC 4439                               3120                     COLLINDER                        1931, LD.AN,2,CR
NGC 4439                               3120                     COLLINDER                        1931, LD.AN,2,LK
NGC 4439                               3340                     TRUMPLER                         1930, LOB,14,173
NGC 4463                               1014     0.426   7.50    DAMBIS, A. K.                    1999, ASTRON LETTERS 25, 1, 7-13
NGC 4463                               1114     0.440   7.288   MOFFAT A.F.J.,VOGT N.            1973, ASTRON.ASTROPHYS. 23, 317
NGC 4463                               1115     0.35    7.970   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 4463                               1240     0.44            MOFFAT                           1973, AS.AP.SUP,10,135
NGC 4463                               1240                     MOFFAT                           1973, AS.AP,23,317
NGC 4463                               1287     0.41    7.45    Bukowiecki L., et al.            2011, AcA 62
NGC 4463                               1380                     SHAPLEY                          1930, ST.CL,231
NGC 4463                               1500                     MARKARJAN                        1951, BIUR.SOOB,9,7,27
NGC 4463                               1500                     BARHATOVA                        1950, A.ZH,27,183
NGC 4463                               2060                     TRUMPLER                         1930, LOB,14,173
NGC 4463                               2220                     COLLINDER                        1931, LD.AN,2,LK
NGC 4463                               2220                     COLLINDER                        1931, LD.AN,2,CR
NGC 457                                                 7.30    BARBARO                          1967, PAD.PUB,N138
