Srcs: WEBDA Lit, Bukowiecki, SAI, Malysheva, Tadross, MWSC, Froebrich, Dambis, Lata, Buckner+13,14 Loktin, XHIP, Pleiades (Mamajek HP),
Hyades (OCs BOOK), Rup I, Rup III, Melnik95,09

Cluster Name                           dist     EB-V   log t    Authors                          Year  Reference

2MASS-GC01                             3370                     Baumgart                         2021, website
2MASS-GC02                             5500                     Baumgart                         2021, website
AB Doradus                               29.3                   ANDERSON E., FRANCIS C.          2012, ASTRON. LETTERS 38, 331A (XHIP)
ASCC 55                                 970     0.21    8.450   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 56                                 797     0.14    8.635   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 57                                1483     0.21    9.260   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 58                                 564     0.14    7.200   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 59                                 509     0.05    8.460   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 6                                 1350     0.30    7.800   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 60                                1122     0.16    8.125   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 61                                1702     0.22    7.665   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 62                                2322     0.53    6.995   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 63                                2686     0.79    7.250   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 64                                1700     0.15    8.100   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 65                                1934     0.52    6.850   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 66                                1032     0.10    7.760   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 67                                1500     0.30    7.670   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 68                                 920     0.09    8.600   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 69                                 774     0.17    7.910   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 7                                 2000     0.45    7.400   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 70                                2652     0.47    6.920   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 71                                1209     0.27    8.000   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 72                                1229     0.16    8.205   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 73                                 650     0.05    8.190   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 74                                 550     0.05    8.630   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 75                                2948     0.42    6.650   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 76                                1025     0.46    7.750   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 77                                2041     0.47    6.750   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 78                                3241     0.15    9.380   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 79                                 871     0.31    6.950   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 8                                 1801     0.60    7.770   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 80                                1281     0.40    8.375   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 81                                 850     0.17    8.750   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 82                                 800     0.00    8.600   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 83                                 619     0.13    8.100   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 84                                 884     0.27    7.850   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 85                                 806     0.52    7.500   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 86                                 738     0.19    8.050   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 87                                 838     0.26    8.550   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 88                                1297     0.73    7.000   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 89                                 567     0.25    7.000   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 9                                 2901     0.90    7.000   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 90                                 526     0.30    8.810   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 91                                 858     0.10    8.650   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 92                                 644     0.31    9.080   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 93                                1830     0.58    6.100   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 94                                 731     0.25    8.840   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 95                                1213     0.25    8.410   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 96                                 759     0.15    8.400   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 97                                 591     0.44    7.880   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 98                                 800     0.04    8.045   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 99                                 679     0.13    8.750   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
Alessi 1                                750     0.10    8.840   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
Alessi 10                               513     0.22    8.195   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
Alessi 11                              2973     0.42    9.085   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
