Problems:
   some clusters have equal values for Kharchenko+ 2013 and 2016DAML
   some clusters have equal values for 2017AstBu..72..257L and 2016DAML
   some clusters are known by more than one name in this file

2MASS-GC 1               ; BDCC                ; 6.80 ; 10.10
ASCC 127                 ; 2016DAML            ; 0.10 ;  7.82
ASCC 127                 ; 2020A&A...640A...1C ; 0.134;  7.26
ASCC 127                 ; Dias 2021           ; 0.215;  7.496
ASCC 127                 ; Kharchenko+ 2013    ; 0.150;  7.820
ASCC 127                 ; Tarricq 2021        ;      ;  7.27
ASCC 128                 ; 2016DAML            ; 0.13 ;  8.44
ASCC 128                 ; 2019 Bossini        ; 0.146;  8.486
ASCC 128                 ; 2020A&A...640A...1C ; 0.128;  8.40
ASCC 128                 ; Dias 2021           ; 0.198;  8.243
ASCC 128                 ; Kharchenko+ 2013    ; 0.200;  8.454
ASCC 128                 ; Tarricq 2021        ;      ;  8.42
ASCC 129                 ; 2016DAML            ; 0.18 ;  8.69
ASCC 129                 ; 2017AstBu..72..257L ; 0.053;  8.700
ASCC 129                 ; Kharchenko+ 2013    ; 0.300;  9.050
ASCC 13                  ; 2016DAML            ; 0.20 ;  7.71
ASCC 13                  ; 2019 Bossini        ; 0.219;  7.647
ASCC 13                  ; 2020A&A...640A...1C ; 0.219;  7.50
ASCC 13                  ; Dias 2021           ; 0.295;  7.615
ASCC 13                  ; Kharchenko+ 2013    ; 0.200;  7.710
ASCC 13                  ; Tarricq 2021        ;      ;  7.52
ASCC 130                 ; 2016DAML            ; 0.52 ;  7.03
ASCC 130                 ; Kharchenko+ 2013    ; 0.600;  7.241
ASCC 16                  ; 2019 Bossini        ; 0.030;  7.047
ASCC 16                  ; 2020A&A...640A...1C ; 0.063;  7.13
ASCC 16                  ; Dias 2021           ; 0.072;  7.088
ASCC 16                  ; Kerr 2021           ;      ;  7.121
ASCC 16                  ; Kharchenko+ 2013    ; 0.021;  7.000
ASCC 16                  ; Kos+ 2019           ; 0.08 ;  7.114
ASCC 16                  ; Tarricq 2021        ;      ;  7.14
ASCC 18                  ; 2016DAML            ; 0.06 ;  7.12
ASCC 18                  ; Kharchenko+ 2013    ; 0.062;  7.150
ASCC 18                  ; Kos+ 2019           ; 0.08 ;  7.106
ASCC 19                  ; 2016DAML            ; 0.01 ;  7.64
ASCC 19                  ; 2019 Bossini        ; 0.018;  7.086
ASCC 19                  ; 2020A&A...640A...1C ; 0.041;  7.02
ASCC 19                  ; Dias 2021           ; 0.061;  7.139
ASCC 19                  ; Kharchenko+ 2013    ; 0.052;  7.500
ASCC 19                  ; Tarricq 2021        ;      ;  7.03
ASCC 2                   ; 2016DAML            ; 0.10 ;  8.83
ASCC 2                   ; Kharchenko+ 2013    ; 0.500;  8.870
ASCC 20                  ; 2016DAML            ; 0.04 ;  7.35
ASCC 20                  ; Kharchenko+ 2013    ; 0.062;  7.000
ASCC 20                  ; Kos+ 2019           ; 0.08 ;  7.327
ASCC 21                  ; 2019 Bossini        ; 0.038;  7.032
ASCC 21                  ; 2020A&A...640A...1C ; 0.031;  6.95
ASCC 21                  ; Dias 2021           ; 0.076;  7.102
ASCC 21                  ; Kharchenko+ 2013    ; 0.029;  7.110
ASCC 21                  ; Kos+ 2019           ; 0.08 ;  7.041
ASCC 21                  ; Tarricq 2021        ;      ;  6.96
ASCC 21a                 ; Kos+ 2019           ; 0.08 ;  7.106
ASCC 22                  ; 2019 Bossini        ; 0.177;  8.557
ASCC 22                  ; Kharchenko+ 2013    ; 0.198;  8.455
ASCC 23                  ; 2016DAML            ; 0.07 ;  8.45
ASCC 23                  ; 2019 Bossini        ; 0.091;  8.480
ASCC 23                  ; 2020A&A...640A...1C ; 0.106;  8.37
ASCC 23                  ; Dias 2021           ; 0.105;  8.605
ASCC 23                  ; Kharchenko+ 2013    ; 0.100;  8.485
ASCC 23                  ; Tarricq 2021        ;      ;  8.37
ASCC 29                  ; 2016DAML            ; 0.05 ;  8.06
ASCC 29                  ; 2019 Bossini        ; 0.077;  7.950
ASCC 29                  ; 2020A&A...640A...1C ; 0.059;  7.97
ASCC 29                  ; Dias 2021           ; 0.129;  7.892
ASCC 29                  ; Kharchenko+ 2013    ; 0.050;  8.060
ASCC 30                  ; 2016DAML            ; 0.15 ;  8.20
ASCC 30                  ; 2020A&A...640A...1C ; 0.109;  8.24
ASCC 30                  ; Dias 2021           ; 0.205;  8.499
ASCC 30                  ; Kharchenko+ 2013    ; 0.146;  8.245
ASCC 30                  ; Tarricq 2021        ;      ;  8.24
ASCC 31                  ; 2016DAML            ; 0.15 ;  8.63
ASCC 31                  ; Kharchenko+ 2013    ; 0.104;  8.400
