Problems:
   some clusters have equal values for Kharchenko+ 2013 and 2016DAML
   some clusters have equal values for 2017AstBu..72..257L and 2016DAML
   some clusters are known by more than one name in this file

2MASS-GC 1               ; BDCC                ; 6.80 ; 10.10
Ruprecht 39              ; Kharchenko+ 2013    ; 0.416;  8.400
Ruprecht 4               ; 2016DAML            ; 0.30 ;  8.90
Ruprecht 4               ; 2017AstBu..72..257L ; 0.559;  8.800
Ruprecht 4               ; 2020A&A...640A...1C ; 0.388;  8.93
Ruprecht 4               ; Dias 2021           ; 0.540;  8.808
Ruprecht 4               ; Kharchenko+ 2013    ; 0.458;  9.005
Ruprecht 40              ; 2016DAML            ; 0.250;  8.265
Ruprecht 40              ; Kharchenko+ 2013    ; 0.250;  8.265
Ruprecht 41              ; 2016DAML            ; 0.13 ;  8.84
Ruprecht 41              ; 2020A&A...640A...1C ; 0.306;  8.16
Ruprecht 41              ; Dias 2021           ; 0.396;  8.593
Ruprecht 41              ; Kharchenko+ 2013    ; 0.135;  8.865
Ruprecht 41              ; Tarricq 2021        ;      ;  8.31
Ruprecht 42              ; 2016DAML            ; 0.388;  8.60
Ruprecht 42              ; 2020A&A...640A...1C ; 0.300;  8.53
Ruprecht 42              ; Dias 2021           ; 0.450;  8.641
Ruprecht 42              ; Kharchenko+ 2013    ; 0.416;  8.700
Ruprecht 42              ; Tarricq 2021        ;      ;  8.61
Ruprecht 43              ; 2016DAML            ; 0.27 ;  8.47
Ruprecht 43              ; Kharchenko+ 2013    ; 0.208;  8.400
Ruprecht 44              ; 2016DAML            ; 0.619;  6.941
Ruprecht 44              ; 2019 Bossini        ; 1.608;  7.132
Ruprecht 44              ; 2020A&A...640A...1C ; 0.513;  7.16
Ruprecht 44              ; Dias 2021           ; 0.631;  7.089
Ruprecht 44              ; Kharchenko+ 2013    ; 0.604;  6.800
Ruprecht 45              ; 2016DAML            ; 0.062;  9.300
Ruprecht 45              ; 2020A&A...640A...1C ; 0.063;  9.50
Ruprecht 45              ; Dias 2021           ; 0.103;  9.557
Ruprecht 45              ; Kharchenko+ 2013    ; 0.062;  9.300
Ruprecht 45              ; Tarricq 2021        ;      ;  9.50
Ruprecht 47              ; 2016DAML            ; 0.28 ;  7.89
Ruprecht 47              ; 2020A&A...640A...1C ; 0.291;  7.47
Ruprecht 47              ; Dias 2021           ; 0.350;  8.144
Ruprecht 47              ; Kharchenko+ 2013    ; 0.291;  8.180
Ruprecht 47              ; Tarricq 2021        ;      ;  7.50
Ruprecht 48              ; 2016DAML            ; 0.29 ;  8.60
Ruprecht 48              ; 2020A&A...640A...1C ; 0.288;  8.05
Ruprecht 48              ; Dias 2021           ; 0.489;  7.565
Ruprecht 48              ; Kharchenko+ 2013    ; 0.281;  8.600
Ruprecht 49              ; 2016DAML            ; 0.259;  7.930
Ruprecht 49              ; Kharchenko+ 2013    ; 0.271;  8.220
Ruprecht 50              ; 2016DAML            ; 0.104;  8.775
Ruprecht 50              ; 2019 Bossini        ; 0.185;  8.578
Ruprecht 50              ; 2020A&A...640A...1C ; 0.191;  8.66
Ruprecht 50              ; Dias 2021           ; 0.245;  8.715
Ruprecht 50              ; Kharchenko+ 2013    ; 0.104;  8.775
Ruprecht 50              ; Tarricq 2021        ;      ;  8.68
Ruprecht 51              ; 2016DAML            ; 0.189;  9.00
Ruprecht 51              ; Kharchenko+ 2013    ; 0.562;  8.770
Ruprecht 52              ; 2016DAML            ; 0.87 ;  8.20
Ruprecht 52              ; Kharchenko+ 2013    ; 0.208;  8.550
Ruprecht 54              ; 2016DAML            ; 0.13 ;  8.90
Ruprecht 54              ; 2020A&A...640A...1C ; 0.309;  8.44
Ruprecht 54              ; Dias 2021           ; 0.420;  8.462
Ruprecht 54              ; Kharchenko+ 2013    ; 0.416;  8.915
Ruprecht 54              ; Tarricq 2021        ;      ;  8.54
Ruprecht 55              ; 2016DAML            ; 0.45 ;  7.00
Ruprecht 55              ; Dias 2021           ; 0.529;  7.328
Ruprecht 55              ; Kharchenko+ 2013    ; 0.604;  6.970
Ruprecht 57              ; 2016DAML            ; 0.208;  8.975
Ruprecht 57              ; Kharchenko+ 2013    ; 0.208;  8.975
Ruprecht 58              ; 2016DAML            ; 0.06 ;  8.85
Ruprecht 58              ; 2019 Bossini        ; 0.218;  8.706
Ruprecht 58              ; 2020A&A...640A...1C ; 0.250;  8.52
Ruprecht 58              ; Dias 2021           ; 0.391;  8.380
Ruprecht 58              ; Kharchenko+ 2013    ; 0.167;  8.615
Ruprecht 58              ; Tarricq 2021        ;      ;  8.59
Ruprecht 59              ; 2016DAML            ; 0.088;  7.727
Ruprecht 59              ; Kharchenko+ 2013    ; 0.583;  6.800
Ruprecht 6               ; 2016DAML            ; 0.43 ;  9.50
Ruprecht 6               ; Kharchenko+ 2013    ; 0.431;  9.300
Ruprecht 60              ; 2016DAML            ; 0.64 ;  8.60
Ruprecht 60              ; 2020A&A...640A...1C ; 0.328;  8.99
Ruprecht 60              ; Dias 2021           ; 0.503;  8.929
Ruprecht 60              ; Kharchenko+ 2013    ; 0.639;  8.600
Ruprecht 60              ; Tarricq 2021        ;      ;  8.99
Ruprecht 61              ; 2016DAML            ; 0.30 ;  9.11
Ruprecht 61              ; Dias 2021           ; 0.359;  9.076
Ruprecht 61              ; Kharchenko+ 2013    ; 0.333;  9.100
Ruprecht 63              ; 2016DAML            ; 0.61 ;  8.70
Ruprecht 63              ; 2020A&A...640A...1C ; 0.378;  8.76
Ruprecht 63              ; Dias 2021           ; 0.564;  8.550
Ruprecht 63              ; Kharchenko+ 2013    ; 0.562;  8.900
Ruprecht 63              ; Tarricq 2021        ;      ;  8.81
Ruprecht 64              ; 2016DAML            ; 0.06 ;  8.45
Ruprecht 64              ; Kharchenko+ 2013    ; 0.125;  8.450
Ruprecht 65              ; 2016DAML            ; 0.07 ;  8.57
Ruprecht 65              ; 2020A&A...640A...1C ; 0.534;  7.36
Ruprecht 65              ; Dias 2021           ; 0.542;  7.656
Ruprecht 65              ; Kharchenko+ 2013    ; 0.071;  8.820
Ruprecht 66              ; 2016DAML            ; 0.90 ;  8.78
Ruprecht 66              ; 2020A&A...640A...1C ; 0.481;  9.15
Ruprecht 66              ; Dias 2021           ; 0.617;  9.083
Ruprecht 66              ; Kharchenko+ 2013    ; 0.770;  8.910
Ruprecht 66              ; Tarricq 2021        ;      ;  9.14
Ruprecht 67              ; 2016DAML            ; 0.432;  8.256
Ruprecht 67              ; 2019 Bossini        ; 1.417;  8.651
Ruprecht 67              ; 2020A&A...640A...1C ; 0.394;  8.63
Ruprecht 67              ; Dias 2021           ; 0.579;  7.845
Ruprecht 67              ; Kharchenko+ 2013    ; 0.500;  8.600
Ruprecht 68              ; 2016DAML            ; 0.39 ;  9.15
Ruprecht 68              ; 2020A&A...640A...1C ; 0.341;  9.26
Ruprecht 68              ; Dias 2021           ; 0.329;  9.363
Ruprecht 68              ; Kharchenko+ 2013    ; 0.333;  9.350
Ruprecht 68              ; Tarricq 2021        ;      ;  9.31
Ruprecht 7               ; BDCC                ; 0.31 ;  9.04
Ruprecht 70              ; wilton.unifei.edu.br;      ;  7.38
Ruprecht 71              ; 2016DAML            ; 0.05 ;  8.78
Ruprecht 71              ; 2020A&A...640A...1C ; 0.291;  7.33
Ruprecht 71              ; Dias 2021           ; 0.362;  7.246
Ruprecht 71              ; Kharchenko+ 2013    ; 0.050;  8.840
Ruprecht 71              ; Tarricq 2021        ;      ;  7.34
Ruprecht 75              ; 2016DAML            ; 0.24 ;  9.15
Ruprecht 75              ; 2020A&A...640A...1C ; 0.122;  9.23
Ruprecht 75              ; Dias 2021           ; 0.385;  9.151
Ruprecht 75              ; Kharchenko+ 2013    ; 0.250;  9.090
Ruprecht 75              ; Tarricq 2021        ;      ;  9.24
Ruprecht 76              ; 2016DAML            ; 0.376;  7.734
Ruprecht 76              ; 2019 Bossini        ; 1.415;  8.298
Ruprecht 76              ; 2020A&A...640A...1C ; 0.350;  8.49
Ruprecht 76              ; Dias 2021           ; 0.485;  8.194
Ruprecht 76              ; Kharchenko+ 2013    ; 0.396;  8.150
Ruprecht 77              ; 2016DAML            ; 0.622;  7.501
Ruprecht 77              ; 2020A&A...640A...1C ; 0.600;  7.09
Ruprecht 77              ; Kharchenko+ 2013    ; 0.687;  7.950
Ruprecht 78              ; 2016DAML            ; 0.350;  7.987
Ruprecht 78              ; Kharchenko+ 2013    ; 0.437;  7.250
Ruprecht 79              ; 2016DAML            ; 0.717;  7.093
Ruprecht 79              ; 2020A&A...640A...1C ; 0.619;  7.79
Ruprecht 79              ; Dias 2021           ; 0.764;  7.585
Ruprecht 79              ; Kharchenko+ 2013    ; 0.697;  7.265
Ruprecht 79              ; Tarricq 2021        ;      ;  7.78
Ruprecht 8               ; 2016DAML            ; 0.458;  8.845
Ruprecht 8               ; 2020A&A...640A...1C ; 0.322;  8.60
Ruprecht 8               ; Dias 2021           ; 0.437;  8.589
Ruprecht 8               ; Kharchenko+ 2013    ; 0.458;  8.845
Ruprecht 8               ; Tarricq 2021        ;      ;  8.65
Ruprecht 82              ; 2016DAML            ; 0.29 ;  8.50
Ruprecht 82              ; 2019 Bossini        ; 1.334;  8.548
Ruprecht 82              ; 2020A&A...640A...1C ; 0.297;  8.66
Ruprecht 82              ; Dias 2021           ; 0.365;  8.609
Ruprecht 82              ; Kharchenko+ 2013    ; 0.500;  8.370
Ruprecht 82              ; Tarricq 2021        ;      ;  8.66
Ruprecht 83              ; 2016DAML            ; 0.453;  8.450
Ruprecht 83              ; 2020A&A...640A...1C ; 0.744;  8.05
Ruprecht 83              ; Dias 2021           ; 0.832;  8.185
Ruprecht 83              ; Kharchenko+ 2013    ; 1.249;  6.400
Ruprecht 83              ; Tarricq 2021        ;      ;  8.07
Ruprecht 84              ; 2016DAML            ; 0.10 ;  8.56
Ruprecht 84              ; 2019 Bossini        ; 0.171;  8.480
Ruprecht 84              ; 2020A&A...640A...1C ; 0.141;  8.54
Ruprecht 84              ; Dias 2021           ; 0.233;  8.316
Ruprecht 84              ; Kharchenko+ 2013    ; 0.167;  8.560
Ruprecht 84              ; Tarricq 2021        ;      ;  8.58
Ruprecht 85              ; 2016DAML            ; 0.21 ;  8.70
Ruprecht 85              ; 2020A&A...640A...1C ; 0.816;  8.31
Ruprecht 85              ; Dias 2021           ; 0.994;  8.348
Ruprecht 85              ; Kharchenko+ 2013    ; 0.167;  8.700
Ruprecht 85              ; Tarricq 2021        ;      ;  8.39
Ruprecht 90              ; 2016DAML            ; 0.32 ;  7.10
Ruprecht 90              ; Kharchenko+ 2013    ; 0.489;  6.800
Ruprecht 91              ; 2016DAML            ; 0.01 ;  8.63
Ruprecht 91              ; 2020A&A...640A...1C ; 0.059;  8.14
Ruprecht 91              ; Dias 2021           ; 0.100;  8.050
Ruprecht 91              ; Kharchenko+ 2013    ; 0.010;  8.405
Ruprecht 91              ; Tarricq 2021        ;      ;  8.16
Ruprecht 92              ; 2016DAML            ; 0.396;  7.650
Ruprecht 92              ; Kharchenko+ 2013    ; 0.396;  7.650
Ruprecht 93              ; 2019 Bossini        ; 0.207;  8.519
Ruprecht 93              ; 2020A&A...640A...1C ; 0.219;  8.39
Ruprecht 93              ; Dias 2021           ; 0.291;  8.448
Ruprecht 93              ; Kharchenko+ 2013    ; 0.167;  8.755
Ruprecht 93              ; Tarricq 2021        ;      ;  8.43
Ruprecht 94              ; 2016DAML            ; 0.30 ;  7.19
Ruprecht 94              ; 2020A&A...640A...1C ; 0.256;  7.39
Ruprecht 94              ; Dias 2021           ; 0.385;  7.151
Ruprecht 94              ; Kharchenko+ 2013    ; 0.510;  7.000
Ruprecht 94              ; Tarricq 2021        ;      ;  7.40
Ruprecht 96              ; 2016DAML            ; 0.25 ;  9.00
Ruprecht 96              ; 2020A&A...640A...1C ; 0.434;  7.67
Ruprecht 96              ; Dias 2021           ; 0.531;  7.866
Ruprecht 96              ; Kharchenko+ 2013    ; 0.042;  9.060
Ruprecht 96              ; Tarricq 2021        ;      ;  7.85
Ruprecht 97              ; 2016DAML            ; 0.229;  8.343
Ruprecht 97              ; 2020A&A...640A...1C ; 0.438;  8.25
Ruprecht 97              ; Dias 2021           ; 0.551;  8.232
Ruprecht 97              ; Kharchenko+ 2013    ; 0.208;  8.650
Ruprecht 97              ; Tarricq 2021        ;      ;  8.25
Ruprecht 98              ; 2016DAML            ; 0.162;  8.508
Ruprecht 98              ; 2019 Bossini        ; 0.161;  8.756
Ruprecht 98              ; 2020A&A...640A...1C ; 0.113;  8.69
Ruprecht 98              ; Dias 2021           ; 0.225;  8.669
Ruprecht 98              ; Kharchenko+ 2013    ; 0.160;  8.800
Ruprecht 98              ; Tarricq 2021        ;      ;  8.70
Ryu 12                   ; BDCC                ; 0.80 ; 10.00
Ryu 4                    ; BDCC                ; 3.10 ;  6.60
S Mon                    ; Kuhn+ 2019          ;      ;  6.38
SAI 101                  ; BDCC                ; 1.56 ;  9.00
SAI 104                  ; BDCC                ; 1.17 ;  8.90
SAI 105                  ; BDCC                ; 1.91 ;  9.05
SAI 106                  ; BDCC                ; 1.02 ;  9.35
SAI 108                  ; 2016DAML            ; 0.66 ;  8.50
SAI 108                  ; 2020A&A...640A...1C ; 0.484;  8.08
SAI 108                  ; Dias 2021           ; 0.622;  7.645
SAI 108                  ; Kharchenko+ 2013    ; 0.799;  8.755
SAI 108                  ; Tarricq 2021        ;      ;  8.20
SAI 109                  ; 2016DAML            ; 0.23 ;  9.20
SAI 109                  ; 2020A&A...640A...1C ; 0.556;  9.02
SAI 109                  ; Dias 2021           ; 0.736;  8.963
SAI 109                  ; Kharchenko+ 2013    ; 0.625;  9.000
SAI 109                  ; Tarricq 2021        ;      ;  9.01
SAI 112                  ; BDCC                ; 1.00 ;  9.10
SAI 113                  ; 2016DAML            ; 0.833;  8.960
SAI 113                  ; 2020A&A...640A...1C ; 0.888;  6.95
SAI 113                  ; Kharchenko+ 2013    ; 0.833;  8.960
SAI 116                  ; 2016DAML            ; 0.98 ;  8.60
SAI 116                  ; 2020A&A...640A...1C ; 0.669;  8.10
SAI 116                  ; Dias 2021           ; 0.792;  8.713
SAI 116                  ; Kharchenko+ 2013    ; 0.979;  8.685
SAI 116                  ; Tarricq 2021        ;      ;  8.17
SAI 118                  ; 2016DAML            ; 0.17 ;  9.75
SAI 118                  ; 2020A&A...640A...1C ; 0.291;  7.50
SAI 118                  ; Dias 2021           ; 0.359;  7.392
SAI 118                  ; Kharchenko+ 2013    ; 0.396;  7.300
SAI 120                  ; BDCC                ; 1.99 ;  8.75
SAI 122                  ; BDCC                ; 2.26 ;  8.25
SAI 123                  ; BDCC                ; 1.35 ;  9.20
SAI 126                  ; BDCC                ;      ;  6.63
SAI 132                  ; 2016DAML            ; 0.94 ;  8.75
SAI 132                  ; 2020A&A...640A...1C ; 0.719;  8.90
SAI 132                  ; Dias 2021           ; 0.849;  8.856
SAI 132                  ; Kharchenko+ 2013    ; 0.939;  8.750
SAI 132                  ; Tarricq 2021        ;      ;  8.90
SAI 14                   ; 2016DAML            ; 0.55 ;  9.10
SAI 14                   ; 2020A&A...640A...1C ; 0.838;  9.13
SAI 14                   ; Dias 2021           ; 1.031;  8.819
SAI 14                   ; Kharchenko+ 2013    ; 0.833;  9.450
SAI 149                  ; 2016DAML            ; 1.29 ;  8.20
SAI 149                  ; 2020A&A...640A...1C ; 0.913;  8.45
SAI 149                  ; Dias 2021           ; 1.039;  8.472
SAI 149                  ; Kharchenko+ 2013    ; 1.241;  8.400
SAI 149                  ; Tarricq 2021        ;      ;  8.55
SAI 16                   ; 2016DAML            ; 0.70 ;  9.15
SAI 16                   ; 2020A&A...640A...1C ; 0.838;  9.00
SAI 16                   ; Kharchenko+ 2013    ; 0.999;  9.150
SAI 16                   ; Tarricq 2021        ;      ;  8.93
SAI 17                   ; 2016DAML            ; 0.98 ;  8.90
SAI 17                   ; 2020A&A...640A...1C ; 0.778;  9.07
SAI 17                   ; Dias 2021           ; 1.015;  8.912
SAI 17                   ; Kharchenko+ 2013    ; 1.049;  8.900
SAI 17                   ; Tarricq 2021        ;      ;  9.12
SAI 21                   ; 2016DAML            ; 0.58 ;  8.50
SAI 21                   ; Kharchenko+ 2013    ; 0.650;  8.950
SAI 23                   ; BDCC                ;      ;  6.60
SAI 24                   ; 2016DAML            ; 0.500;  7.200
SAI 24                   ; 2020A&A...640A...1C ; 0.578;  6.84
SAI 24                   ; Dias 2021           ; 0.637;  7.118
SAI 24                   ; Kharchenko+ 2013    ; 0.500;  7.200
SAI 24                   ; Tarricq 2021        ;      ;  6.85
SAI 25                   ; 2016DAML            ; 0.84 ;  9.15
SAI 25                   ; 2020A&A...640A...1C ; 1.325;  6.20
SAI 25                   ; Dias 2021           ; 1.068;  8.457
SAI 25                   ; Kharchenko+ 2013    ; 0.970;  9.185
SAI 25                   ; Tarricq 2021        ;      ;  6.25
SAI 27                   ; BDCC                ; 0.62 ;  9.25
SAI 4                    ; 2016DAML            ; 0.27 ;  8.70
SAI 4                    ; 2020A&A...640A...1C ; 0.475;  8.02
SAI 4                    ; Dias 2021           ; 0.571;  7.636
SAI 4                    ; Kharchenko+ 2013    ; 0.400;  8.800
SAI 4                    ; Tarricq 2021        ;      ;  8.09
SAI 40                   ; BDCC                ; 0.35 ;  8.75
SAI 43                   ; 2016DAML            ; 0.18 ;  8.95
SAI 43                   ; Dias 2021           ; 0.496;  8.410
SAI 43                   ; Kharchenko+ 2013    ; 0.179;  8.905
SAI 47                   ; 2016DAML            ; 0.60 ;  8.50
SAI 47                   ; 2020A&A...640A...1C ; 0.438;  7.80
SAI 47                   ; Dias 2021           ; 0.651;  7.769
SAI 47                   ; Kharchenko+ 2013    ; 0.271;  9.200
SAI 47                   ; Tarricq 2021        ;      ;  7.89
SAI 69                   ; 2016DAML            ; 0.35 ;  9.10
SAI 69                   ; Kharchenko+ 2013    ; 0.416;  9.100
SAI 72                   ; 2016DAML            ; 0.82 ;  8.50
SAI 72                   ; Kharchenko+ 2013    ; 0.770;  8.485
SAI 81                   ; 2016DAML            ; 0.40 ;  9.20
SAI 81                   ; 2020A&A...640A...1C ; 0.478;  8.21
SAI 81                   ; Dias 2021           ; 0.583;  8.366
SAI 81                   ; Kharchenko+ 2013    ; 0.729;  8.130
SAI 81                   ; Tarricq 2021        ;      ;  8.34
SAI 82                   ; 2016DAML            ; 0.39 ;  8.65
SAI 82                   ; Kharchenko+ 2013    ; 0.666;  8.650
SAI 83                   ; BDCC                ; 1.00 ;  8.85
SAI 86                   ; 2016DAML            ; 0.69 ;  8.60
SAI 86                   ; 2020A&A...640A...1C ; 0.538;  8.75
SAI 86                   ; Dias 2021           ; 0.641;  8.846
SAI 86                   ; Kharchenko+ 2013    ; 0.708;  8.650
SAI 86                   ; Tarricq 2021        ;      ;  8.78
SAI 88                   ; 2016DAML            ; 0.92 ;  9.00
SAI 88                   ; Kharchenko+ 2013    ; 1.145;  8.925
SAI 90                   ; 2016DAML            ; 1.02 ;  9.05
SAI 90                   ; Kharchenko+ 2013    ; 1.041;  9.105
SAI 91                   ; 2016DAML            ; 0.51 ;  8.80
SAI 91                   ; 2020A&A...640A...1C ; 0.369;  8.72
SAI 91                   ; Dias 2021           ; 0.526;  8.655
SAI 91                   ; Kharchenko+ 2013    ; 0.583;  8.830
SAI 94                   ; 2016DAML            ; 0.48 ;  9.10
SAI 94                   ; 2020A&A...640A...1C ; 0.522;  9.17
SAI 94                   ; Dias 2021           ; 0.675;  9.023
SAI 94                   ; Kharchenko+ 2013    ; 0.521;  9.090
SAI 94                   ; Tarricq 2021        ;      ;  9.19
SBB 2                    ; 2016DAML            ; 5.89 ;  6.70
SBB 2                    ; Kharchenko+ 2013    ; 1.312;  6.250
SBB 7                    ; BDCC                ;      ;  6.48
SC 12                    ; Kerr 2021           ;      ;  6.771
SC 13                    ; Kerr 2021           ;      ;  7.413
SC 14                    ; Kerr 2021           ;      ;  7.149
SC 16                    ; Kerr 2021           ;      ;  7.267
SC 17 A                  ; Kerr 2021           ;      ;  7.210
SC 17 B                  ; Kerr 2021           ;      ;  7.097
SC 17 C                  ; Kerr 2021           ;      ;  7.086
SC 17 D                  ; Kerr 2021           ;      ;  7.049
SC 17 E                  ; Kerr 2021           ;      ;  6.857
SC 17 F                  ; Kerr 2021           ;      ;  7.100
SC 17 G                  ; Kerr 2021           ;      ;  7.121
SC 17 H                  ; Kerr 2021           ;      ;  7.009
SC 19                    ; Kerr 2021           ;      ;  7.185
SC 2                     ; Kerr 2021           ;      ;  7.635
SC 20                    ; Kerr 2021           ;      ;  7.358
SC 21                    ; Kerr 2021           ;      ;  7.378
SC 22                    ; Kerr 2021           ;      ;  7.356
SC 23                    ; Kerr 2021           ;      ;  7.332
SC 24                    ; Kerr 2021           ;      ;  7.318
SC 25                    ; Kerr 2021           ;      ;  7.316
SC 26                    ; Kerr 2021           ;      ;  7.336
SC 27 B                  ; Kerr 2021           ;      ;  7.114
SC 27 D                  ; Kerr 2021           ;      ;  7.362
SC 27 E                  ; Kerr 2021           ;      ;  7.267
SC 5                     ; Kerr 2021           ;      ;  7.554
SC 7                     ; Kerr 2021           ;      ;  7.146
SC 9                     ; Kerr 2021           ;      ;  7.193
SDSS J0814+5105          ; BDCC                ; 0.05 ; 10.05
SDSS J0821+5608          ; BDCC                ; 0.05 ; 10.00
SEGUE 1                  ; BDCC                ; 0.03 ; 10.08
SEGUE 3                  ; BDCC                ;      ; 10.08
SGR 1806-20              ; BDCC                ;      ;  6.60
SMASH 1                  ; BDCC                ; 0.18 ; 10.10
SOJ 1                    ; BDCC                ;      ;  6.00
SYCA 2                   ; BDCC                ; 1.04 ;  6.00
Saurer 1                 ; 2016DAML            ; 0.14 ;  9.70
Saurer 1                 ; Kharchenko+ 2013    ; 0.042;  9.600
Saurer 2                 ; 2016DAML            ; 1.07 ;  9.30
Saurer 2                 ; 2020A&A...640A...1C ; 1.163;  9.21
Saurer 2                 ; Kharchenko+ 2013    ; 1.249;  9.250
Saurer 2                 ; Tarricq 2021        ;      ;  9.24
Saurer 3                 ; 2016DAML            ; 0.76 ;  9.30
Saurer 3                 ; Kharchenko+ 2013    ; 0.781;  9.300
Saurer 4                 ; 2016DAML            ; 1.24 ;  9.18
Saurer 4                 ; Kharchenko+ 2013    ; 1.332;  9.180
Saurer 6                 ; 2016DAML            ; 0.77 ;  9.29
Saurer 6                 ; Kharchenko+ 2013    ; 0.854;  9.200
Schuster 1               ; 2016DAML            ; 2.52 ;  8.35
Schuster 1               ; Kharchenko+ 2013    ; 1.083;  6.800
Sco OB2 C                ; BDCC                ;      ;  7.11
Sco OB4                  ; Kharchenko+ 2013    ; 0.312;  6.820
Sco OB5                  ; Kharchenko+ 2013    ; 0.458;  6.325
Sco R1                   ; BDCC                ; 0.38 ;
Sco R7                   ; BDCC                ; 0.66 ;
Sct OB3                  ; Kharchenko+ 2013    ; 2.040;  6.100
Sgr II                   ; BDCC                ; 0.10 ;
Sgr II                   ; Baumgart 2021       ; 0.11 ; 10.0792
Sgr OB6                  ; Kharchenko+ 2013    ; 0.895;  7.500
Sgr OB7                  ; Kharchenko+ 2013    ; 0.458;  6.450
Sh2-232 IR               ; BDCC                ;      ;  6.48
Sh2-235 E2               ; BDCC                ;      ;  6.48
Sh2-235B                 ; Kharchenko+ 2013    ; 1.353;  6.630
Sh2-242                  ; Kharchenko+ 2013    ; 0.937;  6.400
Sh2-252C                 ; Kharchenko+ 2013    ; 1.957;  8.250
Sh2-88B                  ; Kharchenko+ 2013    ; 1.353;  6.500
Sher 1                   ; 2016DAML            ; 1.374;  6.713
Sher 1                   ; 2020A&A...640A...1C ; 1.047;  7.12
Sher 1                   ; Kharchenko+ 2013    ; 1.499;  6.715
Sher 1                   ; Tarricq 2021        ;      ;  7.21
Shorlin 1                ; Kharchenko+ 2013    ; 0.812;  6.500
Shorlin 2                ; Kharchenko+ 2013    ; 0.375;  6.000
Sigma Ori                ; 2016DAML            ; 0.05 ;  7.11
Sigma Ori                ; Dias 2021           ; 0.054;  6.997
Sigma Ori                ; Kharchenko+ 2013    ; 0.146;  6.100
Skiff 1                  ; 2016DAML            ; 0.85 ;  9.10
Skiff 1                  ; 2020A&A...640A...1C ; 0.553;  9.15
Skiff 1                  ; Dias 2021           ; 0.865;  9.019
Skiff 1                  ; Kharchenko+ 2013    ; 0.650;  9.010
Skiff 1                  ; Tarricq 2021        ;      ;  9.15
Skiff 2                  ; 2016DAML            ; 0.18 ;  8.95
Skiff 2                  ; 2020A&A...640A...1C ; 0.284;  8.53
Skiff 2                  ; Dias 2021           ; 0.447;  8.755
Skiff 2                  ; Kharchenko+ 2013    ; 0.400;  8.700
Skiff 2                  ; Tarricq 2021        ;      ;  8.53
Skiff 3                  ; 2016DAML            ; 0.10 ;  9.10
Skiff 3                  ; 2020A&A...640A...1C ; 0.306;  9.39
Skiff 3                  ; Dias 2021           ; 0.548;  9.142
Skiff 3                  ; Kharchenko+ 2013    ; 0.260;  9.210
Skiff 3                  ; Tarricq 2021        ;      ;  9.39
Skiff 4                  ; 2016DAML            ; 0.57 ;  8.40
Skiff 4                  ; 2020A&A...640A...1C ; 0.409;  8.48
Skiff 4                  ; Dias 2021           ; 0.622;  8.534
Skiff 4                  ; Kharchenko+ 2013    ; 0.645;  8.450
Skiff 4                  ; Tarricq 2021        ;      ;  8.57
Skiff 5                  ; 2016DAML            ; 0.312;  7.900
Skiff 5                  ; 2020A&A...640A...1C ; 0.128;  7.92
Skiff 5                  ; Dias 2021           ; 0.361;  8.131
Skiff 5                  ; Kharchenko+ 2013    ; 0.312;  7.900
Skiff 5                  ; Tarricq 2021        ;      ;  7.94
Skiff 6                  ; 2016DAML            ; 0.125;  9.250
Skiff 6                  ; 2020A&A...640A...1C ; 0.088;  9.17
Skiff 6                  ; Dias 2021           ; 0.156;  9.185
Skiff 6                  ; Kharchenko+ 2013    ; 0.125;  9.250
Skiff 6                  ; Tarricq 2021        ;      ;  9.18
Skiff 7                  ; 2016DAML            ; 0.31 ;  8.90
Skiff 7                  ; 2020A&A...640A...1C ; 1.172;  7.31
Skiff 7                  ; Dias 2021           ; 1.143;  6.801
Skiff 7                  ; Kharchenko+ 2013    ; 1.312;  8.400
Skiff 7                  ; Tarricq 2021        ;      ;  7.40
Soares-Bica 1            ; 2020Alessi          ;      ;  6.18
Spurious 1               ; 2018AJ....156...84K ;      ;  6.94
Spurious 2               ; 2018AJ....156...84K ;      ;  6.66
Spurious 3               ; 2018AJ....156...84K ;      ;  7.02
Spurious 4               ; 2018AJ....156...84K ;      ;  6.20
Spurious 5               ; 2018AJ....156...84K ;      ;  6.74
Spurious 6               ; 2018AJ....156...84K ;      ;  6.56
Spurious 6               ; Kerr 2021           ;      ;  7.182
Stephenson 1             ; 2016DAML            ; 0.040;  7.731
Stephenson 1             ; 2019 Bossini        ; 0.051;  7.435
Stephenson 1             ; 2020A&A...640A...1C ; 0.069;  7.45
Stephenson 1             ; Dias 2021           ; 0.073;  7.632
Stephenson 1             ; Kharchenko+ 2013    ; 0.031;  7.520
Stephenson 1             ; Tarricq 2021        ;      ;  7.46
Stephenson 2             ; 2016DAML            ; 1.2  ;  7.30
Stephenson 2             ; Kharchenko+ 2013    ; 3.227;  6.000
Stock 1                  ; 2016DAML            ; 0.16 ;  8.48
Stock 1                  ; 2019 Bossini        ; 0.125;  8.676
Stock 1                  ; 2020A&A...640A...1C ; 0.122;  8.62
Stock 1                  ; Dias 2021           ; 0.086;  8.716
Stock 1                  ; Kharchenko+ 2013    ; 0.171;  8.540
Stock 1                  ; Tarricq 2021        ;      ;  8.64
Stock 10                 ; 2016DAML            ; 0.07 ;  7.90
Stock 10                 ; 2019 Bossini        ; 0.082;  8.060
