Alessi Name           ;Published Name   ;Cns  ;Coordinates (J2000)  ;Wv   ;Type ;   Diam;  Dist; E-BV;   Age;Alias                                         ;Comments
WISE J1104-6145       ;                 ;Car  ;11 04 18.2 -61 45 27 ;IR   ;OC   ;    4.0;  7100;     ;      ;                                              ;
WR 71 Grp             ;                 ;TrA  ;16 03 51.0 -62 41 45 ;Op   ;***  ;    1.5;      ;     ;      ;                                              ;Alessi: there is a small concentration of stars near WR 71
Zeta CrB              ;                 ;CrB  ;15 39 22.2 +36 38 13 ;Op   ;OC   ;  410.0;   158; 0.02;  7.90;                                              ;Alessi (2018) Quintuple Zeta1-2 CrB plus at least 4 *s

---------------------------------------------------------------------------------------------------------------------
EXTRAGALACTIC

Alessi Name         ;Published Name     ;Galaxy ;Cns  ;Coordinates (J2000)     ;Wv  ;Type ;Diam_";Dist_Kpc;Comments

Aqr-SC?-1           ;[MEH2009] 7 Cl     ;DDO210 ;Aqr  ;20 46 53.70 -12 50 58.6 ;Op  ;OC?  ;   1.5;   957  ;In SFR [MEH2009] 7, Clump of stars seen by B. Alessi on MAST image hst_12925_01_acs_wfc_f475w
Fornax 7            ;                   ;ForDw  ;For  ;02 39 43.9  -34 26 14.7 ;Op  ;***? ;  17.0;        ;Alessi: Smaller version of Fornax 6. Probably an asterism
LeoA-SC?-1          ;Leo A-C1           ;LeoA   ;Leo  ;09 59 16.51 +30 44 58.4 ;Op  ;OC   ;   2.4;   809  ;Disc by Stonkute et al. (2015). Found by Alessi on HST MAST image. Also seen in GALEX images using Aladin
LeoA-SC?-10         ;                   ;LeoA   ;Leo  ;09 59 19.81 +30 45 32.3 ;Op  ;OC?  ;   1.4;   809  ;found by Alessi in Hubble images
LeoA-SC?-11         ;                   ;LeoA   ;Leo  ;09 59 20.54 +30 44 36.0 ;Op  ;OC?  ;   1.6;   809  ;found by Alessi in Hubble images
LeoA-SC?-12         ;                   ;LeoA   ;Leo  ;09 59 23.52 +30 45 06.1 ;Op  ;OC?  ;   1.9;   809  ;found by Alessi in Hubble images
LeoA-SC?-13         ;                   ;LeoA   ;Leo  ;09 59 27.37 +30 45 08.1 ;Op  ;OC?  ;   2.2;   809  ;found by Alessi in Hubble images
LeoA-SC?-2          ;Leo A-C3           ;LeoA   ;Leo  ;09 59 17.91 +30 45 02.4 ;Op  ;OC   ;   1.4;   809  ;Disc by Stonkute et al. (2019). Found by Alessi in Hubble images
LeoA-SC?-3          ;                   ;LeoA   ;Leo  ;09 59 20.71 +30 44 36.1 ;Op  ;EC?  ;   1.5;   809  ;found by Alessi in Hubble images
LeoA-SC?-4          ;                   ;LeoA   ;Leo  ;09 59 16.22 +30 45 05.6 ;Op  ;OC?  ;   1.6;   809  ;found by Alessi in Hubble images
LeoA-SC?-5          ;Leo A-C2           ;LeoA   ;Leo  ;09 59 17.19 +30 44 07.8 ;Op  ;OC   ;   3.4;   809  ;Disc by Stonkute et al. (2019). Found by Alessi in Hubble images
LeoA-SC?-6          ;                   ;LeoA   ;Leo  ;09 59 17.68 +30 45 00.3 ;Op  ;OC?  ;   1.2;   809  ;found by Alessi in Hubble images
LeoA-SC?-7          ;                   ;LeoA   ;Leo  ;09 59 17.69 +30 45 02.6 ;Op  ;OC?  ;   1.2;   809  ;found by Alessi in Hubble images
LeoA-SC?-8          ;                   ;LeoA   ;Leo  ;09 59 17.76 +30 45 04.1 ;Op  ;OC?  ;   1.0;   809  ;found by Alessi in Hubble images
LeoA-SC?-9          ;                   ;LeoA   ;Leo  ;09 59 19.09 +30 44 37.7 ;Op  ;OC?  ;   2.2;   809  ;found by Alessi in Hubble images
N6822-GALEX-Assoc   ;[BW2003] OB 1?     ;N6822  ;Sgr  ;19 43 34.0  -14 33 36   ;UV  ;OB?  ; 288.0;   496  ;Alessi: GALEX image shows an unconcentrated, but clearly detached group of blue stars at this position. Position coincides with NGC 6822 HI cloud. The concentration does not appear in DSS2. (Blok, Walter 2003): There is a small OB association at this position
N6822-SC 1          ;                   ;N6822  ;Sgr  ;19 43 33.82 -14 34 43.6 ;Op  ;SC?  ;   2.0;   496  ;Op/UV, compact  
N6822-SC 2          ;                   ;N6822  ;Sgr  ;19 43 35.52 -14 34 14.4 ;Op  ;SC?  ;   6.0;   496  ;Op, sparse
N6822-SC 3          ;                   ;N6822  ;Sgr  ;19 45 43.16 -14 55 30.0 ;Op  ;SC?  ;   5.0;   496  ;Op/UV
N6822-SC 4          ;                   ;N6822  ;Sgr  ;19 45 46.56 -14 56 24.9 ;Op  ;SC?  ;  12.0;   496  ;Op/UV, sparse
Phe-As?-1           ;                   ;PheDw  ;Phe  ;01 51 01.9  -44 26 41.7 ;Op  ;OB?  ;  36.0;   419  ;Found in Hubble image by Alessi, B. S. Also seen on DES DR1. Diam from HST image
Phe-SC?-1           ;                   ;PheDw  ;Phe  ;01 51 05.33 -44 27 09.0 ;Op  ;OC?  ;   3.6;   419  ;Found in Hubble image by Alessi, B. S. Diam from HST image
Phe-SC?-2           ;                   ;PheDw  ;Phe  ;01 51 05.18 -44 27 26.8 ;Op  ;OC?  ;   1.6;   419  ;Found in Hubble image by Alessi, B. S. Diam from HST image
Phe-SC?-3           ;                   ;PheDw  ;Phe  ;01 51 06.86 -44 27 11.9 ;Op  ;OC?  ;   2.0;   419  ;Found in Hubble image by Alessi, B. S. Diam from HST image
Phe-SC?-4           ;                   ;PheDw  ;Phe  ;01 51 06.47 -44 27 08.1 ;Op  ;OC?  ;   3.3;   419  ;Found in Hubble image by Alessi, B. S. Diam from HST image
SexA-As?-1          ;                   ;SexA   ;Sex  ;10 10 54.2  -04 41 16   ;Op  ;OB?  ;  28.0;  1404  ;Obvious in HST image
SexA-SC?-1          ;                   ;SexA   ;Sex  ;10 10 53.8  -04 41 58   ;Op  ;SC?  ;   5.0;  1404  ;Seen by Alessi in HST MAST image
SexB-SC?-1          ;                   ;SexB   ;Sex  ;10 00 02.35 +05 19 53.8 ;Op  ;GC?  ;   4.5;  1440  ;Seen by Alessi in HST MAST image
U4879-SC?-1         ;                   ;U4879  ;UMa  ;09 16 01.08 +52 50 09.2 ;Op  ;SC?  ;   1.0;  1220  ;Nebulous. Seen by B alessi in HST MAST image
