Name                             PNstat         RAJ2000    DECJ2000      MajDiam   Catalogue           
PN G011.2-00.8                   notPN?         18 13 32.2 -19 35 03.1             2001A&A...378..843K 
GLMP 670                         PAGB/PPN       17 57 33.6 -31 03 03.5             1997A&AS..126..479G 
IRAS 13421-6125                  PAGB/PPN       13 45 34.1 -61 40 03.8             1997A&AS..126..479G 
2MASS J1931+1814                 PN??           19 31 35.6 +18 14 03.2             2009A&A...504..291V 
Th 3-8                           notPN?         17 22 35.3 -32 14 03.8             1992secg.book.....A 
PN G058.9+00.5a                  PN??           19 39 38.5 +23 15 03.9             CornishCandidates   
IPHAS J232042.71+575603.0        PN??           23 20 42.7 +57 56 03.0             2009A&A...504..291V 
PN G024.5+00.1                   PN??           18 35 42.0 -07 22 03.8             2015arXiv150708182F 
PN G015.5+00.3                   PN?            18 17 42.0 -15 16 03.7             CornishCandidates   
IPHAS J211444.24+482403.4        PN??           21 14 44.2 +48 24 03.4             2009A&A...504..291V 
PN G019.8-00.9                   PN??           18 30 45.7 -12 07 03.0             CornishCandidates   
PN G279.4-31.6                   PN??           05 38 45.7 -69 05 03.2             2015MNRAS.451.3228C 
PN G279.4-31.6                   PN??           05 38 45.7 -69 05 03.2             2015MNRAS.451.3228C 
GLMP 849                         PAGB/PPN       18 55 46.7 +05 27 03.5             1997A&AS..126..479G 
K 3-12                           Symb*          18 44 46.1 +06 07 03.6             1992secg.book.....A 
PN G082.0-00.3                   PN??           20 43 46.6 +42 05 03.8             2015arXiv150708182F 
IPHAS J005047.10+601003.1        Em*?           00 50 47.1 +60 10 03.1             2009A&A...504..291V 
Kn J1720.8+1008                  star           17 20 51.8 +10 08 03.0             DSHPNe_Aug2020      
Terz N 233                       PN             17 15 52.7 -31 22 03.0             2001A&A...378..843K 
PHR J1838-1035                   unk            18 38 54.0 -10 35 03.8             MEN_List            
PN G021.0-00.6                   PN??           18 31 55.9 -10 52 03.8             CornishCandidates   
NGC 6611 GMD 162                 Em*?           18 19 57.0 -14 02 03.8             MIRPNc              
V552 Pup                         PAGB/PPN       08 20 57.1 -19 15 03.4             2001A&A...378..843K 
J13                              Em*?           00 50 57.7 -72 30 03.6             1980ApJS...42....1J 
IRAS 18096-3230                  PPN?           18 12 58.6 -32 30 03.8             1988A&AS...76..317P 
Ras Objet 2                      PN??           08 27 59.5 -39 57 03.8             SRasool             
Wray 17-108                      Symb*          18 06 01.2 -28 17 04.6             1992secg.book.....A 
GPSR 039.164+0.782               PN??           19 00 02.1 +05 54 04.2             2015arXiv150708182F 
